ID,HashTags,TweetText,mentions_other,mentions_limited_types,URLs,User
1,,"First of all, you're an actor. Second, have you been to Chicago lately? Cause it's still f'n freezing here!! So STFU! #BillNye explains Global Warming to adults: ""The planet is on f***ing fire"" ",;Chicago;;Global Warming,;Chicago;;,,BeverlyMcCord2
2,,"First of all, you're an actor. Second, have you been to Chicago lately? Cause it's still f'n freezing here!! So STFU! #BillNye explains Global Warming to adults: ""The planet is on f***ing fire"" ",;Chicago;;global warming,;Chicago;;,,dogbite45
3,billnye,"#billnye 
If ya can't dazzle em with Intel, baffle em with bs.
They've been manipulating stats for years. Fact.
Another socialist selling fear. 
#climatehoax ",;Intel;;;socialist;,;Intel;;;socialist;,https://twitter.com/i/web/status/1127997616657190912,rsb1717
4,ClimateHysteria,#ClimateHysteria at its finest.,,,,devinnjamess
5,BillNye,"This is just awesome 😂

#BillNye",;,;,,BabeChannelGuy
6,,"First of all, you're an actor. Second, have you been to Chicago lately? Cause it's still f'n freezing here!! So STFU! #BillNye explains Global Warming to adults: ""The planet is on f***ing fire"" ",;;;Global Warming,;;;,,margievarney4
7,"billnye, GlobalWarming","#billnye is going the fuck aawwwffff 

#GlobalWarming is a REAL THING",;,;,,jusFreemen
8,"BillNye, ClimateChange",Science Guy' #BillNye on #ClimateChange.,Science Guy,,,HyperObserver
9,BillNye,this. #BillNye,,,,jc_crazylegz
10,,"@TheDemCoalition @BillNye @GOP Wow- the left is stupid - wearing a lab coat doesn't make you an expert on ""Global Warming"" 
Here's your hero #billnye  
",Global Warming;,;,https://twitter.com/i/web/status/1127998172331032576,Miss_Scott
11,"GlobeIsDead, BillNye",That's right motherfuckers #GlobeIsDead #BillNye,,,,Magagog
12,"ClimateActionNow, BillNye","Listen up, bitches; Bill Nye is not messing around!#ClimateActionNow #BillNye",Bill Nye;,Bill Nye;,,Belyndabythesea
13,,"First of all, you're an actor. Second, have you been to Chicago lately? Cause it's still f'n freezing here!! So STFU! #BillNye explains Global Warming to adults: ""The planet is on f***ing fire"" ",;Chicago;;Global Warming,;Chicago;;,,kate_gorney
14,"global, BillNye","@Lisette_72 @Slicem I could use some Global Warming today, its only 45 degrees out! #BillNye",Global Warming;,;,,janetmp7
15,,"Do you suggest that i live in the united states of america ?

Please RT my poll to reach more account,thank you

#Michigan 
#Daenerys 
#JonSnow 
#GameofThrones 
#GOT 
#GOTS8E5 
#Eurovision 
#RipCity 
#DorisDay 
#billnye 
#MondayMotivation 
#XMenDay 
#XMen 
#XMenSweepstakes",united states of america;;,united states of america;;,https://twitter.com/i/web/status/1127998824126078979,HelloGrate
16,BillNye,#BillNye says it's time to grow up and realize the planet is on fire,,,http://www.trendolizer.com/2019/05/bill-nye-says-its-time-to-grow-up-and-realize-the-planet-is-on-fire.html,Trendolizer
17,"BillNye, ClimateChange",I love Bill Nye. He speaks the truth. #BillNye #ClimateChange,Bill Nye;;,Bill Nye;;,,AnjelicaHoldman
18,,"First of all, you're an actor. Second, have you been to Chicago lately? Cause it's still f'n freezing here!! So STFU! #BillNye explains Global Warming to adults: ""The planet is on f***ing fire"" ",;Chicago;;Global Warming,;Chicago;;,,Chris11962
19,"BillNye, amwriting",This is my new mantra for every time I leave the house. #BillNye #amwriting,;,;,,authormariaberg
20,BillNye,"This was the clip that prompted my #BillNye tweet last night, @moolecular. Enjoy!",;,;,,OhThatLily
21,,"First of all, you're an actor. Second, have you been to Chicago lately? Cause it's still f'n freezing here!! So STFU! #BillNye explains Global Warming to adults: ""The planet is on f***ing fire"" ",;Chicago;;Global Warming,;Chicago;;,,elguapo64
22,,"First of all, you're an actor. Second, have you been to Chicago lately? Cause it's still f'n freezing here!! So STFU! #BillNye explains Global Warming to adults: ""The planet is on f***ing fire"" ",;Chicago;;Global Warming,;Chicago;;,,TheWealthProfe1
23,,"First of all, you're an actor. Second, have you been to Chicago lately? Cause it's still f'n freezing here!! So STFU! #BillNye explains Global Warming to adults: ""The planet is on f***ing fire"" ",;Chicago;;Global Warming,;Chicago;;,,PharmacistRick
24,,"@GenavieveSmith I think its pretty naive and self centered to think we're the the ones who will destroy the 🌎 after 500,000 years. 
#Billnye 
#climatechange 
#Trump2020 
#MAGA 
#FakeNewsMedia 
#fake",;,;,https://twitter.com/i/web/status/1127999415942356993,loretox32
25,BillNye,There is no Planet B. #BillNye,,,,Lady8Jane
26,,"First of all, you're an actor. Second, have you been to Chicago lately? Cause it's still f'n freezing here!! So STFU! #BillNye explains Global Warming to adults: ""The planet is on f***ing fire"" ",;Chicago;;Global Warming,;Chicago;;,,brhammster1
27,,"First of all, you're an actor. Second, have you been to Chicago lately? Cause it's still f'n freezing here!! So STFU! #BillNye explains Global Warming to adults: ""The planet is on f***ing fire"" ",;Chicago;;Global Warming,;Chicago;;,,dca1007
28,,"First of all, you're an actor. Second, have you been to Chicago lately? Cause it's still f'n freezing here!! So STFU! #BillNye explains Global Warming to adults: ""The planet is on f***ing fire"" ",;Chicago;;Global Warming,;Chicago;;,,DeborahBrother3
29,,"First of all, you're an actor. Second, have you been to Chicago lately? Cause it's still f'n freezing here!! So STFU! #BillNye explains Global Warming to adults: ""The planet is on f***ing fire"" ",;Chicago;;Global Warming,;Chicago;;,,Goz_1911
30,,"First of all, you're an actor. Second, have you been to Chicago lately? Cause it's still f'n freezing here!! So STFU! #BillNye explains Global Warming to adults: ""The planet is on f***ing fire"" ",;Chicago;;Global Warming,;Chicago;;,,Tasman3365
31,,"First of all, you're an actor. Second, have you been to Chicago lately? Cause it's still f'n freezing here!! So STFU! #BillNye explains Global Warming to adults: ""The planet is on f***ing fire"" ",;Chicago;;Global Warming,;Chicago;;,,NanOuray
32,AbbieNormal,Hes a freak just look at him #AbbieNormal,,,,NYROYALKING
33,,"First of all, you're an actor. Second, have you been to Chicago lately? Cause it's still f'n freezing here!! So STFU! #BillNye explains Global Warming to adults: ""The planet is on f***ing fire"" ",;Chicago;;Global Warming,;Chicago;;,,TheTruth_789
34,"BillNye, ClimateChange",I love Bill Nye. He speaks the truth. #BillNye #ClimateChange,Bill Nye;;,Bill Nye;;,https://twitter.com/alyssa_milano/status/1127983457810829312,KlannBuster
35,,"First of all, you're an actor. Second, have you been to Chicago lately? Cause it's still f'n freezing here!! So STFU! #BillNye explains Global Warming to adults: ""The planet is on f***ing fire"" ",;Chicago;;Global Warming,;Chicago;;,,FULLDEFENCE
36,,"First of all, you're an actor. Second, have you been to Chicago lately? Cause it's still f'n freezing here!! So STFU! #BillNye explains Global Warming to adults: ""The planet is on f***ing fire"" ",;Chicago;;Global Warming,;Chicago;;,,MiriamRoseMc
37,BillNye,"#BillNye says: ""The planet is on f--king fire!""

Friendly reminder: avoiding meat + dairy is the single biggest way you can reduce your impact on Earth.

#DitchDairy #GoVegan 🌱

",;Earth;,;Earth;,https://twitter.com/i/web/status/1127999865554780160,LC4A
38,,"First of all, you're an actor. Second, have you been to Chicago lately? Cause it's still f'n freezing here!! So STFU! #BillNye explains Global Warming to adults: ""The planet is on f***ing fire"" ",;Chicago;;Global Warming,;Chicago;;,,DebraMMason1
39,,Why do celebrities and media folk think they are experts on everything????  They can’t even do their jobs well!,;,;,,Toni_Malin
40,"BillNye, climatechange","#BillNye says ""the planet is on f--king fire"" due to #climatechange.

Friendly reminder: avoiding meat + dairy is the single biggest way you can reduce your impact on Earth.

#DitchDairy #GoVegan 🌱

",;Earth;,;Earth;,https://twitter.com/i/web/status/1128000117192060929,LC4A
41,,"First of all, you're an actor. Second, have you been to Chicago lately? Cause it's still f'n freezing here!! So STFU! #BillNye explains Global Warming to adults: ""The planet is on f***ing fire"" ",;Chicago;;Global Warming,;Chicago;;,,garynew59
42,,@Rinoa_Chikane @GaylesTwin @JediPreist @ClubDie @BMalpica @alesanc10 @prettyliarsclue @calicoelsa @Pll_fandom_ @JoiSmith10 @pllfinale @IshaYvetteBae @emisonlove15 @corda_f @lalyregina7 @jimmyfallon @deesnightmares @joss @juliebenz @JulieBenzUKR @JulieBenzFanS @Blancoblue456 @Haleb24 @jimmykimmel @miss_jillyb @LiberalBias @DocSchool @billmaher @tavissmiley @tparsi @psyboy65 @careertalks @Sergetacular @juliaschirmer8 @TufailK91926140 @rcpvideo @JanPaquete @kim @lim @Tmp712T @RBReich @SouthernScenery @SleepintheGardn @patricksmovment @themarylbishop @lucyhale @ritchietheforky @ChurchofSatan @MckinneyRufous  good to know is is specking out #BillNye,,,https://twitter.com/i/web/status/1128000174704381952,Eguks
43,BillNye,"#BillNye       He's not a scientist, he just plays one on TV .",TV,,,dgallen1230
44,,"the f word doesn't make it for adults, it makes it for idiots",,,,garynew59
45,,"First of all, you're an actor. Second, have you been to Chicago lately? Cause it's still f'n freezing here!! So STFU! #BillNye explains Global Warming to adults: ""The planet is on f***ing fire"" ",;Chicago;;Global Warming,;Chicago;;,,RickMartlnez
46,"billnye, ClimateCrisis",He’s changed from my school days! 😍🙌🏻 #billnye #ClimateCrisis,;,;,https://twitter.com/jourdaindong/status/1127868266217500683,Banoffee_Pi
47,BillNye,"SCIENCE

#BillNye went on @LastWeekTonight  w/ @iamjohnoliver 

Dropping F-Bombs galore about climate change &amp;  the planet is on fire

These people are selling #ClimateHysteria buy or die

NSFW or your brain ",;;;;NSFW,;;;;,,GulfDogs
48,BillNye,When I saw that #BillNye was trending....,,,,1Band1D1Dream
49,BillNye,When I saw that #BillNye was trending....,,,,1Band1D1Dream
50,"BillNye, likeaboss, climatechange","Loving the new #BillNye branding 😂

#likeaboss #climatechange ",;,;,,ChrisRayNichols
51,BillNye,#BillNye The Science Guy is F*cking Awesome,Science Guy,,,PastafarianBri
52,"XMenDay, BillNye, deephouse, blackcoffeeSA, blackmotion",@blackhotfire @pumziafrica  #XMenDay  #BillNye #deephouse #blackcoffeeSA #blackmotion #CasaRosada  @blackreal47  enjoy some chilling afro soulful house vibe,,,"https://www.mixcloud.com/realbnyoka/black-hotfire-radio-afro-soulful-house-mix-2-by-dj-realblack/, https://twitter.com/i/web/status/1128000559158562819",blackreal47
53,,"First of all, you're an actor. Second, have you been to Chicago lately? Cause it's still f'n freezing here!! So STFU! #BillNye explains Global Warming to adults: ""The planet is on f***ing fire"" ",;Chicago;;Global Warming,;Chicago;;,,scottmiller1213
54,BillNye,It's so WEIRD hearing #BillNye the Science Guy SWEAR! -Philys,Science Guy,,,1045FreshRadio
55,,Bill Nye...the Bullshit Guy!!,Bill Nye,Bill Nye,,apb_ap
56,BillNye,@CNN Doesn't #BillNye just have an engineering degree?,engineering degree,engineering degree,,bluebox91
57,,"First of all, you're an actor. Second, have you been to Chicago lately? Cause it's still f'n freezing here!! So STFU! #BillNye explains Global Warming to adults: ""The planet is on f***ing fire"" ",;Chicago;;Global Warming,;Chicago;;,,drfessel
58,BillNye,"SCIENCE

#BillNye went on @LastWeekTonight  w/ @iamjohnoliver 

Dropping F-Bombs galore about climate change &amp;  the planet is on fire

These people are selling #ClimateHysteria buy or die

NSFW or your brain ",;;;,;;;,,tracy_texas6
59,,"First of all, you're an actor. Second, have you been to Chicago lately? Cause it's still f'n freezing here!! So STFU! #BillNye explains Global Warming to adults: ""The planet is on f***ing fire"" ",;Chicago;;Global Warming,;Chicago;;,,amberwave
60,,"First of all, you're an actor. Second, have you been to Chicago lately? Cause it's still f'n freezing here!! So STFU! #BillNye explains Global Warming to adults: ""The planet is on f***ing fire"" ",;Chicago;;Global Warming,;Chicago;;,,Globird3
61,,I find it interesting that people don't see what a fraud  Bill Nye is. People should really spend some time reading UN Agenda 2030 to see what they are planning with this climate change propaganda. #BillNye #climatechange,;Chicago;;Global Warming,;Chicago;;,,Barnz_N_Noblez
62,,"First of all, you're an actor. Second, have you been to Chicago lately? Cause it's still f'n freezing here!! So STFU! #BillNye explains Global Warming to adults: ""The planet is on f***ing fire"" ",;Chicago;;Global Warming,;Chicago;;,,CliffordCOlive1
63,,"First of all, you're an actor. Second, have you been to Chicago lately? Cause it's still f'n freezing here!! So STFU! #BillNye explains Global Warming to adults: ""The planet is on f***ing fire"" ",;Chicago;;Global Warming,;Chicago;;,,Barnz_N_Noblez
64,BillNye,"I love this guy!

#BillNye the Science Guy explaining Why it Costs Money to Save the Planet ",;Science Guy,;,https://youtu.be/Jox0dtLNW_w,kahn331
65,,"First of all, you're an actor. Second, have you been to Chicago lately? Cause it's still f'n freezing here!! So STFU! #BillNye explains Global Warming to adults: ""The planet is on f***ing fire"" ",;Chicago;;Global Warming,;Chicago;;,,USAgaggy63
66,,"First of all, you're an actor. Second, have you been to Chicago lately? Cause it's still f'n freezing here!! So STFU! #BillNye explains Global Warming to adults: ""The planet is on f***ing fire"" ",;Chicago;;Global Warming,;Chicago;;,,JBTonightShow
67,,"First of all, you're an actor. Second, have you been to Chicago lately? Cause it's still f'n freezing here!! So STFU! #BillNye explains Global Warming to adults: ""The planet is on f***ing fire"" ",;Chicago;;Global Warming,;Chicago;;,,SP_Holman
68,"BillNye, LastWeekTonight, ClimateChangeIsReal","What is a 6th grade science teacher after a few shots Alex? 

#BillNye #LastWeekTonight #ClimateChangeIsReal ",Alex;,Alex;,,AlMcL30d
69,,"First of all, you're an actor. Second, have you been to Chicago lately? Cause it's still f'n freezing here!! So STFU! #BillNye explains Global Warming to adults: ""The planet is on f***ing fire"" ",;Chicago;;Global Warming,;Chicago;;,,Taco_LV
70,BillNye,"SCIENCE

#BillNye went on @LastWeekTonight  w/ @iamjohnoliver 

Dropping F-Bombs galore about climate change &amp;  the planet is on fire

These people are selling #ClimateHysteria buy or die

NSFW or your brain ",;;;;NSFW,;;;;,,EECC506
71,,"First of all, you're an actor. Second, have you been to Chicago lately? Cause it's still f'n freezing here!! So STFU! #BillNye explains Global Warming to adults: ""The planet is on f***ing fire"" ",;Chicago;;Global Warming,;Chicago;;,,humastacklebox
72,BillNye,"#BillNye Pffft, Liberal Politics. Since when did Modern Science become completely one dimensionally partisan and otherwise utterly non-universal?",;Liberal Politics;Modern Science,;Liberal Politics;Modern Science,https://twitter.com/i/web/status/1128001207166013440,thiefacrobat286
73,"BillNye, JohnOliver, ClimateChangeTheFacts, safetyglassesoff",We broke #BillNye.  #JohnOliver #ClimateChangeTheFacts #safetyglassesoff,;,;,,EmsBkPilot
74,,"First of all, you're an actor. Second, have you been to Chicago lately? Cause it's still f'n freezing here!! So STFU! #BillNye explains Global Warming to adults: ""The planet is on f***ing fire"" ",;Chicago;;Global Warming,;Chicago;;,,red_red_rita
75,,A member of the Mob Science that is climate change / Global Warming,"Mob Science,climate change, Global Warming","Mob Science,, ",,SwingWhisperer
76,,"""The planet is on fucking fire!"" @BillNye thank you for entertaining me, and educating me over the years.
Wake up, people! Do your part to not only save the planet, but save yourselves, and future generations! #BillNye #JohnOliver #ActOnClimate #ClimateChange #RecordBreakingHeat",;;;;,;;;;,https://twitter.com/i/web/status/1128001706535448576,sweethardt84
77,,"Add in the fact that he is a total phony, and real scientist - WITH CAPITAL LETTERS ""REAL"" scientists - also report that Mars is warming up at the same time. NASA has it. Man causes pollution yes. Plants live on CO2.",Mars;NASA;;,Mars;NASA;;,https://twitter.com/i/web/status/1128001718296276992,arktikaalaska
78,,"First of all, you're an actor. Second, have you been to Chicago lately? Cause it's still f'n freezing here!! So STFU! #BillNye explains Global Warming to adults: ""The planet is on f***ing fire"" ",;Chicago;;Global Warming,;Chicago;;,,Skreennaym
79,,"“Second, have you been to Chicago lately? It’s still F’n freezing here!!” ",Chicago;,Chicago;,,GundersenDylan
80,BillNye,I loved this 😂🤣 #BillNye,,,,Anya1976
81,,"First of all, you're an actor. Second, have you been to Chicago lately? Cause it's still f'n freezing here!! So STFU! #BillNye explains Global Warming to adults: ""The planet is on f***ing fire"" ",;Chicago;;Global Warming,;Chicago;;,,Plaza300T
82,America,@colinjones @AllResistNews @BillNye #America is the number one planet polluter - triple China so yeah us doing #GreenNewDeal should be our #1 priority #BillNye ♥️#MondayMotivation,China,China,https://twitter.com/i/web/status/1128002102347718656,TheSpeedSnail
83,BillNye,"Safey glasses off motherfuckers, the planet is on fire!

#BillNye",;,;,,tinahseattle
84,,"First of all, you're an actor. Second, have you been to Chicago lately? Cause it's still f'n freezing here!! So STFU! #BillNye explains Global Warming to adults: ""The planet is on f***ing fire"" ",;Chicago;;Global Warming,;Chicago;;,,Rick95648
85,"America, GreenNewDeal",#America is the number one planet polluter - triple China so yeah us doing #GreenNewDeal should be our #1 priority #BillNye ♥️#MondayMotivation,China,China,https://twitter.com/i/web/status/1128002266328231937,TheSpeedSnail
86,,"Its all about $$$. When you research the data manipulation, modeling flaws, and outright lies you realize its BS. NASA didnt figure out till '15 that rain sinks into the ground.??? The whole sea level rise model is flawed if not worthless. ",;;NASA;,;;NASA;,https://twitter.com/i/web/status/1128002274897403906,SouthernPat1
87,,"First of all, you're an actor. Second, have you been to Chicago lately? Cause it's still f'n freezing here!! So STFU! #BillNye explains Global Warming to adults: ""The planet is on f***ing fire"" ",;Chicago;;Global Warming,;Chicago;;,,Swamp_Fox1
88,,"First of all, you're an actor. Second, have you been to Chicago lately? Cause it's still f'n freezing here!! So STFU! #BillNye explains Global Warming to adults: ""The planet is on f***ing fire"" ",;Chicago;;Global Warming,;Chicago;;,,Satiristas
89,,Go get 'em Lisette!,Lisette,Lisette,,jlbeldin
90,,Can anyone really take this guy seriously after that infamous skit from “Bill Nye saves the world“?,Bill Nye,Bill Nye,,rowjelli
91,,Another radical liberal fascist Nazi Dem mouthpiece. He is a charlatan trying to make people think he knows what he is talking about. He is totally clueless! Here is real science you idiot!,Nazi Dem;;,Nazi Dem;;,,JoseJus25988740
92,BillNye,"@Lisette_72 @katrina_wiser I just looked out my window...No fires here.  So, #BillNye, please identify where on the planet these fires are, using objective scientific data and map coordinates to back it up.",;,;,,JoseJus25988740
93,,"First of all, you're an actor. Second, have you been to Chicago lately? Cause it's still f'n freezing here!! So STFU! #BillNye explains Global Warming to adults: ""The planet is on f***ing fire"" ",;Chicago;;Global Warming,;Chicago;;,,JoseJus25988740
94,BillNye,"Bill Nye is a mechanical engineer, not a scientist.  It's amazing how many people think an unqualified idiot's opinion is fact...  #BillNye",Bill Nye;;,Bill Nye;;,,WhiteSox8
95,,"First of all, you're an actor. Second, have you been to Chicago lately? Cause it's still f'n freezing here!! So STFU! #BillNye explains Global Warming to adults: ""The planet is on f***ing fire"" ",;Chicago;;Global Warming,;Chicago;;,,patriotscloset
96,"billnye, GlobalWarming",Oh my.🤣🤣 #billnye #GlobalWarming,,,,KeyserSoza2
97,"billnye, lastweektonight","a little psa from a true legend
#billnye #lastweektonight ",psa;,psa;,,magnus_kroken
98,,"First of all, you're an actor. Second, have you been to Chicago lately? Cause it's still f'n freezing here!! So STFU! #BillNye explains Global Warming to adults: ""The planet is on f***ing fire"" ",;Chicago;;Global Warming,;Chicago;;,,claudec47925459
99,BillNye,"SCIENCE

#BillNye went on @LastWeekTonight  w/ @iamjohnoliver 

Dropping F-Bombs galore about climate change &amp;  the planet is on fire

These people are selling #ClimateHysteria buy or die

NSFW or your brain ",;;climate change;;NSFW,;;;;,,Ruby_Sharif
100,"DorisDay, MondayMotivation, BillNye","GET YOUR BRAND IDENTITY 25% OFF  
CONTACT US  

#DorisDay #MondayMotivation #BillNye #XMenDay #XMenSweepstakes #Beilein #TomCotton #JoshJackson #mondaythoughts #Michigan #Fiverr @fiverr ",;;,;;,"http://is.gd/znd8Wc, https://twitter.com/i/web/status/1128002960615714816",keycreations2
101,"MondayThoughts, DorisDay","#MondayThoughts RT @keycreations2: GET YOUR BRAND IDENTITY 25% OFF  
CONTACT US  

#DorisDay #MondayMotivation #BillNye… ",;,;,"http://is.gd/znd8Wc, https://twitter.com/i/web/status/1128003123916750849",lopezgovlaw
102,BillNye,Climate Change deniers are as embarrassing as flat Earthers. #BillNye,Climate Change,,,JanderVK
103,"BillNye, yes",This is EVERYTHING! #BillNye #yes,;,;,,TheLigerLivesOn
104,,"First of all, you're an actor. Second, have you been to Chicago lately? Cause it's still f'n freezing here!! So STFU! #BillNye explains Global Warming to adults: ""The planet is on f***ing fire"" ",;Chicago;;Global Warming,;Chicago;;,,Alrich39Richard
105,,"You know, we can survive f-bombs from the science guy forever. What we can't survive is doing nothing about the planet warming beyond livability. 
#BillNye #ClimateActionNow #MondayMotivation
",science guy;;,;;,https://twitter.com/i/web/status/1128003365500141569,TrusteesForAK
106,BillNye,Climate Change deniers are as embarrassing as flat Earthers. #BillNye,Climate Change;,;,,nnffmusic
107,,"@iamjohnoliver Cows do, ummm, emit gas from the rear. I’ve seen it repeatedly on Dr. Pol. I believe his show &amp; I don’t know what that woman is talking about. Not to worry John. I remember other facts from the video! #BillNye",;Dr. Pol;John;;,;Dr. Pol;John;;,https://twitter.com/i/web/status/1128003505229266947,DareGreatly13
108,,HaHa That's telling him.,,,,DeRussoGary
109,,"First of all, you're an actor. Second, have you been to Chicago lately? Cause it's still f'n freezing here!! So STFU! #BillNye explains Global Warming to adults: ""The planet is on f***ing fire"" ",;Chicago;;Global Warming,;Chicago;;,,SandraVona
