ID,HashTags,TweetText,mentions_other,mentions_other_limited_types,URLs,User
0,social distancing,"In an effort to provide more space for social distancing, the city is closing streets to cars starting Friday.",,,,ChelseaNYCPatch
1,social distancing,"The public did not follow social distancing, outdoor groupings restricted, however businesses will adhere aye right !!!!",,,,DayerJoanne
2,social distancing,Social distancing is oddly having a therapeutic effect on me. I could do this all the time. Outside of maybe 5 peop…,,,,milesgrace77
3,social distancing,Is he nuts? How is this social distancing?,,,,Pushkinvarma
4,social distancing,@JuliaDavisNews @MaxBoot I am willing to sacrifice my nails and hair for social distancing & saving lives. Besides…,,,,JcantorWeinberg
5,social distancing,Social distancing-quarantine got me like...,,,,grafinator
6,social distancing,People of all ages can use technology to reach out to loved ones while social distancing. Learn more,,,,AzCHealthPlan
7,social distancing,Why are non key workers still being allowed to crowd onto public transport?,,,,ComplainingCow
8,social distancing,My girls refuse to maintain social distancing... #PhysicalDistancing #FlattenTheCurve,,,,djw302
9,social distancing,"All this means is people still aren’t washing their hands, social distancing and everything else ?",,,,aloubella
10,social distancing,"@KenzoShibata ""radical social distancing"" ""where the virus is"" ""bungled the tests"" lots of gems in here",,,,MMoralio
11,social distancing,"@scatpep54 @Independent So have mine now. Security on the door, restrictions on certain items and stickers marking…",,,,amandarose1980
12,social distancing,So sad when you see kids out playing outside because their parents aren't taking social distancing seriously. Even…,,,,MeaghanRacine
13,social distancing,@sardesairajdeep @MamataOfficial The irony is that while she is doing this drama people are crowding without any so…,,,,jan_nayak17
14,social distancing,Some ?@F3FranklinTN? Virtual #2ndF happening! Making the best of the ‘social distancing’. #ISI #Stayconnected ?…,,,,RandyBrockway
15,social distancing,Social distancing 101 @Vybz_Kartel Jiggle the titty time gimmi the Beyoncé wine @justsul,Beyoncé,Beyoncé,,BelowDwhiteLine
16,social distancing,Now as black ent tv why y’all highlight what this white girl did...? RT @BETherTV: Kylie did a great deed by donati…,;Kylie;,;Kylie;,,lifeofaleo_
17,social distancing,@maverick_wander Not blocked anywhere social distancing with my ownself dont worry,,,,theflyingsoul94
18,social distancing,@eljonesuk Well social distancing looks all in order here?,,,,callumlaps
19,social distancing,"If the government is failing to implement social distancing and health screening at airports, is letting infected c…",,,,SabeenGeopol
20,social distancing,"The ""social distancing"" message seems to have carried to every individual (which is fine although older terms like…",,,,BeYour0wnLeader
21,social distancing,Trump previews new social distancing guidelines based on geographic risks they want me at the North Pole #SmartNews,"Trump, North Pole","Trump, North Pole",,iamtrunp
22,social distancing,@MarkSharpe39kFT @PChase814 @NateSilver538 He said social distancing is working in the UK right in line with what his original prediction.,UK,UK,,joemamma_1
23,social distancing,Social isolation update. While keeping social distancing in mind Tammy and I went for some fresh (however cold & da…,;Tammy,;Tammy,,david_a_lloyd
24,social distancing,@whodatbeeh @_danthemanx Please link any reputable source that says the U.S social distancing will only last 1-2 mo…,U.S,U.S,,terrybrozier
25,social distancing,"Such an amazing moment being shared on social media with #ClapForCarers And yet idiots are still going out, flout…",;;,;;,,DJLeeM
26,social distancing,"It’s only social distancing between hoomans @ Fall River, Massachusetts",Massachusetts,Massachusetts,,AndreAguiar
27,social distancing,Brooke’s birthday party was canceled because of social distancing... we missed the parade because of calls for servi…,Brooke;;,Brooke;;,,OBK_SRO
28,social distancing,The World: “STAY INSIDE” “FLATTEN THE CURVE” “SOCIAL DISTANCING”,;,;,,MUGENthe9th
29,social distancing,@IrishLadiesGolf @GUIGolf This is ridiculous. Fresh air and social distancing are both easily achieved. Reducing te…,;;;,,,ShaneLally3
30,social distancing,"Mesa was muddy, hazy, and peppered with hikers doing a very good job social distancing",Mesa,,,Hegemommy
31,social distancing,"In an effort to provide more space for social distancing, the city is closing streets to cars starting Friday.",,,,ProspectHtPatch
32,social distancing,WE JUST BY-PASS ITALY WITH CORONAVIRUS CASES. But @realDonaldTrump wants to relax social distancing and says it w…,"ITALY, CORONAVIRUS;;",ITALY;;,,RandyCalypso
33,social distancing,"If Clear Creek is where you choose to engage in outdoor activity during the stay at home order, please follow socia…",Clear Creek,Clear Creek,,CCNHCDenton
34,social distancing,Ok I get social distancing.. but why he gotta online distance me too? #SocialDistance #ghosted,;;,;;,,QuarenTINA2020
35,social distancing,"Schools are fundamentally NOT BUILT for social distancing either kid to kid, adult to adult (yeah heaps of adults i…",,,,strengthofmined
36,social distancing,@Peter_Grinspoon How do you feel about him announcing he's taking over social distancing rules for each state and d…,,,,Christine_Dantz
37,social distancing,Social distancing..,,,,JanerationX
38,social distancing,Genuinely so excited for Dua Lipa’s new album. Can’t wait to listen and have a lil social distancing disco,Dua Lipa;;,Dua Lipa;;,,Will_Scragg
39,social distancing,Olav and neighbor cat Baby are naturals at social distancing.,Olav,Olav,,amyrsisk
40,social distancing,A scoreboard developed by a NYC-based data firm grades each state and county on how well its residents are practici…,,,,EVillagePatch
41,social distancing,"In an effort to provide more space for social distancing, the city is closing streets to cars starting Friday.",,,,EVillagePatch
42,social distancing,"?@piersmorgan?, Massive respect tonight to the NHS. However, this defies all the rules of social distancing .",NHS;;,NHS;;,,Jo32005338
43,social distancing,Social distancing from hoomans is not a problem but I shall NOT be social distancing from my puppers,,,,ktediana
