ID,HashTags,TweetText,mentions_other,mentions_limited_types,URLs,User
1,PikaPika,"It’s #PikaPika day! I’m ready, are you?",;,;,,lianeenicolee
2,PikaPika,"It’s #PikaPika day! I’m ready, are you?",;,;,,Kuroda_Draco
3,PikaPika,"@CheetoHatesJori An entire day celebrating ME? It’s all too much!
…
I lied, it’s perfect. Say #PikaPika, partner!",;;;,;;;,,CheetoHatesJori
4,PikaPika,"It’s #PikaPika day! I’m ready, are you?",,,,AwesomeAdamTV
5,PikaPika,"I'm ready for Detective Pikachu, ya'll
#PikaPika ",Detective Pikachu;,Detective Pikachu;,,Yozoras_
6,PikaPika,"I'm ready for Detective Pikachu, ya'll
#PikaPika ",Detective Pikachu;,Detective Pikachu;,,serendipia_s
7,PikaPika,lil yellow rascal #PikaPika,,,,getvent
8,PikaPika,"It’s #PikaPika day! I’m ready, are you? 

im ready to kill some pikas",;; pikas,;; pikas,,CeresX8
9,"DetectivePikachu, PikaPika",(Ko-fi doodle) Detective Pikachu can quit whenever he wants... #DetectivePikachu #PikaPika,Detective Pikachu;,Detective Pikachu;,,2palfonso
10,PikaPika,"It’s #PikaPika day! I’m ready, are you?",;,;,,NekkoBlue
11,PikaPika,"It’s #PikaPika day! I’m ready, are you? ",;,;,,bexasaurus_
12,"PikaPika, pikipikapikachu, ピカピカピカチュ","It’s #PikaPika day! I’m ready, are you?
#pikipikapikachu #ピカピカピカチュ",;;,;;,,kaykelatte
13,PikaPika,"It’s #PikaPika day! I’m ready, are you?",;,;,,JoMarinara11
14,PikaPika,"It’s #PikaPika day! I’m ready, my brother hates me",;,;,,CrazyyDiamond99
15,PikaPika,"It’s #PikaPika day! I’m ready, are you?",;,;,,ExtraBaseHits13
16,"DetectivePikachu, PikaPika","Case closed
#DetectivePikachu #PikaPika ",;,;,,Maria15564803
17,PikaPika,"It’s #PikaPika day! I’m ready, are you?",;,;,,charjrryuki
18,PikaPika,"It’s #PikaPika day! I’m ready, are you?",;,;,,Pepperoni456
19,PikaPika,@charjrryuki It’s #PikaPika day and Snubbull got all dressed up for the Pika Party. Join your partner by saying #PikaPika!,"Snubbull, Pika Party;","Snubbull, ;",,charjrryuki
20,PikaPika,"It’s #PikaPika day! I’m ready, are you?",;,;,,tbhjr
21,PikaPika,"It’s #PikaPika day! I’m ready, are you?",;,;,,PikaCel
22,PikaPika,"It’s #PikaPika day! I’m ready, are you?",;,;,,EdgeeMgee
23,PikaPika,"I'm ready for Detective Pikachu, ya'll
#PikaPika ",Detective Pikachu;,Detective Pikachu;,,bunmotel
24,Pikapika,There's something really magical about seeing Pokemon in a realistic setting. #Pikapika,Pokemon;,Pokemon;,,Siriexy
25,PikaPika,"It’s #PikaPika day! I’m ready, are you?",;,;,,MindOfGar
26,PikaPika,"It’s #PikaPika day! I’m ready, are you?",;,;,,TanCamo
27,,"So, my standards for the @DetPikachuMovie were kinda low, but then I saw the trailer to the @SonicMovie and immediately thought ab hiw weird that shit is weird af and I ain't gon watch neither of em. #PikaPika #GottaGoFast",;,;,https://twitter.com/i/web/status/1126934764211122177,Notgoodwiththe1
28,,The @DetPikachuMovie is out NOW! Heres a preview of my character Dr Laurent. 👩🏼‍🔬So proud of all the cast and crew thank you to the amazing Rob Letterman for letting @kygomusic and I create for this film and letting me be a part of the amazing @pokemon world with you! #pikapika 💛⚡️,"; Dr Laurent, Rob Letterman","; Dr Laurent, Rob Letterman",,zrrsantos
29,PikaPika,"I'm ready for Detective Pikachu, ya'll
#PikaPika ",Detective Pikachu;,Detective Pikachu;,,knksmyjhpjktjj0
30,PikaPika,"I'm ready for Detective Pikachu, ya'll
#PikaPika ",Detective Pikachu;,Detective Pikachu;,,kanekineko_
31,PikaPika,"I'm ready for Detective Pikachu, ya'll
#PikaPika ",Detective Pikachu;,Detective Pikachu;,,tummeys
32,PikaPika,@Twitter Mystery Solved. #PikaPika,;,;,,mursejoshua
33,PikaPika,lil yellow rascal #PikaPika,,,,gayIuigi
34,PikaPika,"I'm ready for Detective Pikachu, ya'll
#PikaPika ",Detective Pikachu;,Detective Pikachu;,,mountainopossum
35,PikaPika,"It’s #PikaPika day! I’m ready, are you?",;,;,,miyenbettybck
36,PikaPika,"It’s #PikaPika day! I’m ready, are you?",;,;,,2718fe67dc2b4ff
37,PikaPika,"I'm ready for Detective Pikachu, ya'll
#PikaPika ",Detective Pikachu;,Detective Pikachu;,,BunnieMcBunch
38,DetectivePikachu,"Guess you’d better get your friends ready, trainer— if you catch #DetectivePikachu at a participating theater this weekend, you can get a special #PokemonTCG promo card! 

(While supplies last, of course. 🔎⚡️)

Details:  

#PikaPika ",;;;,;;;,,CaseyBrowne4
39,PikaPika,"It’s #PikaPika day! I’m ready, are you? ❤❤❤❤",;,;,,2718fe67dc2b4ff
40,PikaPika,lil yellow rascal #PikaPika,,,,D0ct0rRat
41,PikaPika,"It’s #PikaPika day! I’m ready, are you?",;,;,,SmolRedKo
42,,"We love how creative our community is, since this became a whole thread of folks posting pics of our shelter pets as @Pokemon characters. Is your pet a Pokémon? #PikaPika. ",;Pokémon;,;Pokémon;,,SqueakyWheel840
43,PikaPika,"It’s #PikaPika day! I’m ready, are you?",;,;,,HolidayGrace2
44,PikaPika,"I'm ready for Detective Pikachu, ya'll
#PikaPika ",Detective Pikachu;,Detective Pikachu;,,SolivagaSerpent
45,PikaPika,@Mlp_StormyBlack It’s #PikaPika day and Snubbull got all dressed up for the Pika Party. Join your partner by saying #PikaPika!,"Snubbull, Pika Party;","Snubbull, ;",,Mlp_StormyBlack
46,PikaPika,"It’s #PikaPika day! I’m ready, are you?",;,;,,pikacam06
47,PikaPika,"I’m It’s #PikaPika day! I’m ready, are you?",;,;,,TheWaffinator
48,DetectivePikachu,"I took a mental break this morning and went to see #DetectivePikachu with my son! It was ADORABLE and I definitely teared up several times because POKEMON!! You should definitely see it. #pikapika

However the GREATEST PART is my five yr old referring to Mewtwo as ""Youtube.""",";POKEMON;;Mewtwo,Youtube",";POKEMON;;Mewtwo,Youtube",,tobybutt89
49,PikaPika,"I'm ready for Detective Pikachu, ya'll
#PikaPika ",Detective Pikachu;,Detective Pikachu;,,Greenald_
50,PikaPika,"It’s #PikaPika day! I’m ready, are you?",;,;,,pinkninja7
51,PikaPika,lil yellow rascal #PikaPika,,,,ultrakirby64
52,DetectivePikachu,"Guess you’d better get your friends ready, trainer— if you catch #DetectivePikachu at a participating theater this weekend, you can get a special #PokemonTCG promo card! 

(While supplies last, of course. 🔎⚡️)

Details:  

#PikaPika ",;;;,;;;,,PhillyHomo
53,PikaPika,"It’s #PikaPika day! I’m ready, are you?",;,;,,accountfora
54,PikaPika,Remember when we made a Poke Ball Pizza?  #PikaPika,Poke Ball Pizza;,Poke Ball Pizza;,,LaKarlaOficial
55,PikaPika,"It’s #PikaPika day! I’m ready, are you?",;,;,,PatPokemon
56,PikaPika,"It’s #PikaPika day! I’m ready, are you?",;,;,,Saavanah_8
57,PikaPika,"I'm ready for Detective Pikachu, ya'll
#PikaPika ",Detective Pikachu;,Detective Pikachu;,,La_Tuercebotas
58,"PikaPika, detectivepickachu",Happy #PikaPika day! Saw #detectivepickachu yesterday and it’s so cute!! I fell in love with this movie 💞,;;,;;,,OpPowerUp
59,"Lucystevens, pikapika",Today in theaters everywhere @DetPikachuMovie is out!!! Now meet #Lucystevens and PSYDUCK 😍#pikapika,;Psyduck,;Psyduck,,anxietycream
60,"PikaPika, DetectivePikachuMovie","Now bring me Thanos!!!

#PikaPika
#DetectivePikachuMovie ",Thanos;;,Thanos;;,,theguynamedtony
61,PikaPika,"I'm ready for Detective Pikachu, ya'll
#PikaPika ",Detective Pikachu;,Detective Pikachu;,,himbomutual
62,PikaPika,"@cerisehood_777 An entire day celebrating ME? It’s all too much!
…
I lied, it’s perfect. Say #PikaPika, partner!",;;;;,;;;;,,cerisehood_777
63,"DetectivePikachu, PikaPika","Don't let the cuteness fool you—this is no ordinary Pikachu!

Which #DetectivePikachu are you today, Trainers? #PikaPika ",Pikachu;;,Pikachu;;,,robinsonsrhinos
64,DetectivePikachu,"Its #DetectivePikachu day! Heres a throwback from when the first trailer was released. I still think this is funny.

#truedetective #pikapika #DetectivePikachuMovie ",;;;,;;;,,GrantDeArmitt
65,PikaPika,"I'm ready for Detective Pikachu, ya'll
#PikaPika ",Detective Pikachu;,Detective Pikachu;,,Cyborg_Senpai
66,PikaPika,"It’s #PikaPika day! I’m ready, are you?",;,;,,Androssety
67,"PikaPikaDay, PikaPika",Pika Pika!!! ⚡️ Happy #PikaPikaDay everyone! Celebrate with us by sharing your own video saying #PikaPika and by seeing #DetectivePikachu now playing at AMC! Tickets:,Pika Pika;;AMC;,Pika Pika;;AMC;,,OpPowerUp
68,PikaPika,"Pre-Owned Pokemon Snap (N64) $8.56 via GameStop w/ Code: CAG16 . #PikaPika  

Commercial:  ","Pokemon,GameStop;;","Pokemon,GameStop;;","http://ow.ly/uYHS30oHoOT, https://twitter.com/i/web/status/1126934955517448195",videogamedeals
69,PikaPika,lil yellow rascal #PikaPika,,,,Gerardslaay
70,PikaPika,"It’s #PikaPika day! I’m ready, are you?",;,;,,lartin7
71,PikaPika,"It’s #PikaPika day! I’m ready, are you?",;,;,,JulietteCoulter
72,PikaPika,"Oh dear, I am actually going to end up watching that new Pokémon movie, aren't I? #PikaPika",Pokémon;,Pokémon;,,gxhwqf
73,PikaPika,"It’s #PikaPika day! I’m ready, are you?",;,;,,AgentBlackDog1
74,PikaPika,"It’s #PikaPika day! I’m ready, are you?",;,;,,novaxkh
75,PikaPika,lil yellow rascal #PikaPika,,,,Sillumee
76,PikaPika,"It’s #PikaPika day! I’m ready, are you? No",;;,;;,,69PLEB
77,DetectivePikachu,"Guess you’d better get your friends ready, trainer— if you catch #DetectivePikachu at a participating theater this weekend, you can get a special #PokemonTCG promo card! 

(While supplies last, of course. 🔎⚡️)

Details:  

#PikaPika ",;;;,;;;,,BlueGamer11dude
78,freecodefriday,for #freecodefriday  we're gonna mix it up a little bit! RT this and we'll pick 10 people to win 500 Nutaku Gold each! #PikaPika,; 500 Nutaku Gold;,; ;,,JoshuaDonovan15
79,PikaPika,@Twitter Mystery Solved. #PikaPika,;,;,,OpPowerUp
80,PikaPika,"It’s #PikaPika day! I’m ready, are you?",;,;,,mandybirch2009
81,PikaPika,"I'm ready for Detective Pikachu, ya'll
#PikaPika ",Detective Pikachu;,Detective Pikachu;,,Magno1a
82,PikaPika,"It’s #PikaPika day! I’m ready, are you?",;,;,,cerisehood_777
83,PikaPika,"It’s #PikaPika day! I’m ready, are you?",;,;,,masculinemarko
84,"DetectivePikachu, PikaPika",@DetPikachuMovie Thank you for #DetectivePikachu #PikaPika,,,,jungkooks_ring
85,PikaPika,"It’s #PikaPika day! I’m ready, are you?",;,;,,VarunC002
86,freecodefriday,for #freecodefriday  we're gonna mix it up a little bit! RT this and we'll pick 10 people to win 500 Nutaku Gold each! #PikaPika,; 500 Nutaku Gold;,; ;,,mango8660
87,PikaPika,"It’s #PikaPika day! I’m ready, are you?",;,;,,Fifimalibu
88,PikaPika,"It’s #PikaPika day! I’m ready, are you?
I haven't seen it yet. No spoilers pls 😂",;;;,;;;,,salami_dono
