ID,HashTags,TweetText,mentions_other,mentions_limited_types,URLs,User
1,,I’ve been cheering for the @trailblazers for as long as I can remember. Getting to see them advance to the WCF for the 1st time in 19 years was a true delight. Wouldn’t trade this feeling (with some of my favorite people) for the world. #RipCity,;WCF;,;WCF;,https://twitter.com/i/web/status/1127722771050582017,kflowers
2,,"👏 @CJMcCollum pours in 37 PTS and comes up clutch late, helping the @trailblazers take Game 7 and advance to the Western Conference Finals! #RipCity #NBAPlayoffs

Game 1: Tuesday (5/14), 9pm/et, ESPN ",Western Conference Finals;ESPN,Western Conference Finals;ESPN,,GeauxKellz
3,"NotToday, ripcity",CJ McBlock'Em #NotToday #ripcity,CJ McBlock'Em,CJ McBlock'Em,,Marky_Mark_30
4,,". @bosnianbeast27 joined the @trailblazers on the court after they clinched a WCF berth. 

Where have we seen that wave before...? 

#ripcity ",WCF;;,WCF;;,,al8bnmt3
5,RipCity,Oops 🤣 #RipCity @trailblazers,,,,KevinT503
6,"DubNation, RipCity",Steph Curry to Seth Curry #DubNation vs. #RipCity,"Steph Curry, Seth Curry","Steph Curry, Seth Curry",,joshrabuco
7,,". @bosnianbeast27 joined the @trailblazers on the court after they clinched a WCF berth. 

Where have we seen that wave before...? 

#ripcity ",WCF;;,WCF;;,,StephanNguyen56
8,,Great to know that this floor and these hoops aren’t ready to be packed away for the summer.  @trailblazers @ModaCenter #ripcity,;,;,,TheRockyClassic
9,,"""We don't stop, we don't quit. When we came in at halftime there was nobody in this locker room thought we were going to lose this game...we've shown that all season...we're at our best when our backs are against the wall"" @moe_harkless #RipCity ",;;,;;,,kodybart3
10,"RipCity, MileHighBasketball, NBAonABC","THE CLUTCH JUMPER FROM CJ McCOLLUM!

#RipCity 98
#MileHighBasketball 96

11.4 to play on #NBAonABC ",CJ McCOLLUM;;;,CJ McCOLLUM;;;,,LukeTunningley
11,RipCity,"He would've been proud. 

What a win @trailblazers! #RipCity ",;,;,,justintherat
12,,You earned it big fella.,,,https://twitter.com/NBCSNorthwest/status/1127717405042642944,Aamot4life
13,"RipCity, AuthenticFan","Kan we take a selfie 😏

@Enes_Kanter #RipCity #AuthenticFan ",Kan;,Kan;,,1SurgunOgretmen
14,"RipCity, NBAPlayoffs","CJ McCollum (37 PTS, 9 REB) DOMINATED as the @trailblazers head to the WCF! 🔥

#RipCity | #NBAPlayoffs ",CJ McCollum;,CJ McCollum;,,MasterL3x
15,RipCity,"BEST. DAY. EVER.

#RipCity",;,;,,caitik2
16,,This is cold in slo mo 🥶,,,,412Doe
17,RipCity,"This is a special team. A special year. 

Soak this in... it’s a good time to live in Portland. #RipCity",;;;Portland,;;;Portland,,iamliviin
18,,Amazing win and performance by @CJMcCollum! This Blazers team is special. On to the next. Time to take down the champs! #RipCity,; Blazers;;;,; Blazers;;;,,ReeArmitage
19,,"👏 @CJMcCollum pours in 37 PTS and comes up clutch late, helping the @trailblazers take Game 7 and advance to the Western Conference Finals! #RipCity #NBAPlayoffs

Game 1: Tuesday (5/14), 9pm/et, ESPN ",Western Conference Finals;;ESPN,Western Conference Finals;;ESPN,,spencergoesbig
20,,Man of the people,,,,SaintPatrickJR
21,"RipCity, NBAPlayoffs","#RipCity is back in the Western Conference Finals! 👏 

#NBAPlayoffs ",Western Conference Finals;,Western Conference Finals;,,NBATV
22,RipCity,No way this @trailblazers season was ending today. Congrats to the team and all of #RipCity for making it to the Western Conference Finals and providing so many memories along the way. Feels like there are many more to come against Golden State.,;Western Conference Finals;Golden State,;Western Conference Finals;Golden State,,ReeArmitage
23,,"Won't make the playoffs.

Can't beat the Thunder with their starting center down and backup playing with one arm.

Their star guards can't win in the playoffs, anyway.

And now there's no way they can win game 7 on the road.

Right...? 

@trailblazers #RipCity #NBAPlayoffs 👊😎👊",;THunder;;;;,;THunder;;;;,,tayshizzle
24,"PhantomCam, RipCity, NBAPlayoffs","CJ McCollum sinks the game-clinching jumper in #PhantomCam!

#RipCity 
#NBAPlayoffs ",CJ McCollum;;,CJ McCollum;;,,PapiLowsa
25,,CJ McCollum drains a cold-blooded jumper in the dwindling seconds as the Trail Blazers pull off a shocker over the No. 2 Nuggets! #NBAPlayoffs #RipCity #MileHighBasketball,"CJ McCollum,Trail Blazers,Nuggets;","CJ McCollum,Trail Blazers,Nuggets;",https://twitter.com/i/web/status/1127722881100783616,rapplerdotcom
26,,AND EVERYWHERE IN THE WORLD 🇫🇷🌍,,,https://twitter.com/brookeolzendam/status/1127657937369853952,Rafiki25790099
27,RipCity,"The matchup is set.

#RipCity ",;,;,,Mt_Bolt299
28,"Blazers, Lehigh, RipCity",CJ got a little emotional. What a monster game and series. #Blazers #Lehigh #RipCity,CJ;;,CJ;;,,ReasonsAre
29,"ripcity, blazers, RipCityOnTheyAss",Blazers going to round 3 for the first time in 20 years 🌹 #ripcity #blazers #RipCityOnTheyAss,Blazers,Blazers,,ConnorCurtiss
30,"RipCity, MileHighBasketball, NBAonABC","Evan Turner makes both at the line!

#RipCity 100
#MileHighBasketball 96

8.0 left on #NBAonABC. DEN ball.",Evan Turner;;;;DEN ball,Evan Turner;;;;,,toledoplayer
31,RipCity,VIDEO: How is @Enes_Kanter holding up with Ramadan fasting in full effect? #RipCity,Ramadan;,;,,ygoren67
32,"PhantomCam, RipCity, NBAPlayoffs","CJ McCollum sinks the game-clinching jumper in #PhantomCam!

#RipCity 
#NBAPlayoffs ",CJ McCollum;;,CJ McCollum;;,,Shyguyisgucci
33,"RipCity, Blazers","You couldn't have chosen a better legend to emulate, Enes Kanter. 👊

#RipCity #Blazers ",Enes Kanter;,Enes Kanter;,,Yurt034
34,,"@theotherGLopez @GregCowboys @rudedogreyes @LionCuban @Montejp231 @darryl_brooks @socdrmali @lori_stella75 @collazophilly @5280Keith It's official the ""Curry Family"" will be divided as sons will play against each other #RipCity vs #DubNation ",Curry Family,Curry Family,,Montejp231
35,RipCity,"37 PTS
17-29 FGM
POR wins series 4-3
#RipCity ",;FGM;POR;,;FGM;POR;,,RoRodagreat1
36,,So I guess that comeback win against Sacramento in the regular season finale wasn’t such a bad thing after all. #ripcity,Sacramento;,Sacramento;,https://twitter.com/i/web/status/1127722921504325632,ScottTokstad
37,RipCity,He’s Underrated 👀 #RipCity,,,,alsharif_fawaz
38,,"My copy of @NBA2K strikes again. This time, it nailed the Nuggets' point total and was just 5 points off for the Blazers. I think it's enchanted. #RipCity",";Nuggets,Blazers;;",";Nuggets,Blazers;;",https://twitter.com/i/web/status/1127722939120361473,jaredcowley
39,RipCity,Congrats Dame ! @Dame_Lillard  #RipCity,Dame;;,Dame;;,,87549847j384
