ID,HashTags,TweetText,mentions_other,mentions_limited_types,URLs,User
1,RoeVWade,Reminder: 73% of Americans don’t want to see #RoeVWade overturned.,Americans,Americans,,Slanderpanic
2,RoeVWade,"The attack on women’s bodies is real. We aren’t going to be silent. 

Our voices will be heard. 

✊🏾✊✊🏻✊🏼✊🏽✊🏿

#RoeVWade ",;;;,;;;,,xojennflores
3,"AlabamaAbortionBan, AlabamaSenate","To all of the Trump supporters defending the #AlabamaAbortionBan that just passed in the #AlabamaSenate, please recall Donald Trump in 1999 said ""I'm very pro-choice.""  He's a conman, trying to overturn #RoeVWade just for votes. ","Trump,Donald Trump;","Trump,Donald Trump;",,loveletters2007
4,,The same lawmakers who say science is their reason for rolling back abortion rights refuse to make laws based on science that shows easy access to guns has given America a gun homicide rate 25 times higher than any peer nation. #RoeVWade,"abortion rights, America"," rights, America",,lindytx21
5,"WednesdayWisdom, RoeVWade, YouKnowMe, HitMeWithYourBestPun","Do you need technology logo?
Gase #WednesdayWisdom #RoeVWade Mike Maccagnan #YouKnowMe Morty #HitMeWithYourBestPun #WednesdayWisdom Special Olympics #Europeennes2019 #SDGs Trump Jimin #graaja #psvher Black Mirror Jeremy Kyle #SDGs Britain America Iran
 ",";Special Olympics,Trump,Black Mirror,Jeremy Kyle,Britain,America,Iran",";Special Olympics,Trump,Black Mirror,Jeremy Kyle,Britain,America,Iran",https://twitter.com/i/web/status/1128732810972295168,Susana44494203
6,AlabamaAbortionBan,Check out my latest piece about the #AlabamaAbortionBan that explains the GOP strategy behind this law and the recent Heartbeat Bills. #RoeVWade #BoycottAlabama #WomensRightsAreHumanRights,"GOP,Heartbeat Bills;","GOP,;",,axdentlactivist
7,,"""Alabama’s new law mandating an almost blanket ban on abortion, the strictest in the United States, was passed by this group of exclusively white, male, (and Republican) politicians""

#TrustWomen #RoeVWade #BoycottAlabama #prochoice #Fascism  #SRHR 

","Alabama,abortion,United States,Republican;","Alabama,,United States,Republican;",,chareesi
8,maga,"Abortion isn't just legal in Israel, it's free.
So all the anti-abortion #maga  ppl praising Alabama  trying to kill #RoeVWade will probably start demanding we end all US aid to Israel, am I right?","Abortion,Israel;Alabama,US,Israel",",Israel;Alabama,US,Israel",,JackieR0121
9,,Alabama has the right idea! We must BAN ABORTION and stop MURDERING BABIES so they can grow up and get shot and killed in the classroom like NORMAL children! #RoeVWade #MAGA #Alabama,Alabama;ABORTION;,Alabama;;,,vicvega422
10,RoeVWade,"Maybe if we called school shootings ""post-birth abortions"" the Republican Party would give a damn about them. #RoeVWade #AlabamaAbortionBan",Republican Party;,Republican Party;,,NoraLov50
11,,"It's time to remove Abortion from the whispers  shame. 1 in 4 U.S. women will have an Abortion. I'm one of those women. I was married for 6 yrs  using birth control. I am not ashamed. 6 yrs later I chose to become a mother to my daughter. Protect #RoevWade 
#NoShame","Abortion,U.S,Abortion;;",",U.S,;;",,rmccown
12,,"I used to be ok with Abortion, now I would love for it to be banned. Live with your decisions. I would love to see a future world were civil action were allowed to be filed by father's who never got to see there kids grow up bc the woman killed it out of spite, like so many do. ",Abortion;;,;;,,CanadianPatri18
13,,"please take two minutes to read this, it’s incredibly important and pertinent to what’s happening in several states. the weight of the legislation that’s being passed needs to be realized. #RoeVWade ",;;;,;;;,,jewels_rad
14,,"I used to be ok with Abortion, now I would love for it to be banned. Live with your decisions. I would love to see a future world were civil action were allowed to be filed by father's who never got to see there kids grow up bc the woman killed it out of spite, like so many do. ",Abortion;;,;;,,RobertBradleyJ2
15,"fiverr, AlabamaAbortionBan","Are you looking for convert PSD to HTML? Contact me at any time on #fiverr
Jets Gase #AlabamaAbortionBan #WednesdayWisdom Black Mirror #RoeVWade Morty 
","PSD,HTML;;Jets Gase,Black Mirror, Morty",;; Morty,https://twitter.com/i/web/status/1128732821684572160,shafiqhammad7
16,,“Step 1 was to get Brett Kavanaugh appointed to the Supreme Court. Step 2 was to enact multiple laws in multiple states so that they could work their way up the appeals process. Step 3 is Kavanaugh paying back all of the favors it took to get him appointed.”,"Brett Kavanaugh,Supreme Court;;Kavanaugh","Brett Kavanaugh,Supreme Court;;Kavanaugh",,BKlimik
17,,Everyone should be in favor of choice and everyone should be in favor of life. But when a choice takes a life everyone on Earth knows which of the two is most important to preserve. #ProLife #LoveWins #AlabamaAbortionBan #RoeVWade #WomensRightsAreHumanRights #WednesdayWisdom,;Earth;,;Earth;,https://twitter.com/i/web/status/1128732825799221248,RyanMoore
18,,"Boycott Alabama starting today. Boycott all companies located in Alabama starting today. Do not visit, do not vacation there.  #BoycottAlabama   #WomensRightsAreHumanRights",Alabama;Alabama;,Alabama;Alabama;,https://twitter.com/i/web/status/1128732826105524233,kwin02173081
19,RoeVWade,Reminder: 73% of Americans don’t want to see #RoeVWade overturned.,Americans,Americans,,AlexandraL_24
20,,"The only way to STOP the dystopian future horror show from happening is to VOTE BLUE in EVERY ELECTION, small or large, even when the candidate wasn't your 1st, 2nd or 3rd choice. 

#AlabamaAbortionBan #AbortionRights #RoeVWade #AlabamaSenate #WomensRightsAreHumanRights ",ELECTION;,ELECTION;,https://twitter.com/i/web/status/1128732827011489798,PERSlSTERS
21,maga,"Abortion isn't just legal in Israel, it's free.
So all the anti-abortion #maga  ppl praising Alabama  trying to kill #RoeVWade will probably start demanding we end all US aid to Israel, am I right?","Abortion,Israel;Alabama,US,Israel",",Israel;Alabama,US,Israel",,PriusRaj
22,maga,"Abortion isn't just legal in Israel, it's free.
So all the anti-abortion #maga  ppl praising Alabama  trying to kill #RoeVWade will probably start demanding we end all US aid to Israel, am I right?","Abortion,Israel;Alabama,US,Israel",",Israel;Alabama,US,Israel",,Blackswan725
23,RoeVWade,"Maybe if we called school shootings ""post-birth abortions"" the Republican Party would give a damn about them. #RoeVWade #AlabamaAbortionBan",Republican Party;,Republican Party;,,VioPerrotte
24,,"Alabama reaches a new, deeply unconstitutional low. Abortion is not a crime, it is a medical procedure, a constitutional right,  above all else, a choice for women to make without government interference. We’ll never stop fighting for women to have control over their own bodies. ",Alabama;Abortion;,Alabama;;,,Cupcake072761
25,"AlabamaAbortionBan, AlabamaSenate","To all of the Trump supporters defending the #AlabamaAbortionBan that just passed in the #AlabamaSenate, please recall Donald Trump in 1999 said ""I'm very pro-choice.""  He's a conman, trying to overturn #RoeVWade just for votes. ","Trump,Donald Trump;","Trump,Donald Trump;",,thevongie
26,,“Step 1 was to get Brett Kavanaugh appointed to the Supreme Court. Step 2 was to enact multiple laws in multiple states so that they could work their way up the appeals process. Step 3 is Kavanaugh paying back all of the favors it took to get him appointed.”,"Brett Kavanaugh,Supreme Court;;Kavanaugh","Brett Kavanaugh,Supreme Court;;Kavanaugh",,bob_levitt
27,RoeVWade,Reminder: 73% of Americans don’t want to see #RoeVWade overturned.,Americans,Americans,,debjohn718
28,"AlabamaAbortionBan, AlabamaSenate","To all of the Trump supporters defending the #AlabamaAbortionBan that just passed in the #AlabamaSenate, please recall Donald Trump in 1999 said ""I'm very pro-choice.""  He's a conman, trying to overturn #RoeVWade just for votes. ","Trump,Donald Trump;","Trump,Donald Trump;",,JoyTaylorTalks
29,"AlabamaAbortionBan, AlabamaSenate","To all of the Trump supporters defending the #AlabamaAbortionBan that just passed in the #AlabamaSenate, please recall Donald Trump in 1999 said ""I'm very pro-choice.""  He's a conman, trying to overturn #RoeVWade just for votes. ","Trump,Donald Trump;","Trump,Donald Trump;",,MicaelaGarzoni
30,,"The whole misogynist Republican enterprise is now out in the open.

We're fighting a battle on the state level not just for abortion rights—but for a woman's fundamental freedom to make her own decisions about her own body. ",Republican;,Republican;,,HelenRosenthal
31,maga,"Abortion isn't just legal in Israel, it's free.
So all the anti-abortion #maga  ppl praising Alabama  trying to kill #RoeVWade will probably start demanding we end all US aid to Israel, am I right?","Abortion,Israel;Alabama,US,Israel",",Israel;Alabama,US,Israel",,LPinedaBR80
32,RoeVWade,Do you want to see #RoeVWade overturned?,,,,MasonPampinella
33,"RoeVWade, Proud","#RoeVWade #Proud I have 3 sister all who are PRO-LIFE  have beautiful children! I am the lucky one as their brother. I stand with REAL WOMEN!!!

#MAGAPatriotsUnite

#RedAwaken2020 #GetInTheFight @redawaken2020

#BLEXIT #WalkAway #MAGA2KAG #MAGACountry #Trump2020 #BuildTheWall ",;;,;;,,sappermartin
34,RoeVWade,"Maybe if we called school shootings ""post-birth abortions"" the Republican Party would give a damn about them. #RoeVWade #AlabamaAbortionBan",Republican Party;,Republican Party;,,whitechoclate68
35,,"Alabama reaches a new, deeply unconstitutional low. Abortion is not a crime, it is a medical procedure, a constitutional right,  above all else, a choice for women to make without government interference. We’ll never stop fighting for women to have control over their own bodies. ",Alabama;Abortion;,Alabama;;,,sweetzwoo1
36,RoeVWade,Reminder: 73% of Americans don’t want to see #RoeVWade overturned.,Americans,Americans,,jdubya688
37,"AlabamaAbortionBan, AlabamaSenate","To all of the Trump supporters defending the #AlabamaAbortionBan that just passed in the #AlabamaSenate, please recall Donald Trump in 1999 said ""I'm very pro-choice.""  He's a conman, trying to overturn #RoeVWade just for votes. ","Trump,Donald Trump;","Trump,Donald Trump;",,penneyewart
38,,Yes please let’s stop giving all that money to Israel,Israel,Israel,,AlphaTrap420
39,"fiverr, AlabamaAbortionBan","Are you looking for convert PSD to HTML? Contact me at any time on #fiverr
Jets Gase #AlabamaAbortionBan #WednesdayWisdom Black Mirror #RoeVWade Morty 
","PSD,HTML;Jets Gase,Black Mirror, Morty",; Morty,https://twitter.com/i/web/status/1128732850302251008,shafiqhammad7
40,RoeVWade,"The attack on women’s bodies is real. We aren’t going to be silent. 

Our voices will be heard. 

✊🏾✊✊🏻✊🏼✊🏽✊🏿

#RoeVWade ",;;;,;;;,,smazattack
41,RoeVWade,"The attack on women’s bodies is real. We aren’t going to be silent. 

Our voices will be heard. 

✊🏾✊✊🏻✊🏼✊🏽✊🏿

#RoeVWade ",;;;,;;;,,K_KiallRoran
42,"RoeVWade, RoeVsWade",Do you remember when Joe Biden voted to allow states to overturn Roe V Wade? I sure do. #RoeVWade #RoeVsWade #AlabamaBoycott #GeorgiaBoycott #WednesdayWisdom,"Joe Biden,Roe V Wade;;","Joe Biden,Roe V Wade;;",,SirJoshImmortal
43,RoeVWade,Reminder: 73% of Americans don’t want to see #RoeVWade overturned.,Americans,Americans,,fetrow_judith
44,,Wellppppp,,,,CuriousKaila
45,,"Basic health care includes safe, legal Abortion. Alabama’s backdoor abortion ban is an unconstitutional attack on women—an attack happening all across America. Let’s be very clear: We’re going to fight this ban and defend #RoeVWade. And we’ll win. ","Abortion;Alabama,abortion,America;;",";Alabama,,America;;",,DeborahAlcorn
46,,"Actually it is the CHILDREN conceived in rape who thank the state GOP. Those children who are who are often given the death penalty even though they are completely innocent of any crimes. They thank the state GOP.
One of such children is Travon👉🏾 ",GOP;;GOP;Travon,GOP;;GOP;Travon,,BjBadger2wisky
47,,"Roe V Wade: The Constitutional Right to Access Safe, Legal Abortion. On January 22, 1973, the U.S. Supreme Court handed down its landmark decision in the case of Roe V Wade, which affirmed the constitutional right to access safe, legal abortion. #RoeVWade","Roe V Wade, Abortion;U.S. Supreme Court,Roe V Wade,abortion","Roe V Wade, ;U.S. Supreme Court,Roe V Wade,",https://twitter.com/i/web/status/1128732862377877504,BrendaLeeNY
48,RoeVWade,I can’t believe we’re still debating #RoeVWade in 2019. WTAF,,,,Jason_House
49,,"Alabama reaches a new, deeply unconstitutional low. Abortion is not a crime, it is a medical procedure, a constitutional right,  above all else, a choice for women to make without government interference. We’ll never stop fighting for women to have control over their own bodies. ",Alabama;Abortion;,Alabama;;,,think_teach1
50,,27 white males just decided what Alabama women can and can’t do with their own bodies and lives.  *(Males cause 100% of unwanted pregnancies),Alabama;,Alabama;,,MoHottaMoBetta
51,maga,"Abortion isn't just legal in Israel, it's free.
So all the anti-abortion #maga  ppl praising Alabama  trying to kill #RoeVWade will probably start demanding we end all US aid to Israel, am I right?","Abortion,Israel;Alabama,US,Israel",",Israel;Alabama,US,Israel",,RichardRitzJr1
52,RoeVWade,"If a woman dies during childbirth, then the man who orgasmed inside her should be charged with murder. #RoeVWade",,,,ariakumar
53,,"What happened in Alabama can NEVER happen here in VA and as our Federal Judiciary now leans conservative, it’s important that #RoevWade continues to be the law of the land in VA. I will fight for a women’s right to have control over their own bodies #SaveRoe #MyBodyMyChoicePeriod","Alabama,VA,Federal Judiciary,VA;","Alabama,VA,Federal Judiciary,VA;",,nitagale
54,maga,"Abortion isn't just legal in Israel, it's free.
So all the anti-abortion #maga  ppl praising Alabama  trying to kill #RoeVWade will probably start demanding we end all US aid to Israel, am I right?","Abortion,Israel;Alabama,US,Israel",",Israel;Alabama,US,Israel",,Its_Ry_Guy
55,,"What's all the fuss? U can still get an ""Abortion"" in Alabama. Just wait until your kid is school age and leave it in the hands of classroom shooters there. #NRAIsATerroristOrganization #BoycottAlabama #RoeVWade #WomensRightsAreHumanRights #AlabamaHatesWomen #AlabamaAbortionBan",";Abortion,Alabama;;",";,Alabama;;",,stalag13G
56,"AlabamaAbortionBan, AlabamaSenate","To all of the Trump supporters defending the #AlabamaAbortionBan that just passed in the #AlabamaSenate, please recall Donald Trump in 1999 said ""I'm very pro-choice.""  He's a conman, trying to overturn #RoeVWade just for votes. ","Trump,Donald Trump;","Trump,Donald Trump;",,Michael_Sh4w
57,,"Shout out to everyone who said we were mad about nothing, bitter, and over exaggerating when we went out and marched right after that boy got put into the White House. #RoeVWade",White House;,White House;,https://twitter.com/i/web/status/1128732874855682048,ReallyMighty
58,"AlabamaAbortionBan, AlabamaSenate","To all of the Trump supporters defending the #AlabamaAbortionBan that just passed in the #AlabamaSenate, please recall Donald Trump in 1999 said ""I'm very pro-choice.""  He's a conman, trying to overturn #RoeVWade just for votes. ","Trump,Donald Trump;","Trump,Donald Trump;",,rohaniroop
