ID,HashTags,TweetText,mentions_other,mentions_limited_types,URLs,User
0,RoeVWade,Reminder: 73% of Americans don’t want to see #RoeVWade overturned.,Americans,Americans,,Slanderpanic
1,RoeVWade,"The attack on women’s bodies is real. We aren’t going to be silent. 

Our voices will be heard. 

✊🏾✊✊🏻✊🏼✊🏽✊🏿

#RoeVWade ",;;;,;;;,,xojennflores
2,"AlabamaAbortionBan, AlabamaSenate","To all of the Trump supporters defending the #AlabamaAbortionBan that just passed in the #AlabamaSenate, please recall Donald Trump in 1999 said ""I'm very pro-choice.""  He's a conman, trying to overturn #RoeVWade just for votes. ","Trump,Donald Trump;","Trump,Donald Trump;",,loveletters2007
3,,The same lawmakers who say science is their reason for rolling back abortion rights refuse to make laws based on science that shows easy access to guns has given America a gun homicide rate 25 times higher than any peer nation. #RoeVWade,"abortion rights, America"," rights, America",,lindytx21
4,"WednesdayWisdom, RoeVWade, YouKnowMe, HitMeWithYourBestPun","Do you need technology logo?
Gase #WednesdayWisdom #RoeVWade Mike Maccagnan #YouKnowMe Morty #HitMeWithYourBestPun #WednesdayWisdom Special Olympics #Europeennes2019 #SDGs Trump Jimin #graaja #psvher Black Mirror Jeremy Kyle #SDGs Britain America Iran
 ",";Special Olympics,Trump,Black Mirror,Jeremy Kyle,Britain,America,Iran",";Special Olympics,Trump,Black Mirror,Jeremy Kyle,Britain,America,Iran",https://twitter.com/i/web/status/1128732810972295168,Susana44494203
5,AlabamaAbortionBan,Check out my latest piece about the #AlabamaAbortionBan that explains the GOP strategy behind this law and the recent Heartbeat Bills. #RoeVWade #BoycottAlabama #WomensRightsAreHumanRights,"GOP,Heartbeat Bills;","GOP,;",,axdentlactivist
6,,"""Alabama’s new law mandating an almost blanket ban on abortion, the strictest in the United States, was passed by this group of exclusively white, male, (and Republican) politicians""

#TrustWomen #RoeVWade #BoycottAlabama #prochoice #Fascism  #SRHR 

","Alabama,abortion,United States,Republican;","Alabama,,United States,Republican;",,chareesi
7,maga,"Abortion isn't just legal in Israel, it's free.
So all the anti-abortion #maga  ppl praising Alabama  trying to kill #RoeVWade will probably start demanding we end all US aid to Israel, am I right?","Abortion,Israel;Alabama,US,Israel",",Israel;Alabama,US,Israel",,JackieR0121
8,,Alabama has the right idea! We must BAN ABORTION and stop MURDERING BABIES so they can grow up and get shot and killed in the classroom like NORMAL children! #RoeVWade #MAGA #Alabama,Alabama;ABORTION;,Alabama;;,,vicvega422
9,RoeVWade,"Maybe if we called school shootings ""post-birth abortions"" the Republican Party would give a damn about them. #RoeVWade #AlabamaAbortionBan",Republican Party;,Republican Party;,,NoraLov50
10,,"It's time to remove Abortion from the whispers  shame. 1 in 4 U.S. women will have an Abortion. I'm one of those women. I was married for 6 yrs  using birth control. I am not ashamed. 6 yrs later I chose to become a mother to my daughter. Protect #RoevWade 
#NoShame","Abortion,U.S,Abortion;;",",U.S,;;",,rmccown
11,,"I used to be ok with Abortion, now I would love for it to be banned. Live with your decisions. I would love to see a future world were civil action were allowed to be filed by father's who never got to see there kids grow up bc the woman killed it out of spite, like so many do. ",Abortion;;,;;,,CanadianPatri18
12,,"please take two minutes to read this, it’s incredibly important and pertinent to what’s happening in several states. the weight of the legislation that’s being passed needs to be realized. #RoeVWade ",;;;,;;;,,jewels_rad
13,,"I used to be ok with Abortion, now I would love for it to be banned. Live with your decisions. I would love to see a future world were civil action were allowed to be filed by father's who never got to see there kids grow up bc the woman killed it out of spite, like so many do. ",Abortion;;,;;,,RobertBradleyJ2
14,"fiverr, AlabamaAbortionBan","Are you looking for convert PSD to HTML? Contact me at any time on #fiverr
Jets Gase #AlabamaAbortionBan #WednesdayWisdom Black Mirror #RoeVWade Morty 
","PSD,HTML;;Jets Gase,Black Mirror, Morty",;; Morty,https://twitter.com/i/web/status/1128732821684572160,shafiqhammad7
15,,“Step 1 was to get Brett Kavanaugh appointed to the Supreme Court. Step 2 was to enact multiple laws in multiple states so that they could work their way up the appeals process. Step 3 is Kavanaugh paying back all of the favors it took to get him appointed.”,"Brett Kavanaugh,Supreme Court;;Kavanaugh","Brett Kavanaugh,Supreme Court;;Kavanaugh",,BKlimik
16,,Everyone should be in favor of choice and everyone should be in favor of life. But when a choice takes a life everyone on Earth knows which of the two is most important to preserve. #ProLife #LoveWins #AlabamaAbortionBan #RoeVWade #WomensRightsAreHumanRights #WednesdayWisdom,;Earth;,;Earth;,https://twitter.com/i/web/status/1128732825799221248,RyanMoore
17,,"Boycott Alabama starting today. Boycott all companies located in Alabama starting today. Do not visit, do not vacation there.  #BoycottAlabama   #WomensRightsAreHumanRights",Alabama;Alabama;,Alabama;Alabama;,https://twitter.com/i/web/status/1128732826105524233,kwin02173081
18,RoeVWade,Reminder: 73% of Americans don’t want to see #RoeVWade overturned.,Americans,Americans,,AlexandraL_24
19,,"The only way to STOP the dystopian future horror show from happening is to VOTE BLUE in EVERY ELECTION, small or large, even when the candidate wasn't your 1st, 2nd or 3rd choice. 

#AlabamaAbortionBan #AbortionRights #RoeVWade #AlabamaSenate #WomensRightsAreHumanRights ",ELECTION;,ELECTION;,https://twitter.com/i/web/status/1128732827011489798,PERSlSTERS
20,maga,"Abortion isn't just legal in Israel, it's free.
So all the anti-abortion #maga  ppl praising Alabama  trying to kill #RoeVWade will probably start demanding we end all US aid to Israel, am I right?","Abortion,Israel;Alabama,US,Israel",",Israel;Alabama,US,Israel",,PriusRaj
21,maga,"Abortion isn't just legal in Israel, it's free.
So all the anti-abortion #maga  ppl praising Alabama  trying to kill #RoeVWade will probably start demanding we end all US aid to Israel, am I right?","Abortion,Israel;Alabama,US,Israel",",Israel;Alabama,US,Israel",,Blackswan725
