ID,HashTags,TweetText,mentions_other,mentions_limited_types,URLs,User
1,Venezuela,"This is a good thread on the backstory that has led us to this point in #Venezuela. The Trump Administration is literally healing the world from the poison sting of globalism, one failed state at a time. #MAGA is the road to world peace. 👇 ",";Trump Administration, globalism;",";Trump Administration, ;",,RheallN
2,"France, MayDay","Wow. Absolute chaos today in #France on #MayDay.

But most media outlets won’t be broadcasting Macron’s police assaulting and tear gassing unarmed protesters. They’re too busy generating propaganda to start a war in #Venezuela. #YellowVests #GiletsJaunes ",;; Macron;;,;; Macron;;,,Abreus
3,"France, MayDay","Wow. Absolute chaos today in #France on #MayDay.

But most media outlets won’t be broadcasting Macron’s police assaulting and tear gassing unarmed protesters. They’re too busy generating propaganda to start a war in #Venezuela. #YellowVests #GiletsJaunes ",;; Macron;;,;; Macron;;,,Clare_Scotland
4,"Venezuela, TrishRegan","TONIGHT - hear directly from ⁦@realDonaldTrump⁩ on #Venezuela  much more!! 8pmE on #TrishRegan 
ALSO on TONIGHT-the man we recognize as Pres of Venezuela ⁦@jguaido⁩ !! AND ⁦@marcorubio⁩ who has supported Venezuela from start. BIG night! live 8pm #FoxBusiness ",;;Pres of Venezuela; Venezuela;,;;Pres of Venezuela; Venezuela;,,MAGALOGAN2379
5,Venezuela,"Watch @anyaparampil's great interview demolishing the Trump admin’s push for Regime Change in #Venezuela.

She advises Trump to fire Neocon Nutjobs Pompeo, Bolton,  Abrams.
Trump should take her advice.
@TuckerCarlson agrees!

#MayDay
","Trump;;Trump, Pompeo, Bolton,  Abrams; Trump;;","Trump;;Trump, Pompeo, Bolton,  Abrams; Trump;;",,andreaskapp
6,"Maduro, Venezuela",#Maduro sends his troops out to militarize the streets in #Venezuela,,,,ChahinLeon
7,"Cuba, Venezuela",Within 40 minutes the president of #Cuba (appointed by Dictator Raul Castro) tweets the exact message as #Venezuela Minister of Defense (also appointed by Castro). The movement now in #Venezuela is as much about sovereignty and ending Cuban imperial control as it is about liberty,"Dictator Raul Castro,Minister of Defense, Castro; Cuban","Dictator Raul Castro,Minister of Defense, Castro; Cuban",,EmilyKhrist
8,"Venezuela, TrishRegan","TONIGHT - hear directly from ⁦@realDonaldTrump⁩ on #Venezuela  much more!! 8pmE on #TrishRegan 
ALSO on TONIGHT-the man we recognize as Pres of Venezuela ⁦@jguaido⁩ !! AND ⁦@marcorubio⁩ who has supported Venezuela from start. BIG night! live 8pm #FoxBusiness ",;;Pres of Venezuela; Venezuela;,;;Pres of Venezuela; Venezuela;,,EvaLB5
9,"Maduro, Venezuela",#Maduro sends his troops out to militarize the streets in #Venezuela,,,,MaihenH
10,"Maduro, Venezuela",#Maduro sends his troops out to militarize the streets in #Venezuela,,,,HansFerrara
11,Maduro,"Watch brutality of the Dictator #Maduro's security forces who are violently suppressing defenseless protesters in los Teques. This is happening in several cities of #Venezuela now.
#operaciónlibertad ",los Teques;;,los Teques;;,,jmedeiros71
12,"cuba, venezuela",The latest NeoKaxtrizmo!  Thanks to @FlordeCuba1 @anamariecox @noticiascentro #cuba #venezuela,NeoKaxtrizmo;,;,https://paper.li/lazarogonzale?edition_id=4cd67900-6c48-11e9-89a7-002590a5ba2d,lazarogonzale
13,"Maduro, Venezuela",#Maduro sends his troops out to militarize the streets in #Venezuela,,,,ilusionvzla
14,Venezuela,"UPDATE #Venezuela 

• Trump: Cuba cud face Full Embargo
• Canada calls on Maduro to leave
• Bolton: All options on Table
• Abrams: Regime  Opposition talks
• Erdogan 📞 Putin, Backs Maduro
• Media crackdown in Venezuela ",";;Trump, Cuba; Canada, Maduro; Bolton; Abrams; Erdogan, Putin, Maduro; Venezuela",";;Trump, Cuba; Canada, Maduro; Bolton; Abrams; Erdogan, Putin, Maduro; Venezuela",,bishopgames
15,"Maduro, Venezuela",#Maduro sends his troops out to militarize the streets in #Venezuela,,,,alexaturner1506
16,,"!!!: Secretary of State Mike Pompeo says “Military action is possible. If that’s what’s required, that’s what the United States will do” in #Venezuela.",Secretary of State Mike Pompeo; United States,Secretary of State Mike Pompeo; United States,,laestadistadePR
17,Venezuela,"What’s happening in Venezuela is NOT a coup. @jguaido is the democratically legitimate president according to #Venezuela’s own Constitution.

Nicolás Maduro, on the other hand, is a criminal dictator who rigged the last election. Maduro must go.",Venezuela; Constitution; Nicolás Maduro; Maduro,Venezuela; ; Nicolás Maduro; Maduro,,JudsonSapp
18,"Caracas, Venezuela, Guayana",Not just in #Caracas but also across #Venezuela like #Guayana marchers mobilizing this morning demanding the return of constitutional order. #1May,,,,sonianna2
19,,"@jguaido has no security force  no ability to control the media. Facing grave threats to his freedom  safety he openly challenges a criminal dictator on a daily basis in #Venezuela

This one man has more courage than every high ranking #MaduroRegime official put together.",;;;,;;;,,Dayiaponte
20,"Venezuela, Caracas, OperacionLibertad","#Venezuela 🇻🇪: the capital #Caracas on the second day of #OperacionLibertad, the streets are packed but largely peaceful so far. #1May ",;,;,,Spynet1
21,"Caracas, Venezuela, Guayana",Not just in #Caracas but also across #Venezuela like #Guayana marchers mobilizing this morning demanding the return of constitutional order. #1May,;,;,,V_V_Vendetta
22,"Venezuela, TrishRegan","TONIGHT - hear directly from ⁦@realDonaldTrump⁩ on #Venezuela  much more!! 8pmE on #TrishRegan 
ALSO on TONIGHT-the man we recognize as Pres of Venezuela ⁦@jguaido⁩ !! AND ⁦@marcorubio⁩ who has supported Venezuela from start. BIG night! live 8pm #FoxBusiness ",;;Pres of Venezuela;Venezuela;;,;;Pres of Venezuela;Venezuela;;,,leoperezmusica
23,"Maduro, Venezuela",#Maduro sends his troops out to militarize the streets in #Venezuela,,,,Listortolero
24,"Maduro, Venezuela",#Maduro sends his troops out to militarize the streets in #Venezuela,,,,hellojimperry
25,,Praying for those fighting for freedom.,,,https://twitter.com/AmichaiStein1/status/1123307350356627457,melanieusn1979
26,Venezuela,"Update: VPN services currently remain effective as a means to access social media in #Venezuela, amid severe ongoing platform disruptions #KeepItOn #30Abr ⬇️
",VPN,VPN,,mariuskarma
27,,"Shocking scenes in Venezuela as defected soldiers fire back to protect protesters from pro-Maduro forces attack.  #OperacionLibertad #Venezuela
 ",Venezuela;Maduro;,Venezuela;Maduro;,,JessieJaneDuff
28,,"Don’t worry guys— @AOC and @SenSanders are going to do Socialism differently. 
After their government seizes everything with the promise to redistribute it, everything is going to be just fine. 
Don’t worry guys. ",socialism;;,;;,,laura_little_me
29,,"When I said “they’re already there,” I was reiterating that the Russians are already there – a point that I have made repeatedly. I believe that @TuckerCarlson’s response, “Why should I care if they’re there?” indicates that he understood my point as well. #Venezuela #Russia",Russians;;;,Russians;;;,,orlymj
30,,@NicolasMaduro Constitutionality  mutual respect huh? This image of your loyal dogs running over people suggests otherwise! You are a dictator and your tyrannical regime will sooner or later fall! Free the people of #Venezuela!,;;;,;;;,https://twitter.com/i/web/status/1123672408370679809,RealPhilJones1
31,,Now this is a solid lineup!,,,https://twitter.com/trish_regan/status/1123659969101012998,Rimoran
