,candidate,batch,length,cap,substring-cap,s-o-sCap,all-cap,non-cap,non-discriminative,cumulative,Z_ScoreUnweighted,normalized_cap,normalized_capnormalized_substring-cap,normalized_s-o-sCap,normalized_all-cap,normalized_non-cap,normalized_non-discriminative,probability,status
0,carter page in 2016,0,4,0,2,0,0,0,0,2,-0.23073702218186548,0.0,1.0,0.0,0.0,0.0,0.0,0.10185644513393188,b
1,rich,0,1,1,0,0,0,12,2,15,0.622273526554543,0.06666666666666667,0.0,0.0,0.0,0.8,0.13333333333333333,0.019947976985362343,b
2,profit,0,1,0,0,0,1,0,0,1,-0.2963532182385123,0.0,0.0,0.0,1.0,0.0,0.0,0.9297919841621212,g
3,vip pass,0,2,0,0,0,1,0,0,1,-0.2963532182385123,0.0,0.0,0.0,1.0,0.0,0.0,0.8644547046725531,g
4,maroon 5,0,2,0,4,0,0,0,3,7,0.09734395810136857,0.0,0.5714285714285714,0.0,0.0,0.0,0.42857142857142855,0.3976933723958349,b
5,crazy,0,1,3,0,0,1,5,3,12,0.4254249383846026,0.25,0.0,0.0,0.08333333333333333,0.4166666666666667,0.25,0.28700310178211413,b
6,judy,0,1,1,0,0,0,0,0,1,-0.2963532182385123,1.0,0.0,0.0,0.0,0.0,0.0,0.9835241245525235,g
7,summon electricity,0,2,0,0,0,1,0,0,1,-0.2963532182385123,0.0,0.0,0.0,1.0,0.0,0.0,0.8644547046725531,g
8,hpn,0,1,0,0,0,1,0,0,1,-0.2963532182385123,0.0,0.0,0.0,1.0,0.0,0.0,0.9297919841621212,g
9,str8 g,0,2,1,0,0,0,0,0,1,-0.2963532182385123,1.0,0.0,0.0,0.0,0.0,0.0,0.9633789810534297,g
10,govt,0,1,1,0,0,0,0,0,1,-0.2963532182385123,1.0,0.0,0.0,0.0,0.0,0.0,0.9835241245525235,g
11,sessions page,0,2,1,0,0,0,0,0,1,-0.2963532182385123,1.0,0.0,0.0,0.0,0.0,0.0,0.9633789810534297,g
12,usa,0,1,0,0,0,5,0,1,6,0.03172776204472176,0.0,0.0,0.0,0.8333333333333334,0.0,0.16666666666666666,0.9012487464034549,g
13,bryce harper,0,2,1,0,0,0,0,0,1,-0.2963532182385123,1.0,0.0,0.0,0.0,0.0,0.0,0.9633789810534297,g
14,hrc,0,1,1,0,0,3,0,3,7,0.09734395810136857,0.14285714285714285,0.0,0.0,0.42857142857142855,0.0,0.42857142857142855,0.8521898093029371,g
15,sheeple,0,1,1,0,0,0,0,0,1,-0.2963532182385123,1.0,0.0,0.0,0.0,0.0,0.0,0.9835241245525235,g
16,colonialism,0,1,1,0,0,0,0,0,1,-0.2963532182385123,1.0,0.0,0.0,0.0,0.0,0.0,0.9835241245525235,g
17,liberal,0,1,1,0,0,0,5,2,8,0.16296015415801537,0.125,0.0,0.0,0.0,0.625,0.25,0.06093985994749448,b
18,hof,0,1,0,0,0,2,0,0,2,-0.23073702218186548,0.0,0.0,0.0,1.0,0.0,0.0,0.9297919841621212,g
