,candidate,batch,length,cap,substring-cap,s-o-sCap,all-cap,non-cap,non-discriminative,cumulative,Z_ScoreUnweighted
0,carter page in 2016,0,4,0,2,0,0,0,0,2,-0.23073702218186548
1,rich,0,1,1,0,0,0,12,2,15,0.622273526554543
2,profit,0,1,0,0,0,1,0,0,1,-0.2963532182385123
3,vip pass,0,2,0,0,0,1,0,0,1,-0.2963532182385123
4,maroon 5,0,2,0,4,0,0,0,3,7,0.09734395810136857
5,crazy,0,1,3,0,0,1,5,3,12,0.4254249383846026
6,judy,0,1,1,0,0,0,0,0,1,-0.2963532182385123
7,summon electricity,0,2,0,0,0,1,0,0,1,-0.2963532182385123
8,hpn,0,1,0,0,0,1,0,0,1,-0.2963532182385123
9,str8 g,0,2,1,0,0,0,0,0,1,-0.2963532182385123
10,govt,0,1,1,0,0,0,0,0,1,-0.2963532182385123
11,sessions page,0,2,1,0,0,0,0,0,1,-0.2963532182385123
12,usa,0,1,0,0,0,5,0,1,6,0.03172776204472176
13,bryce harper,0,2,1,0,0,0,0,0,1,-0.2963532182385123
14,hrc,0,1,1,0,0,3,0,3,7,0.09734395810136857
15,sheeple,0,1,1,0,0,0,0,0,1,-0.2963532182385123
16,colonialism,0,1,1,0,0,0,0,0,1,-0.2963532182385123
17,liberal,0,1,1,0,0,0,5,2,8,0.16296015415801537
18,hof,0,1,0,0,0,2,0,0,2,-0.23073702218186548
19,lp song,0,2,1,0,0,0,0,0,1,-0.2963532182385123
20,croatia,0,1,2,0,1,0,0,1,4,-0.09950463006857185
21,arc responds,0,2,1,0,0,0,0,0,1,-0.2963532182385123
22,dogs annoying cats,0,3,1,0,0,0,0,0,1,-0.2963532182385123
23,tokio hotel,0,2,1,0,0,0,0,0,1,-0.2963532182385123
24,god,0,1,11,0,5,1,5,5,27,1.4096678792343047
25,ces 2016,0,2,0,0,0,1,0,0,1,-0.2963532182385123
26,tell,0,1,1,0,0,0,20,3,24,1.2128192910643643
27,dm,0,1,0,0,0,2,0,0,2,-0.23073702218186548
28,wikipedia,0,1,1,0,0,0,0,0,1,-0.2963532182385123
29,guilt,0,1,0,0,0,1,8,2,11,0.3598087423279558
30,hitler,0,1,6,0,0,0,0,1,7,0.09734395810136857
31,mussolini,0,1,1,0,0,0,0,0,1,-0.2963532182385123
32,type 1,0,2,0,1,0,0,0,0,1,-0.2963532182385123
33,possessions,0,1,1,0,0,0,0,0,1,-0.2963532182385123
34,watch,0,1,2,0,7,0,23,3,35,1.934597447687479
35,coulter,0,1,1,0,0,0,0,0,1,-0.2963532182385123
36,lisbon,0,1,1,0,0,0,0,0,1,-0.2963532182385123
37,nonsense karaoke,0,2,1,0,0,0,0,0,1,-0.2963532182385123
38,fan poll,0,2,1,0,0,0,0,0,1,-0.2963532182385123
39,cnn house republicans,0,3,1,0,0,0,0,0,1,-0.2963532182385123
40,bath,0,1,1,0,0,0,0,0,1,-0.2963532182385123
41,andy biggs,0,2,1,0,0,0,0,0,1,-0.2963532182385123
42,ces las vegas,0,3,1,0,0,0,0,0,1,-0.2963532182385123
43,macron,0,1,1,0,0,0,0,0,1,-0.2963532182385123
44,mike,0,1,1,0,0,0,0,0,1,-0.2963532182385123
45,single,0,1,1,0,0,0,12,1,14,0.5566573304978962
46,sheila jackson,0,2,1,0,0,0,0,0,1,-0.2963532182385123
47,oaklettes learn,0,2,1,0,0,0,0,0,1,-0.2963532182385123
48,mou,0,1,1,0,0,0,0,0,1,-0.2963532182385123
49,heaven,0,1,0,0,0,1,0,0,1,-0.2963532182385123
50,ohio,0,1,1,0,0,0,0,1,2,-0.23073702218186548
51,kellyanne,0,1,1,0,0,0,0,0,1,-0.2963532182385123
52,senate,0,1,15,0,0,0,3,1,19,0.8847383107811303
53,paul ryan,0,2,1,0,0,0,0,0,1,-0.2963532182385123
54,greece,0,1,1,0,0,0,0,2,3,-0.16512082612521867
55,winner of salvador sobral,0,4,1,0,0,0,0,0,1,-0.2963532182385123
56,9th,0,1,0,0,0,1,0,1,2,-0.23073702218186548
57,bogus,0,1,1,0,0,0,0,0,1,-0.2963532182385123
58,linking park,0,2,1,0,0,0,0,0,1,-0.2963532182385123
59,less coverage,0,2,1,0,0,0,0,0,1,-0.2963532182385123
60,gauteng,0,1,2,0,0,0,0,0,2,-0.23073702218186548
61,brazilians,0,1,1,0,0,0,0,0,1,-0.2963532182385123
62,jurassic world trailer,0,3,1,0,0,0,0,0,1,-0.2963532182385123
63,disappointed with ca,0,3,1,0,0,0,0,0,1,-0.2963532182385123
64,christianity,0,1,1,0,0,0,0,0,1,-0.2963532182385123
65,fisa court,0,2,1,10,0,0,0,0,11,0.3598087423279558
66,african americans,0,2,2,0,0,0,0,1,3,-0.16512082612521867
67,petra,0,1,1,0,0,0,0,0,1,-0.2963532182385123
68,thetvking,0,1,1,0,0,0,0,0,1,-0.2963532182385123
69,evidence,0,1,0,0,1,1,6,0,8,0.16296015415801537
70,page,0,1,15,0,1,1,4,3,24,1.2128192910643643
71,killed,0,1,0,0,0,1,7,2,10,0.294192546271309
72,mississippi mean,0,2,1,0,0,0,0,0,1,-0.2963532182385123
73,deal,0,1,0,0,0,1,9,1,11,0.3598087423279558
74,prince,0,1,5,0,0,1,1,1,8,0.16296015415801537
75,got barfy cam,0,3,1,0,0,0,0,0,1,-0.2963532182385123
76,scottish,0,1,1,0,0,0,0,0,1,-0.2963532182385123
77,swedens,0,1,1,0,0,0,0,0,1,-0.2963532182385123
78,brit,0,1,1,0,0,0,0,0,1,-0.2963532182385123
79,freedom,0,1,1,0,0,0,3,0,4,-0.09950463006857185
80,seeing alvarez,0,2,1,0,0,0,0,0,1,-0.2963532182385123
81,affordable care act drove,0,4,1,0,0,0,0,0,1,-0.2963532182385123
82,whitehouse,0,1,1,0,0,0,0,0,1,-0.2963532182385123
83,nyc,0,1,0,0,0,1,0,0,1,-0.2963532182385123
84,proof,0,1,0,0,1,1,6,0,8,0.16296015415801537
85,link,0,1,3,0,0,0,4,0,7,0.09734395810136857
86,prison rules,0,2,1,0,0,0,0,0,1,-0.2963532182385123
87,got,0,1,2,0,2,0,46,4,54,3.1813051727637682
88,need,0,1,0,0,0,2,31,5,38,2.1314460358574197
89,bill clinton,0,2,2,0,0,0,0,0,2,-0.23073702218186548
90,united,0,1,3,0,2,0,0,2,7,0.09734395810136857
91,superior spa,0,2,1,0,0,0,0,0,1,-0.2963532182385123
92,hey hey goodbye,0,3,1,0,0,1,0,0,2,-0.23073702218186548
93,cankles,0,1,1,0,0,0,0,0,1,-0.2963532182385123
94,hillary clinton,0,2,3,0,0,0,0,4,7,0.09734395810136857
95,performing the song with liam,0,5,0,0,0,1,0,0,1,-0.2963532182385123
96,reps,0,1,1,0,0,0,6,1,8,0.16296015415801537
97,obama team,0,2,1,0,0,0,0,0,1,-0.2963532182385123
98,nsa,0,1,0,0,0,1,0,0,1,-0.2963532182385123
99,western cape,0,2,1,0,0,0,0,0,1,-0.2963532182385123
100,beautiful prince,0,2,1,0,0,0,0,0,1,-0.2963532182385123
101,donald trump russia,0,3,1,0,0,0,0,0,1,-0.2963532182385123
102,linkin narc,0,2,1,0,0,0,0,0,1,-0.2963532182385123
103,hold,0,1,3,0,2,0,2,2,9,0.2285763502146622
104,obama,0,1,15,0,3,0,1,6,25,1.278435487121011
105,privilege,0,1,0,0,0,1,8,4,13,0.4910411344412494
106,måns,0,1,1,0,0,0,0,0,1,-0.2963532182385123
107,understanding the carter page,0,4,1,0,0,0,0,0,1,-0.2963532182385123
108,shit,0,1,0,0,1,1,30,3,35,1.934597447687479
109,irs,0,1,0,0,0,1,0,0,1,-0.2963532182385123
110,hr,0,1,0,0,0,1,0,0,1,-0.2963532182385123
111,ryan gosling in la la land,0,6,1,0,0,0,0,0,1,-0.2963532182385123
112,odessa,0,1,1,0,0,0,0,0,1,-0.2963532182385123
113,jj,0,1,0,0,0,1,0,0,1,-0.2963532182385123
114,amar pelos dois,0,3,1,0,0,0,0,0,1,-0.2963532182385123
115,200k,0,1,0,0,0,1,1,0,2,-0.23073702218186548
116,mexico,0,1,1,0,0,0,0,0,1,-0.2963532182385123
117,sweeter,0,1,0,0,0,1,0,0,1,-0.2963532182385123
118,nkorea,0,1,1,0,0,0,0,0,1,-0.2963532182385123
119,euro,0,1,2,0,0,0,0,0,2,-0.23073702218186548
120,stubhub center,0,2,1,0,0,0,0,0,1,-0.2963532182385123
121,bucks fizz,0,2,1,0,0,0,0,0,1,-0.2963532182385123
122,joe jonas,0,2,1,0,0,0,0,0,1,-0.2963532182385123
123,opposition rally,0,2,1,0,0,0,0,0,1,-0.2963532182385123
124,dolly parton,0,2,1,0,0,0,0,0,1,-0.2963532182385123
125,confirming fisa,0,2,1,0,0,0,0,0,1,-0.2963532182385123
126,name,0,1,1,0,1,0,14,3,19,0.8847383107811303
127,learn,0,1,1,0,1,0,1,1,4,-0.09950463006857185
128,flint,0,1,1,0,0,0,0,0,1,-0.2963532182385123
129,the answer,0,2,1,0,0,0,1,1,3,-0.16512082612521867
130,makes,0,1,1,0,3,0,12,0,16,0.6878897226111899
131,demian maia,0,2,13,1,0,0,0,2,16,0.6878897226111899
132,clinton,0,1,3,0,1,0,1,2,7,0.09734395810136857
133,may 13th,0,2,0,6,0,0,0,0,6,0.03172776204472176
134,enter ground,0,2,1,0,0,0,0,0,1,-0.2963532182385123
135,stop,0,1,3,0,3,0,14,7,27,1.4096678792343047
136,americans,0,1,13,0,1,0,1,0,15,0.622273526554543
137,2015 outfit,0,2,0,1,0,0,0,0,1,-0.2963532182385123
138,amor,0,1,1,0,0,0,0,0,1,-0.2963532182385123
139,vienna,0,1,1,0,0,0,0,0,1,-0.2963532182385123
140,gop house,0,2,1,1,0,0,0,0,2,-0.23073702218186548
141,mpumalanga,0,1,1,0,0,0,0,0,1,-0.2963532182385123
142,african american,0,2,1,0,0,0,0,0,1,-0.2963532182385123
143,stella,0,1,1,0,0,0,0,1,2,-0.23073702218186548
144,carter page to russia with love,0,6,1,0,0,0,0,0,1,-0.2963532182385123
145,tango,0,1,2,0,0,0,0,0,2,-0.23073702218186548
146,carson,0,1,3,0,0,0,0,1,4,-0.09950463006857185
147,government,0,1,1,0,0,0,6,1,8,0.16296015415801537
148,rotherham,0,1,1,0,0,0,0,0,1,-0.2963532182385123
149,louis,0,1,1,0,0,0,0,0,1,-0.2963532182385123
150,migos,0,1,1,0,0,0,0,0,1,-0.2963532182385123
151,jason knight,0,2,1,0,0,0,0,0,1,-0.2963532182385123
152,spineless mayonnaise turds celebrate victory,0,5,1,0,0,0,0,0,1,-0.2963532182385123
153,chipmunk stretches in the morning,0,5,1,0,0,0,0,0,1,-0.2963532182385123
154,antisemitism,0,1,1,0,0,0,0,0,1,-0.2963532182385123
155,ny,0,1,0,0,0,1,0,0,1,-0.2963532182385123
156,frankie,0,1,11,0,6,0,0,3,20,0.9503545068377771
157,brazilian,0,1,1,0,0,0,0,0,1,-0.2963532182385123
158,heavyweight champ,0,2,1,0,0,0,0,0,1,-0.2963532182385123
159,rice,0,1,4,0,0,0,0,0,4,-0.09950463006857185
160,congress,0,1,10,0,1,0,1,1,13,0.4910411344412494
161,ufc 211,0,2,0,0,0,3,0,0,3,-0.16512082612521867
162,planned parenthood,0,2,1,0,0,0,1,0,2,-0.23073702218186548
163,announcing,0,1,1,0,0,0,0,0,1,-0.2963532182385123
164,looks,0,1,2,0,5,0,10,2,19,0.8847383107811303
165,david,0,1,3,0,0,0,0,0,3,-0.16512082612521867
166,britain,0,1,1,0,2,0,0,0,3,-0.16512082612521867
167,cuter,0,1,1,0,0,0,0,0,1,-0.2963532182385123
168,sowell,0,1,1,0,0,0,0,0,1,-0.2963532182385123
169,bc,0,1,0,0,0,1,5,1,7,0.09734395810136857
170,strip,0,1,0,0,0,1,1,0,2,-0.23073702218186548
171,blue,0,1,1,0,0,0,1,0,2,-0.23073702218186548
172,asian,0,1,1,0,0,0,0,0,1,-0.2963532182385123
173,102.7 kiis fm,0,3,0,6,0,2,0,0,8,0.16296015415801537
174,stop drinking the left,0,4,1,0,0,0,0,0,1,-0.2963532182385123
175,masvidal ko,0,2,1,0,0,0,0,0,1,-0.2963532182385123
176,white power,0,2,1,1,0,0,0,0,2,-0.23073702218186548
177,rick story,0,2,1,0,0,0,0,0,1,-0.2963532182385123
178,josh,0,1,0,0,0,1,0,0,1,-0.2963532182385123
179,probable,0,1,1,0,0,0,14,0,15,0.622273526554543
180,30k,0,1,0,0,0,1,0,0,1,-0.2963532182385123
181,spicer,0,1,5,0,4,0,1,0,10,0.294192546271309
182,don the con,0,3,1,0,0,0,0,0,1,-0.2963532182385123
183,first time,0,2,0,0,0,1,4,0,5,-0.033888434011925046
184,sad,0,1,1,0,2,0,12,2,17,0.7535059186678367
185,600k rep,0,2,0,1,0,0,0,0,1,-0.2963532182385123
186,jenga,0,1,1,0,0,0,0,0,1,-0.2963532182385123
187,sing,0,1,1,0,1,0,7,2,11,0.3598087423279558
188,sessions,0,1,1,0,0,0,4,1,6,0.03172776204472176
189,imri,0,1,0,0,0,1,0,0,1,-0.2963532182385123
190,sen,0,1,1,0,0,0,0,0,1,-0.2963532182385123
191,holocaust centers,0,2,2,0,0,0,0,1,3,-0.16512082612521867
192,pics of miley,0,3,1,1,0,0,0,0,2,-0.23073702218186548
193,junior,0,1,1,0,0,0,0,0,1,-0.2963532182385123
194,higher deductible,0,2,1,0,0,0,0,0,1,-0.2963532182385123
195,james comey,0,2,2,0,0,0,0,0,2,-0.23073702218186548
196,authoritarian kleptocracy,0,2,1,0,0,0,0,0,1,-0.2963532182385123
197,moldova,0,1,3,0,1,0,0,1,5,-0.033888434011925046
198,ufc light heavyweight champion daniel cormier,0,6,1,0,0,0,0,0,1,-0.2963532182385123
199,adam,0,1,1,0,1,1,1,2,6,0.03172776204472176
200,eddie alvarez,0,2,3,0,0,0,0,0,3,-0.16512082612521867
201,congressional gopers,0,2,1,0,0,0,0,0,1,-0.2963532182385123
202,chester,0,1,1,0,0,0,0,0,1,-0.2963532182385123
203,trumps,0,1,1,0,0,0,1,0,2,-0.23073702218186548
