,TweetSentence,annotation,calai_candidates,entry_batch,hashtags,phase1Candidates,ritter_candidates,sentID,stanford_candidates,start_time,tweetID,user
0,"REPORT: FBI Obtained FISA Warrant For Trump Aide, Believed He Was 'Agent Of The Russian Government'","['fbi', 'fisa', 'trump', 'russian government']","['trump aide', 'fbi', 'russian government']",0.0,RussiaGate,nan,"['fbi', 'trump aide', 'the russian government']",0,"['fbi', 'trump']",2019-01-27 13:18:16.662527,0,JanKimbrough
1,BUSTED....,[],[],0.0,nan,nan,[],0,[],2019-01-27 13:18:16.686716,1,zi_cam
2,Carter Page is trending but 3 weeks ago there were no FISA warrants on team Trump.,"['carter page', 'fisa', 'trump']","['fisa', 'carter page']",0.0,nan,Carter Page::*0*1*||FISA::*11*||Trump::*15*||,"['carter page', 'trump']",0,['carter page'],2019-01-27 13:18:16.687193,2,sicsemp4ever
3,I love how liberals have a 36 hour memory,['liberals'],"['fisa', 'carter page']",0.0,nan,,"['carter page', 'trump']",1,['carter page'],2019-01-27 13:18:16.687193,2,sicsemp4ever
4,Looks like it might be time for some more tomahawks…,['tomahawks'],[],0.0,nan,,[],0,[],2019-01-27 13:18:16.691068,3,raponikoff
5,Sean Spicer on Carter Page:,"['sean spicer', 'carter page']",['sean spicer'],0.0,nan,nan,"['sean spicer', 'carter page']",0,"['sean spicer', 'carter page:']",2019-01-27 13:18:16.691952,4,MsEntropy
6,"""Carter Page""  @FBI @AdamSchiffCA @MarkWarner @NancyPelosi @HillaryClinton @MSNBC @maddow @washingtonpost",['carter page'],['fbi'],0.0,FISA,Carter Page::*0*1*||,['carter page'],0,[],2019-01-27 13:18:16.692482,5,Class_of_78
7,I get stuck on things.,[],['carter page'],0.0,nan,,['carter page'],0,[],2019-01-27 13:18:16.693121,6,cjpfeiff
8,"Tonight's special, Session brought in Carter Page, a foreign agent:","['session', 'carter page']",['carter page'],0.0,nan,Session::*2*||Carter Page::*5*6*||,['carter page'],1,[],2019-01-27 13:18:16.693121,6,cjpfeiff
9,I guess this explains the interview he gave after Flynn resigned where he blathered incoherently when asked about his contact with Russians,"['flynn', 'russians']",['flynn'],0.0,nan,Flynn::*9*||Russians::*21*||,"['flynn', 'russians']",0,['flynn'],2019-01-27 13:18:16.694638,7,pignponyrfriend
10,May the media never lose focus,[],[],0.0,nan,,[],0,[],2019-01-27 13:18:16.695550,8,itsShonny
11,@CassandraRules Looks like someone else is having a bad day and looks like @LouiseMensch was right!,[],[],0.0,nan,Looks::*1*||,[],0,[],2019-01-27 13:18:16.695990,9,GilesBgiles1974
12,Well well well.,[],['susan rice'],0.0,nan,nan,['susan rice'],0,['susan rice'],2019-01-27 13:18:16.696728,10,em_div
13,Guess that Susan Rice nonsense can go away now.,['susan rice'],['susan rice'],0.0,nan,Susan Rice::*2*3*||,['susan rice'],1,['susan rice'],2019-01-27 13:18:16.696728,10,em_div
14,Still about the leak problem?,[],['susan rice'],0.0,nan,,['susan rice'],2,['susan rice'],2019-01-27 13:18:16.696728,10,em_div
15,"@FoxNews @krauthammer ,,Trump's team of foreign policy advisers  Carter Page","['trump', 'carter page']",['carter page'],0.0,nan,Trump's::*2*||Carter Page::*8*9*||,"['trump', 'carter page']",0,['carter page'],2019-01-27 13:18:16.697579,11,Bennythesnitch
16,No wonder Carter Page is the Trump advisor that other Trump staffers deny ever seeing at Trump Tower.,"['carter page', 'trump', 'trump', 'trump tower']","['the trump advisor', 'trump tower', 'carter page']",0.0,nan,Carter Page::*2*3*||Trump::*6*||Trump::*10*||Trump Tower::*16*17*||,"['carter page', 'trump', 'trump', 'trump tower']",0,"['carter page', 'trump', 'trump', 'trump']",2019-01-27 13:18:16.698268,12,mallsta
17,He's one of the most complicit.,[],"['the trump advisor', 'trump tower', 'carter page']",0.0,nan,,"['carter page', 'trump', 'trump', 'trump tower']",1,"['carter page', 'trump', 'trump', 'trump']",2019-01-27 13:18:16.698268,12,mallsta
18,@BrianPaulStuart @realDonaldTrump And now Steele the Savior is going to be proven to be a hack!,"['steele', 'savior']",['savior'],0.0,nan,Steele the Savior::*4*5*6*||,['steele'],0,['steele the savior'],2019-01-27 13:18:16.699560,13,EricJGilbert
19,"@chrislhayes Please ask Trump, why he chose Carter Page.","['trump', 'carter page']",['carter page'],0.0,nan,Trump::*3*||Carter Page::*7*8*||,"['trump', 'carter page']",0,['carter'],2019-01-27 13:18:16.700200,14,berserkbd
20,Who told him to hire him?,[],['carter page'],0.0,nan,,"['trump', 'carter page']",1,['carter'],2019-01-27 13:18:16.700200,14,berserkbd
21,Report: FBI granted FISA warrant to surveil ex-Trump aide Carter Page | TheHill,"['fbi', 'fisa', 'carter page']","['aide', 'carter page', 'fbi']",0.0,nan,FBI::*1*||FISA::*3*||Carter Page::*9*10*||TheHill::*12*||,"['fbi', 'carter page']",0,"['fbi', 'fisa']",2019-01-27 13:18:16.701112,15,ngunn7
22,The FBI obtained a FISA warrant last year to monitor Trump adviser Carter Page in a...  by  via @c0nvey,"['fbi', 'fisa', 'trump', 'carter page']","['adviser', 'fbi', 'carter page']",0.0,deray,FBI::*1*||FISA::*4*||Trump::*10*||Carter Page::*12*13*||,"['fbi', 'trump', 'carter page']",0,"['fbi', 'fisa', 'trump', 'carter page']",2019-01-27 13:18:16.702334,16,GaryKGreen
23,Very well explained take on Carter/ Russia/ FISA/ Trump sitch.,"['carter', 'russia', 'fisa', 'trump']",['russia'],0.0,nan,Carter::*5*||Russia::*6*||FISA::*7*||Trump::*8*||,[' carter russia fisa trump'],0,[],2019-01-27 13:18:16.703991,17,jannypie
24,Maxine Waters.,['maxine waters'],['maxine waters'],0.0,nan,nan,['maxine waters'],0,[],2019-01-27 13:18:16.704895,18,thecircledancer
25,Mam.,[],['maxine waters'],0.0,nan,nan,['maxine waters'],1,[],2019-01-27 13:18:16.704895,18,thecircledancer
26,Esq.,[],['maxine waters'],0.0,nan,nan,['maxine waters'],2,[],2019-01-27 13:18:16.704895,18,thecircledancer
27,Keep On.,[],['maxine waters'],0.0,nan,nan,['maxine waters'],3,[],2019-01-27 13:18:16.704895,18,thecircledancer
28,A warrant was issued to FBI last summer to monitor Carter Page who was acting as an agent of Russia,"['fbi', 'carter page', 'russia']","['russia', 'carter page', 'fbi']",0.0,trumprussia,FBI::*5*||Carter Page::*10*11*||Russia::*19*||,"['fbi', 'carter page', 'russia']",0,"['fbi', 'carter page', 'russia']",2019-01-27 13:18:16.705319,19,funder
29,FBI obtained FISA warrant to monitor former Trump adviser Carter Page - The Washington Post so there was surveillance,"['fbi', 'fisa', 'trump', 'carter page', 'washington post']","['adviser', 'the washington post', 'the washington post', 'fbi', 'carter page']",0.0,nan,FISA::*2*||Trump::*7*||Carter Page::*9*10*||Washington Post::*13*14*||,"['fbi', 'trump', 'carter page', 'the washington post']",0,"['fbi', 'fisa', 'trump', 'washington post']",2019-01-27 13:18:16.706288,20,LSURay
30,"""Sean, say something really fucked up today maybe say Hocaust Centers or something so they don't talk about Carter Page""","['sean', 'hocaust centers', 'carter page']",['carter page'],0.0,nan,Hocaust Centers::*9*10*||Carter Page::*18*19*||,"['sean', 'carter page']",0,"['hocaust centers', 'carter']",2019-01-27 13:18:16.707432,21,Diane_Warren
31,Great,[],[],0.0,nan,nan,[],0,[],2019-01-27 13:18:16.708323,22,CaronScott5
32,"Just reported by Chris Hayes, Carter page was surveilled by FBI via FISA warrant.","['chris hayes', 'carter page', 'fbi', 'fisa']","['carter page', 'fbi', 'chris hayes']",0.0,nan,Chris Hayes::*3*4*||Carter::*5*||FBI::*10*||FISA::*12*||,"['chris hayes', 'carter page', 'carter']",0,"['chris hayes', ' carter', 'fbi']",2019-01-27 13:18:16.708532,23,TrumpHaterShirt
