,candidate,batch,length,cap,substring-cap,s-o-sCap,all-cap,non-cap,non-discriminative,cumulative,Z_ScoreUnweighted,normalized_cap,normalized_capnormalized_substring-cap,normalized_s-o-sCap,normalized_all-cap,normalized_non-cap,normalized_non-discriminative,probability,status
0,fbi,0,1,5,0,0,120,0,0,125,7.613938866944326,0.04,0.0,0.0,0.96,0.0,0.0,0.98371205623021,g
1,fisa,0,1,1,0,0,134,1,0,136,8.309952540220088,0.007352941176470588,0.0,0.0,0.9852941176470589,0.007352941176470588,0.0,0.9808770505658521,g
2,trump aide,0,2,1,5,0,0,0,0,6,0.08433640150651538,0.16666666666666666,0.8333333333333334,0.0,0.0,0.0,0.0,0.01705123299236825,b
3,agent of the russian government,0,5,1,1,0,0,0,0,2,-0.16875947968467153,0.5,0.5,0.0,0.0,0.0,0.0,0.3768856543920568,b
4,carter page,0,2,269,1,0,1,12,0,283,17.611226173996208,0.950530035335689,0.0035335689045936395,0.0,0.0035335689045936395,0.04240282685512368,0.0,0.999998174565893,g
5,trump,0,1,103,1,11,8,14,0,137,8.373226510517886,0.7518248175182481,0.0072992700729927005,0.08029197080291971,0.058394160583941604,0.10218978102189781,0.0,0.993890834500899,g
6,sean spicer,0,2,14,0,0,1,0,0,15,0.6538021341866859,0.9333333333333333,0.0,0.0,0.06666666666666667,0.0,0.0,0.9999987798941807,g
7,flynn,0,1,10,0,0,1,0,0,11,0.400706252995499,0.9090909090909091,0.0,0.0,0.09090909090909091,0.0,0.0,0.9999877039621642,g
8,russians,0,1,6,0,0,0,0,0,6,0.08433640150651538,1.0,0.0,0.0,0.0,0.0,0.0,0.9999826432103254,g
9,susan rice,0,2,5,0,0,0,0,0,5,0.021062431208718646,1.0,0.0,0.0,0.0,0.0,0.0,0.9999986849786077,g
10,trump tower,0,2,1,0,0,0,0,0,1,-0.23203344998246828,1.0,0.0,0.0,0.0,0.0,0.0,0.9999986849786077,g
11,steele,0,1,1,0,0,0,0,0,1,-0.23203344998246828,1.0,0.0,0.0,0.0,0.0,0.0,0.9999826432103254,g
12,surveil,0,1,0,0,0,0,4,0,4,-0.042211539089078084,0.0,0.0,0.0,0.0,1.0,0.0,0.001475711176414909,b
13,the fbi,0,2,13,9,0,0,1,0,23,1.15999389656906,0.5652173913043478,0.391304347826087,0.0,0.0,0.043478260869565216,0.0,0.94875296802079,g
14,carter,0,1,3,0,0,0,1,0,4,-0.042211539089078084,0.75,0.0,0.0,0.0,0.25,0.0,0.986806596150303,g
15,russia,0,1,47,0,3,0,2,0,52,2.994939035205165,0.9038461538461539,0.0,0.057692307692307696,0.0,0.038461538461538464,0.0,0.996613213545246,g
16,maxine waters,0,2,2,0,0,0,0,0,2,-0.16875947968467153,1.0,0.0,0.0,0.0,0.0,0.0,0.9999986849786077,g
17,esq,0,1,0,0,1,0,0,0,1,-0.23203344998246828,0.0,0.0,1.0,0.0,0.0,0.0,0.04912697568208058,b
18,monitor carter,0,2,2,3,0,0,0,0,5,0.021062431208718646,0.4,0.6,0.0,0.0,0.0,0.0,0.4590530740773462,a
