,candidate,batch,length,cap,substring-cap,s-o-sCap,all-cap,non-cap,non-discriminative,cumulative,normalized_cap,normalized_capnormalized_substring-cap,normalized_s-o-sCap,normalized_all-cap,normalized_non-cap,normalized_non-discriminative,probability,status
18,draco,1,1,3,0,0,0,4,2,9,0.3333333333333333,0.0,0.0,0.0,0.4444444444444444,0.2222222222222222,0.44820362705130307,a
19,pierre,1,1,7,0,5,0,7,8,27,0.25925925925925924,0.0,0.18518518518518517,0.0,0.25925925925925924,0.2962962962962963,0.5481168355607402,a
27,satellite,4,1,3,0,0,0,3,5,11,0.2727272727272727,0.0,0.0,0.0,0.2727272727272727,0.45454545454545453,0.6134766023844459,a
48,jeej,0,1,0,0,1,1,2,3,7,0.0,0.0,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.42857142857142855,0.4104453216500305,a
96,pamulang,3,1,1,0,0,0,2,2,5,0.2,0.0,0.0,0.0,0.4,0.4,0.40681216509875745,a
109,xmas,0,1,9,0,0,0,11,6,26,0.34615384615384615,0.0,0.0,0.0,0.4230769230769231,0.23076923076923078,0.48503883399337255,a
162,cfc,2,1,0,0,0,4,3,0,7,0.0,0.0,0.0,0.5714285714285714,0.42857142857142855,0.0,0.4942095245601161,a
198,howdy,4,1,1,0,0,0,2,4,7,0.14285714285714285,0.0,0.0,0.0,0.2857142857142857,0.5714285714285714,0.5043697706606394,a
256,sabbath,1,1,1,0,0,0,4,7,12,0.08333333333333333,0.0,0.0,0.0,0.3333333333333333,0.5833333333333334,0.40338067811287354,a
284,rising,0,1,38,0,1,0,37,10,86,0.4418604651162791,0.0,0.011627906976744186,0.0,0.43023255813953487,0.11627906976744186,0.5401855392071091,a
376,hawk,1,1,4,0,2,0,3,3,12,0.3333333333333333,0.0,0.16666666666666666,0.0,0.25,0.25,0.6190453006872286,a
501,mukaku,3,1,1,0,0,0,2,3,6,0.16666666666666666,0.0,0.0,0.0,0.3333333333333333,0.5,0.46458691989523615,a
571,legos,0,1,3,0,1,0,2,0,6,0.5,0.0,0.16666666666666666,0.0,0.3333333333333333,0.0,0.633365758264605,a
576,walker,0,1,7,0,1,0,6,9,23,0.30434782608695654,0.0,0.043478260869565216,0.0,0.2608695652173913,0.391304347826087,0.632719903807353,a
