,candidate,batch,length,cap,substring-cap,s-o-sCap,all-cap,non-cap,non-discriminative,cumulative,evictionFlag,Z_ScoreUnweighted,normalized_cap,normalized_capnormalized_substring-cap,normalized_s-o-sCap,normalized_all-cap,normalized_non-cap,normalized_non-discriminative,probability,status
2,may god bless,16,3,5,20,0,0,0,0,25,0,-0.08565158559604419,0.2,0.8,0.0,0.0,0.0,0.0,0.4620885391423322,a
3,photos,11,1,1,0,1,3,57,4,66,0,-0.04933331797389862,0.015151515151515152,0.0,0.015151515151515152,0.045454545454545456,0.8636363636363636,0.06060606060606061,0.007162631270226226,b
10,boom,9,1,5,0,1,4,27,13,50,0,-0.06350630046058957,0.1,0.0,0.02,0.08,0.54,0.26,0.06287042738101052,b
12,chuckie schumer,3,2,6,0,0,0,0,156,162,0,0.0357045769462471,0.037037037037037035,0.0,0.0,0.0,0.0,0.9629629629629629,0.42163436707476215,a
15,senator,5,1,157,0,0,0,2,0,159,0,0.03304714272999255,0.9874213836477987,0.0,0.0,0.0,0.012578616352201259,0.0,0.9864007634119638,g
17,black,1,1,121,0,0,0,58,15,194,0,0.06405054191962901,0.6237113402061856,0.0,0.0,0.0,0.29896907216494845,0.07731958762886598,0.7414923811555627,a
18,front,1,1,0,0,0,1,71,3,75,0,-0.04136101532513496,0.0,0.0,0.0,0.013333333333333334,0.9466666666666667,0.04,0.004127915892230772,b
22,salute,16,1,9,0,65,1,1562,24,1661,0,1.363535873668106,0.005418422636965683,0.0,0.03913305237808549,0.0006020469596628537,0.9403973509933775,0.014449127031908489,0.004299252165987731,b
24,grandfather,18,1,2,0,0,0,62,6,70,0,-0.04579007235222588,0.02857142857142857,0.0,0.0,0.0,0.8857142857142857,0.08571428571428572,0.005979803979337637,b
30,sexual deviancy,4,2,84,0,0,0,8,54,146,0,0.021531594459556148,0.5753424657534246,0.0,0.0,0.0,0.0547945205479452,0.3698630136986301,0.8700750304875242,g
35,narrative,7,1,2,0,0,0,94,2,98,0,-0.020987353000516712,0.02040816326530612,0.0,0.0,0.0,0.9591836734693877,0.02040816326530612,0.004105651990872636,b
36,sexts,3,1,68,0,0,0,263,0,331,0,0.18540670446192029,0.2054380664652568,0.0,0.0,0.0,0.7945619335347432,0.0,0.02108940955351466,b
44,orange,0,1,6,0,1,0,26,5,38,0,-0.07413603732560779,0.15789473684210525,0.0,0.02631578947368421,0.0,0.6842105263157895,0.13157894736842105,0.030799587460066093,b
46,treason,0,1,9,0,0,1,58,3,71,0,-0.044904260946807696,0.1267605633802817,0.0,0.0,0.014084507042253521,0.8169014084507042,0.04225352112676056,0.013512984917578652,b
47,sign,15,1,1,0,1,0,10,0,12,0,-0.09716713386648058,0.08333333333333333,0.0,0.08333333333333333,0.0,0.8333333333333334,0.0,0.01038885538825422,b
48,travel,0,1,0,0,2,1,36,0,39,0,-0.07325022592018961,0.0,0.0,0.05128205128205128,0.02564102564102564,0.9230769230769231,0.0,0.004908847970231102,b
49,head,0,1,0,0,1,1,132,7,141,0,0.017102537432465224,0.0,0.0,0.0070921985815602835,0.0070921985815602835,0.9361702127659575,0.04964539007092199,0.004274362257119351,b
56,morgan,18,1,1,0,0,0,0,110,111,0,-0.009471804730080314,0.009009009009009009,0.0,0.0,0.0,0.0,0.990990990990991,0.4638721208039616,a
61,anthony weiner cries in court,1,5,16,72,0,5,0,8,101,0,-0.01832991878426216,0.15841584158415842,0.7128712871287128,0.0,0.04950495049504951,0.0,0.07920792079207921,0.5541972982490773,a
62,anthony weiner 2,0,3,0,6,0,0,0,6,12,0,-0.09716713386648058,0.0,0.5,0.0,0.0,0.0,0.5,0.3298445204175369,b
64,honoring,16,1,4,0,171,1,198,3,377,0,0.22615402911115678,0.010610079575596816,0.0,0.4535809018567639,0.002652519893899204,0.5251989389920424,0.007957559681697613,0.05478230241679087,b
69,he is a sick human being,12,6,254,0,0,0,0,1,255,0,0.11808503765013825,0.996078431372549,0.0,0.0,0.0,0.0,0.00392156862745098,0.713945143411637,a
72,apologizing in court,8,3,1,0,0,0,81,0,82,0,-0.035160335487207664,0.012195121951219513,0.0,0.0,0.0,0.9878048780487805,0.0,0.011645271570224894,b
74,filth,6,1,19,0,0,0,4,1,24,0,-0.08653739700146237,0.7916666666666666,0.0,0.0,0.0,0.16666666666666666,0.041666666666666664,0.9319850571622661,g
77,totally,0,1,2,0,7,0,31,6,46,0,-0.06704954608226231,0.043478260869565216,0.0,0.15217391304347827,0.0,0.6739130434782609,0.13043478260869565,0.02098483094580639,b
79,apologizes,4,1,1,0,0,0,29,0,30,0,-0.08122252856895326,0.03333333333333333,0.0,0.0,0.0,0.9666666666666667,0.0,0.004199095072048947,b
80,child sexting charge,12,3,51,0,0,0,0,0,51,0,-0.0626204890551714,1.0,0.0,0.0,0.0,0.0,0.0,0.9621090685524557,g
85,cnnpolitics,1,1,26,0,5,0,0,5,36,0,-0.07590766013644416,0.7222222222222222,0.0,0.1388888888888889,0.0,0.0,0.1388888888888889,0.9659804021151283,g
86,paul ryan,2,2,9,0,0,2,0,1,12,0,-0.09716713386648058,0.75,0.0,0.0,0.16666666666666666,0.0,0.08333333333333333,0.9683769554127427,g
88,clown,0,1,1,0,0,0,33,1,35,0,-0.07679347154186235,0.02857142857142857,0.0,0.0,0.0,0.9428571428571428,0.02857142857142857,0.004576132267888462,b
92,"2010 andrew breitbart👉""dont",0,3,0,10,0,0,0,0,10,0,-0.09893875667731696,0.0,1.0,0.0,0.0,0.0,0.0,0.28207375856168565,b
109,eliot sp,12,2,13,0,0,0,0,0,13,0,-0.0962813224610624,1.0,0.0,0.0,0.0,0.0,0.0,0.9835935140700158,g
113,saw anthony weiner,3,3,3,7,0,0,1,1,12,0,-0.09716713386648058,0.25,0.5833333333333334,0.0,0.0,0.08333333333333333,0.08333333333333333,0.4514894138097442,a
114,dick,1,1,6,0,4,1,286,29,326,0,0.18097764743482936,0.018404907975460124,0.0,0.012269938650306749,0.003067484662576687,0.8773006134969326,0.08895705521472393,0.006049617933016184,b
115,emails,7,1,3,0,1,1,1374,16,1395,0,1.1279100398268689,0.002150537634408602,0.0,0.0007168458781362007,0.0007168458781362007,0.9849462365591398,0.011469534050179211,0.003400430437687155,b
123,account,1,1,2,0,0,0,409,0,411,0,0.25627161689537503,0.004866180048661801,0.0,0.0,0.0,0.9951338199513382,0.0,0.0032845087170701726,b
126,laws,2,1,3,0,0,1,16,1,21,0,-0.08919483121771693,0.14285714285714285,0.0,0.0,0.047619047619047616,0.7619047619047619,0.047619047619047616,0.02123395862830919,b
129,hershesquirt 50,3,2,0,18,0,0,0,0,18,0,-0.09185226543397149,0.0,1.0,0.0,0.0,0.0,0.0,0.2900907715257324,b
