candidate,batch,length,cap,substring-cap,s-o-sCap,all-cap,non-cap,non-discriminative,cumulative,Z_ScoreUnweighted,normalized_cap,normalized_capnormalized_substring-cap,normalized_s-o-sCap,normalized_all-cap,normalized_non-cap,normalized_non-discriminative,probability,status,class
ilovemywife0007,0,1,19,0,0,0,0,0,19,-0.076133178,1,0,0,0,0,0,0.9901382492,g,1
assata,0,1,9,0,0,0,0,0,9,-0.085585052,1,0,0,0,0,0,0.9901382492,g,1
grappling,0,1,18,0,0,0,0,0,18,-0.0770783654,1,0,0,0,0,0,0.9901382492,g,1
mich,0,1,7,0,0,0,0,0,7,-0.0874754268,1,0,0,0,0,0,0.9901382492,g,1
africa,0,1,64,0,0,0,0,0,64,-0.0335997451,1,0,0,0,0,0,0.9901382492,g,1
english,0,1,13,0,0,0,0,0,13,-0.0818043024,1,0,0,0,0,0,0.9901382492,g,1
cadillac,0,1,69,0,0,0,0,0,69,-0.0288738082,1,0,0,0,0,0,0.9901382492,g,1
americanism,0,1,19,0,0,0,0,0,19,-0.076133178,1,0,0,0,0,0,0.9901382492,g,1
arabic,0,1,21,0,0,0,0,0,21,-0.0742428032,1,0,0,0,0,0,0.9901382492,g,1
yuri,0,1,14,0,0,0,0,0,14,-0.080859115,1,0,0,0,0,0,0.9901382492,g,1
sankara,0,1,9,0,0,0,0,0,9,-0.085585052,1,0,0,0,0,0,0.9901382492,g,1
biko,0,1,10,0,0,0,0,0,10,-0.0846398646,1,0,0,0,0,0,0.9901382492,g,1
afro,0,1,37,0,0,0,0,0,37,-0.0591198049,1,0,0,0,0,0,0.9901382492,g,1
quran,0,1,21,0,0,0,0,0,21,-0.0742428032,1,0,0,0,0,0,0.9901382492,g,1
tubman,0,1,9,0,0,0,0,0,9,-0.085585052,1,0,0,0,0,0,0.9901382492,g,1
congress,0,1,7,0,0,0,0,0,7,-0.0874754268,1,0,0,0,0,0,0.9901382492,g,1
nypd—and,0,1,7,0,0,0,0,0,7,-0.0874754268,1,0,0,0,0,0,0.9901382492,g,1
taurus,0,1,14,0,0,0,0,0,14,-0.080859115,1,0,0,0,0,0,0.9901382492,g,1
patrice,0,1,39,0,0,0,0,0,39,-0.0572294301,1,0,0,0,0,0,0.9901382492,g,1
vietnam,0,1,14,0,0,0,0,0,14,-0.080859115,1,0,0,0,0,0,0.9901382492,g,1
klan,0,1,10,0,0,0,0,0,10,-0.0846398646,1,0,0,0,0,0,0.9901382492,g,1
baldwin,0,1,6,0,0,0,0,0,6,-0.0884206142,1,0,0,0,0,0,0.9901382492,g,1
nzigha,0,1,9,0,0,0,0,0,9,-0.085585052,1,0,0,0,0,0,0.9901382492,g,1
juneteenth,0,1,8,0,0,0,0,0,8,-0.0865302394,1,0,0,0,0,0,0.9901382492,g,1
dadao,0,1,6,0,0,0,0,0,6,-0.0884206142,1,0,0,0,0,0,0.9901382492,g,1
lorrain,0,1,116,0,0,0,0,0,116,0.0155499995,1,0,0,0,0,0,0.9901382492,g,1
biggie,0,1,8,0,0,0,0,0,8,-0.0865302394,1,0,0,0,0,0,0.9901382492,g,1
ryan,0,1,6,0,0,0,0,0,6,-0.0884206142,1,0,0,0,0,0,0.9901382492,g,1
haley,0,1,22,0,0,0,0,0,22,-0.0732976158,1,0,0,0,0,0,0.9901382492,g,1
chaffetz,0,1,6,0,0,0,0,0,6,-0.0884206142,1,0,0,0,0,0,0.9901382492,g,1
afri,0,1,5,0,0,0,0,0,5,-0.0893658016,1,0,0,0,0,0,0.9901382492,g,1
african,0,1,1513,0,1,0,2,0,1516,1.3388123555,0.9980211082,0,0.0006596306,0,0.0013192612,0,0.9899881331,g,1
muslim,0,1,3435,0,1,2,4,6,3448,3.1649144067,0.9962296984,0,0.0002900232,0.0005800464,0.0011600928,0.0017401392,0.9899347426,g,1
malcol,0,1,190,0,0,0,0,1,191,0.0864390543,0.9947643979,0,0,0,0,0.0052356021,0.9899205382,g,1
nebraska,0,1,315,0,0,0,0,2,317,0.2055326663,0.9936908517,0,0,0,0,0.0063091483,0.9898751633,g,1
americans,0,1,1434,0,0,0,6,0,1440,1.2669781133,0.9958333333,0,0,0,0.0041666667,0,0.9897251691,g,1
america,0,1,1077,0,12,0,1,12,1102,0.9475047731,0.9773139746,0,0.0108892922,0,0.000907441,0.0108892922,0.9892072656,g,1
mecca,0,1,37,0,0,0,0,1,38,-0.0581746175,0.9736842105,0,0,0,0,0.0263157895,0.9889816224,g,1
democrats,0,1,1433,0,4,1,15,2,1455,1.2811559243,0.9848797251,0,0.0027491409,0.0006872852,0.0103092784,0.0013745704,0.9889081638,g,1
shabazz,0,1,638,0,0,1,0,22,661,0.5306771309,0.965204236,0,0,0.0015128593,0,0.0332829047,0.9886224797,g,1
omaha,0,1,206,0,9,0,0,1,216,0.1100687392,0.9537037037,0,0.0416666667,0,0,0.0046296296,0.9884559088,g,1
feb,0,1,22,0,0,0,0,1,23,-0.0723524284,0.9565217391,0,0,0,0,0.0434782609,0.9881373672,g,1
africans,0,1,17,0,0,0,0,1,18,-0.0770783654,0.9444444444,0,0,0,0,0.0555555556,0.9874962257,g,1
clr james,0,2,7,0,0,0,0,0,7,-0.0874754268,1,0,0,0,0,0,0.9862517368,g,1
afrikan perspectives,0,2,12,0,0,0,0,0,12,-0.0827494898,1,0,0,0,0,0,0.9862517368,g,1
edgar ogutu,0,2,5,0,0,0,0,0,5,-0.0893658016,1,0,0,0,0,0,0.9862517368,g,1
african american,0,2,6,0,0,0,0,0,6,-0.0884206142,1,0,0,0,0,0,0.9862517368,g,1
toby keith,0,2,6,0,0,0,0,0,6,-0.0884206142,1,0,0,0,0,0,0.9862517368,g,1
hillary cl,0,2,81,0,0,0,0,0,81,-0.0175315594,1,0,0,0,0,0,0.9862517368,g,1
bro malcolm,0,2,997,0,0,0,0,0,997,0.8482600964,1,0,0,0,0,0,0.9862517368,g,1
imam omar,0,2,6,0,0,0,0,0,6,-0.0884206142,1,0,0,0,0,0,0.9862517368,g,1
beloved brother,0,2,56,0,0,0,0,0,56,-0.0411612443,1,0,0,0,0,0,0.9862517368,g,1
recognised holiday,0,2,31,0,0,0,0,0,31,-0.0647909292,1,0,0,0,0,0,0.9862517368,g,1
alhadji omowale,0,2,54,0,0,0,0,0,54,-0.0430516191,1,0,0,0,0,0,0.9862517368,g,1
brother x,0,2,5,0,0,0,0,0,5,-0.0893658016,1,0,0,0,0,0,0.9862517368,g,1
real news,0,2,5,0,0,0,0,0,5,-0.0893658016,1,0,0,0,0,0,0.9862517368,g,1
toren mustaqim,0,2,14,0,0,0,0,0,14,-0.080859115,1,0,0,0,0,0,0.9862517368,g,1
