candidate,batch,length,cap,substring-cap,s-o-sCap,all-cap,non-cap,non-discriminative,cumulative,Z_ScoreUnweighted,normalized_cap,normalized_capnormalized_substring-cap,normalized_s-o-sCap,normalized_all-cap,normalized_non-cap,normalized_non-discriminative,probability,status,class
malcol,0,1,149,0,0,0,0,0,149,0.1295362184,1,0,0,0,0,0,0.9898587947,g,1
lorrain,0,1,58,0,0,0,0,0,58,-0.0227706034,1,0,0,0,0,0,0.9898587947,g,1
cadillac,0,1,48,0,0,0,0,0,48,-0.0395076168,1,0,0,0,0,0,0.9898587947,g,1
afro,0,1,19,0,0,0,0,0,19,-0.0880449556,1,0,0,0,0,0,0.9898587947,g,1
americanism,0,1,18,0,0,0,0,0,18,-0.0897186569,1,0,0,0,0,0,0.9898587947,g,1
mal,0,1,15,0,0,0,0,0,15,-0.0947397609,1,0,0,0,0,0,0.9898587947,g,1
english,0,1,12,0,0,0,0,0,12,-0.0997608649,1,0,0,0,0,0,0.9898587947,g,1
africa,0,1,8,0,0,0,0,0,8,-0.1064556703,1,0,0,0,0,0,0.9898587947,g,1
nypd—and,0,1,7,0,0,0,0,0,7,-0.1081293716,1,0,0,0,0,0,0.9898587947,g,1
juneteenth,0,1,6,0,0,0,0,0,6,-0.109803073,1,0,0,0,0,0,0.9898587947,g,1
martyrdom,0,1,6,0,0,0,0,0,6,-0.109803073,1,0,0,0,0,0,0.9898587947,g,1
congress,0,1,6,0,0,0,0,0,6,-0.109803073,1,0,0,0,0,0,0.9898587947,g,1
dadao,0,1,5,0,0,0,0,0,5,-0.1114767743,1,0,0,0,0,0,0.9898587947,g,1
ilovemywife0007,0,1,5,0,0,0,0,0,5,-0.1114767743,1,0,0,0,0,0,0.9898587947,g,1
chaffetz,0,1,5,0,0,0,0,0,5,-0.1114767743,1,0,0,0,0,0,0.9898587947,g,1
ryan,0,1,5,0,0,0,0,0,5,-0.1114767743,1,0,0,0,0,0,0.9898587947,g,1
mich,0,1,5,0,0,0,0,0,5,-0.1114767743,1,0,0,0,0,0,0.9898587947,g,1
obama,0,1,4,0,0,0,0,0,4,-0.1131504756,1,0,0,0,0,0,0.9898587947,g,1
nebraska,0,1,182,0,0,0,0,1,183,0.1864420639,0.9945355191,0,0,0,0,0.0054644809,0.9896440065,g,1
muslim,0,1,1497,0,0,2,2,3,1504,2.3974015315,0.9953457447,0,0,0.0013297872,0.0013297872,0.0019946809,0.989639715,g,1
americans,0,1,267,0,0,0,1,0,268,0.3287066776,0.9962686567,0,0,0,0.0037313433,0,0.9895117847,g,1
african,0,1,298,0,1,0,1,0,300,0.3822651204,0.9933333333,0,0.0033333333,0,0.0033333333,0,0.9894429505,g,1
shabazz,0,1,323,0,0,0,0,7,330,0.4324761606,0.9787878788,0,0,0,0,0.0212121212,0.9889918645,g,1
america,0,1,584,0,8,0,0,7,599,0.8827018205,0.9749582638,0,0.0133555927,0,0,0.0116861436,0.9889470652,g,1
