,candidate,batch,length,cap,substring-cap,s-o-sCap,all-cap,non-cap,non-discriminative,cumulative,Z_ScoreUnweighted,normalized_cap,normalized_capnormalized_substring-cap,normalized_s-o-sCap,normalized_all-cap,normalized_non-cap,normalized_non-discriminative,probability,status
0,channel,0,1,1,0,0,0,4,0,5,-0.09950952544717852,0.2,0.0,0.0,0.0,0.8,0.0,0.009994483726439232,b
1,andy kaufman,0,2,1,0,0,0,0,0,1,-0.13364720003569303,1.0,0.0,0.0,0.0,0.0,0.0,0.9868960201350453,g
2,mitch,0,1,1,0,0,0,0,0,1,-0.13364720003569303,1.0,0.0,0.0,0.0,0.0,0.0,0.9906301979196825,g
3,tfw alex jones,0,3,2,2,0,0,0,0,4,-0.10804394409430715,0.5,0.5,0.0,0.0,0.0,0.0,0.7404565693332515,a
4,direct,0,1,0,0,1,1,6,0,8,-0.07390626950579264,0.0,0.0,0.125,0.125,0.75,0.0,0.007884176412038238,b
5,washington┬ápublish,0,1,1,0,0,0,0,0,1,-0.13364720003569303,1.0,0.0,0.0,0.0,0.0,0.0,0.9906301979196825,g
6,paul warren,0,2,1,0,0,0,0,0,1,-0.13364720003569303,1.0,0.0,0.0,0.0,0.0,0.0,0.9868960201350453,g
7,read,0,1,14,0,35,3,213,26,291,2.3413342076316086,0.048109965635738834,0.0,0.12027491408934708,0.010309278350515464,0.7319587628865979,0.08934707903780069,0.007656303148416062,b
8,tppr blog weapons,0,3,1,0,0,0,0,0,1,-0.13364720003569303,1.0,0.0,0.0,0.0,0.0,0.0,0.9665400399495382,g
9,ww1,0,1,0,0,0,4,3,1,8,-0.07390626950579264,0.0,0.0,0.0,0.5,0.375,0.125,0.22575221000047538,b
10,flag,0,1,3,0,0,0,15,1,19,0.01997233561262224,0.15789473684210525,0.0,0.0,0.0,0.7894736842105263,0.05263157894736842,0.008497959201887447,b
11,one with a brain,0,4,1,0,0,0,0,0,1,-0.13364720003569303,1.0,0.0,0.0,0.0,0.0,0.0,0.9079199785833599,g
12,bentley,0,1,1,0,1,0,0,0,2,-0.12511278138856438,0.5,0.0,0.5,0.0,0.0,0.0,0.9317587859250874,g
13,fisa warrant on page,0,4,1,0,0,0,0,0,1,-0.13364720003569303,1.0,0.0,0.0,0.0,0.0,0.0,0.9079199785833599,g
14,lied in senate,0,3,1,0,0,0,0,0,1,-0.13364720003569303,1.0,0.0,0.0,0.0,0.0,0.0,0.9665400399495382,g
15,kal penn,0,2,2,0,0,0,0,0,2,-0.12511278138856438,1.0,0.0,0.0,0.0,0.0,0.0,0.9868960201350453,g
16,search,0,1,1,0,1,0,6,0,8,-0.07390626950579264,0.125,0.0,0.125,0.0,0.75,0.0,0.009953848819610638,b
17,lawrence o'donnell,0,2,1,0,0,0,0,1,2,-0.12511278138856438,0.5,0.0,0.0,0.0,0.0,0.5,0.8564878833749431,g
18,retweeted cnn breaking news,0,4,1,0,0,0,0,0,1,-0.13364720003569303,1.0,0.0,0.0,0.0,0.0,0.0,0.9079199785833599,g
19,twist america,0,2,1,0,0,0,0,0,1,-0.13364720003569303,1.0,0.0,0.0,0.0,0.0,0.0,0.9868960201350453,g
