candidate,batch,length,cap,substring-cap,s-o-sCap,all-cap,non-cap,non-discriminative,cumulative,Z_ScoreUnweighted,normalized_cap,normalized_capnormalized_substring-cap,normalized_s-o-sCap,normalized_all-cap,normalized_non-cap,normalized_non-discriminative,probability,status
find,0,1,28,0,46,0,994,218,1286,6.82434571378714,0.02177293934681182,0.0,0.03576982892690513,0.0,0.7729393468118196,0.16951788491446346,0.03554524615313927,b
hablar,2,1,3,0,2,2,93,14,114,0.5064362192636463,0.02631578947368421,0.0,0.017543859649122806,0.017543859649122806,0.8157894736842105,0.12280701754385964,0.031758144840169394,b
bedroom,1,1,1,2,1,2,44,8,58,0.20455658471303578,0.017241379310344827,0.034482758620689655,0.017241379310344827,0.034482758620689655,0.7586206896551724,0.13793103448275862,0.038759321991171235,b
cuento,0,1,1,0,0,0,36,8,45,0.13447738383521543,0.022222222222222223,0.0,0.0,0.0,0.8,0.17777777777777778,0.03272572101230177,b
rtrt,1,1,1,0,0,37,1,8,47,0.1452587993548801,0.02127659574468085,0.0,0.0,0.7872340425531915,0.02127659574468085,0.1702127659574468,0.826099885153258,g
credit,1,1,5,0,0,1,55,45,106,0.4633105571849877,0.04716981132075472,0.0,0.0,0.009433962264150943,0.5188679245283019,0.42452830188679247,0.11851341573749416,b
wajib,0,1,3,0,7,2,25,8,45,0.13447738383521543,0.06666666666666667,0.0,0.15555555555555556,0.044444444444444446,0.5555555555555556,0.17777777777777778,0.10464822949379449,b
kg,1,1,3,0,1,3,30,7,44,0.1290866760753831,0.06818181818181818,0.0,0.022727272727272728,0.06818181818181818,0.6818181818181818,0.1590909090909091,0.07092248050542178,b
fake,0,1,11,0,6,8,188,69,282,1.412075122915478,0.03900709219858156,0.0,0.02127659574468085,0.028368794326241134,0.6666666666666666,0.24468085106382978,0.06302521457760593,b
joe,0,1,53,0,11,1,28,44,137,0.63042249773979,0.38686131386861317,0.0,0.08029197080291971,0.0072992700729927005,0.20437956204379562,0.32116788321167883,0.6630900632513723,a
apartment,0,1,3,0,0,1,37,12,53,0.1776030459138741,0.05660377358490566,0.0,0.0,0.018867924528301886,0.6981132075471698,0.22641509433962265,0.05878517721788904,b
perder,3,1,1,0,1,1,73,25,101,0.4363570183858261,0.009900990099009901,0.0,0.009900990099009901,0.009900990099009901,0.7227722772277227,0.24752475247524752,0.043599029607697105,b
international,0,1,13,0,2,0,50,66,131,0.598078251180796,0.09923664122137404,0.0,0.015267175572519083,0.0,0.3816793893129771,0.5038167938931297,0.23232815387530437,b
edan,1,1,7,0,3,0,18,3,31,0.05900747519756278,0.22580645161290322,0.0,0.0967741935483871,0.0,0.5806451612903226,0.0967741935483871,0.16081905279177428,b
noch,1,1,1,0,1,0,86,1,89,0.37166852526783806,0.011235955056179775,0.0,0.011235955056179775,0.0,0.9662921348314607,0.011235955056179775,0.01627943745187947,b
lv,0,1,1,0,0,6,18,9,34,0.07517959847705978,0.029411764705882353,0.0,0.0,0.17647058823529413,0.5294117647058824,0.2647058823529412,0.14454373354904781,b
iglesia,1,1,4,0,0,0,18,3,25,0.02666322863856879,0.16,0.0,0.0,0.0,0.72,0.12,0.07618753559737632,b
pray,0,1,29,0,12,11,127,47,226,1.1101954883648675,0.12831858407079647,0.0,0.05309734513274336,0.048672566371681415,0.5619469026548672,0.2079646017699115,0.13697748780992833,b
