,candidate,batch,length,cap,substring-cap,s-o-sCap,all-cap,non-cap,non-discriminative,cumulative,Z_ScoreUnweighted,normalized_cap,normalized_capnormalized_substring-cap,normalized_s-o-sCap,normalized_all-cap,normalized_non-cap,normalized_non-discriminative,probability,status
2,guy,0,1,1,0,0,0,16,0,17,0.7535059186678367,0.058823529411764705,0.0,0.0,0.0,0.9411764705882353,0.0,0.004494712894203767,b
4,earth,0,1,1,0,1,0,4,0,6,0.03172776204472176,0.16666666666666666,0.0,0.16666666666666666,0.0,0.6666666666666666,0.0,0.033374009866917104,b
5,native americans,0,2,1,1,0,0,0,1,3,-0.16512082612521867,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.7220177179633774,a
6,performing,0,1,1,0,0,0,23,0,24,1.2128192910643643,0.041666666666666664,0.0,0.0,0.0,0.9583333333333334,0.0,0.003865147950318017,b
7,friendship,0,1,1,0,1,0,2,0,4,-0.09950463006857185,0.25,0.0,0.25,0.0,0.5,0.0,0.12216898323203958,b
8,words,0,1,1,0,0,0,7,1,9,0.2285763502146622,0.1111111111111111,0.0,0.0,0.0,0.7777777777777778,0.1111111111111111,0.012803030044367765,b
9,linkin park,0,2,20,2,0,0,2,5,29,1.540900271347598,0.6896551724137931,0.06896551724137931,0.0,0.0,0.06896551724137931,0.1724137931034483,0.8925101537852944,g
11,makes,0,1,1,0,3,0,12,0,16,0.6878897226111899,0.0625,0.0,0.1875,0.0,0.75,0.0,0.013528358375793845,b
17,white supremacists,0,2,0,0,0,1,1,1,3,-0.16512082612521867,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.17648156346556573,b
24,ufc 211,0,2,0,0,0,3,0,0,3,-0.16512082612521867,0.0,0.0,0.0,1.0,0.0,0.0,0.8857939244365002,g
25,americans,0,1,13,0,1,0,1,0,15,0.622273526554543,0.8666666666666667,0.0,0.06666666666666667,0.0,0.06666666666666667,0.0,0.9641323692233504,g
26,ppv,0,1,0,0,0,2,0,1,3,-0.16512082612521867,0.0,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.8525894841687544,g
27,administration,0,1,1,0,0,0,6,0,7,0.09734395810136857,0.14285714285714285,0.0,0.0,0.0,0.8571428571428571,0.0,0.00971162717781494,b
28,news of fisa warrant,0,4,3,0,0,0,0,0,3,-0.16512082612521867,1.0,0.0,0.0,0.0,0.0,0.0,0.8012599852638322,g
30,justice,0,1,2,0,0,0,1,0,3,-0.16512082612521867,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,0.0,0.6951247462266904,a
34,carter page fisa,0,3,4,0,0,0,0,0,4,-0.09950463006857185,1.0,0.0,0.0,0.0,0.0,0.0,0.9272385634107537,g
36,first,0,1,1,0,4,1,18,1,25,1.278435487121011,0.04,0.0,0.16,0.04,0.72,0.04,0.01581099835553805,b
40,dems,0,1,9,0,3,0,0,0,12,0.4254249383846026,0.75,0.0,0.25,0.0,0.0,0.0,0.96480319884527,g
41,countries,0,1,1,0,0,0,7,0,8,0.16296015415801537,0.125,0.0,0.0,0.0,0.875,0.0,0.008211274607555018,b
46,making,0,1,1,0,0,0,8,0,9,0.2285763502146622,0.1111111111111111,0.0,0.0,0.0,0.8888888888888888,0.0,0.007217100845449201,b
47,proof,0,1,0,0,1,1,6,0,8,0.16296015415801537,0.0,0.0,0.125,0.125,0.75,0.0,0.01422920942464916,b
50,devin nunes,0,2,4,0,0,0,0,1,5,-0.033888434011925046,0.8,0.0,0.0,0.0,0.0,0.2,0.9490217738428692,g
51,died,0,1,0,0,0,1,4,0,5,-0.033888434011925046,0.0,0.0,0.0,0.2,0.8,0.0,0.012795491179068719,b
54,go,0,1,4,0,1,1,62,12,80,4.887326270236586,0.05,0.0,0.0125,0.0125,0.775,0.15,0.010451268528713224,b
57,uk,0,1,0,0,0,9,3,2,14,0.5566573304978962,0.0,0.0,0.0,0.6428571428571429,0.21428571428571427,0.14285714285714285,0.6168809881466986,a
62,donald trump,0,2,4,0,0,0,0,0,4,-0.09950463006857185,1.0,0.0,0.0,0.0,0.0,0.0,0.975382451843493,g
63,liberty university,0,2,2,0,0,0,0,1,3,-0.16512082612521867,0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333,0.914152041148892,g
64,california,0,1,2,0,1,0,0,0,3,-0.16512082612521867,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,0.9529299188148931,g
66,europe,0,1,13,2,1,0,3,6,25,1.278435487121011,0.52,0.08,0.04,0.0,0.12,0.24,0.8141602373597504,g
67,muslims,0,1,4,0,0,0,0,0,4,-0.09950463006857185,1.0,0.0,0.0,0.0,0.0,0.0,0.9837785997554575,g
70,moscow,0,1,3,0,0,0,0,1,4,-0.09950463006857185,0.75,0.0,0.0,0.0,0.0,0.25,0.9576498400220211,g
71,may 13th,0,2,0,6,0,0,0,0,6,0.03172776204472176,0.0,1.0,0.0,0.0,0.0,0.0,0.4077160099211772,a
72,white people,0,2,2,2,0,0,18,3,25,1.278435487121011,0.08,0.08,0.0,0.0,0.72,0.12,0.014828870746230368,b
74,the answer,0,2,1,0,0,0,1,1,3,-0.16512082612521867,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.27589906952467524,b
77,left,0,1,2,0,0,0,19,0,21,1.0159707028944238,0.09523809523809523,0.0,0.0,0.0,0.9047619047619048,0.0,0.006237611719441916,b
79,soon,0,1,0,0,0,1,7,0,8,0.16296015415801537,0.0,0.0,0.0,0.125,0.875,0.0,0.0069408732226997555,b
82,name,0,1,1,0,1,0,14,3,19,0.8847383107811303,0.05263157894736842,0.0,0.05263157894736842,0.0,0.7368421052631579,0.15789473684210525,0.012798928064981225,b
83,christian,0,1,7,0,0,0,0,0,7,0.09734395810136857,1.0,0.0,0.0,0.0,0.0,0.0,0.9837785997554575,g
87,need,0,1,0,0,0,2,31,5,38,2.1314460358574197,0.0,0.0,0.0,0.05263157894736842,0.8157894736842105,0.13157894736842105,0.007615528873440245,b
88,liberal,0,1,1,0,0,0,5,2,8,0.16296015415801537,0.125,0.0,0.0,0.0,0.625,0.25,0.03209354579804547,b
89,demian maia,0,2,13,1,0,0,0,2,16,0.6878897226111899,0.8125,0.0625,0.0,0.0,0.0,0.125,0.9519510573656592,g
97,freedom,0,1,1,0,0,0,3,0,4,-0.09950463006857185,0.25,0.0,0.0,0.0,0.75,0.0,0.02762117319015663,b
99,frankieedgar,0,1,1,0,2,0,0,0,3,-0.16512082612521867,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0.0,0.8450014030676335,g
100,hitler,0,1,6,0,0,0,0,1,7,0.09734395810136857,0.8571428571428571,0.0,0.0,0.0,0.0,0.14285714285714285,0.9724760295657132,g
101,1st,0,1,0,0,0,0,2,1,3,-0.16512082612521867,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.01520102162338387,b
102,senate,0,1,15,0,0,0,3,1,19,0.8847383107811303,0.7894736842105263,0.0,0.0,0.0,0.15789473684210525,0.05263157894736842,0.9172518667918419,g
103,fbi,0,1,5,0,0,125,1,7,138,8.6930656415221,0.036231884057971016,0.0,0.0,0.9057971014492754,0.007246376811594203,0.050724637681159424,0.9287376795125429,g
106,sports,0,1,1,0,0,0,2,0,3,-0.16512082612521867,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,0.0,0.061188566395907265,b
108,awesome,0,1,1,0,2,0,8,0,11,0.3598087423279558,0.09090909090909091,0.0,0.18181818181818182,0.0,0.7272727272727273,0.0,0.017233427313677538,b
110,surprise,0,1,1,0,0,0,5,1,7,0.09734395810136857,0.14285714285714285,0.0,0.0,0.0,0.7142857142857143,0.14285714285714285,0.02080146859535229,b
112,prince,0,1,5,0,0,1,1,1,8,0.16296015415801537,0.625,0.0,0.0,0.125,0.125,0.125,0.902558810577191,g
120,stupid,0,1,1,0,0,0,13,1,15,0.622273526554543,0.06666666666666667,0.0,0.0,0.0,0.8666666666666667,0.06666666666666667,0.006672668100922478,b
126,manafort,0,1,4,0,0,0,0,0,4,-0.09950463006857185,1.0,0.0,0.0,0.0,0.0,0.0,0.9837785997554575,g
127,greece,0,1,1,0,0,0,0,2,3,-0.16512082612521867,0.3333333333333333,0.0,0.0,0.0,0.0,0.6666666666666666,0.7718869696353314,g
128,force,0,1,1,0,0,0,3,0,4,-0.09950463006857185,0.25,0.0,0.0,0.0,0.75,0.0,0.02762117319015663,b
129,dump,0,1,1,0,0,0,2,0,3,-0.16512082612521867,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,0.0,0.061188566395907265,b
130,bradford,0,1,1,0,0,0,0,2,3,-0.16512082612521867,0.3333333333333333,0.0,0.0,0.0,0.0,0.6666666666666666,0.7718869696353314,g
134,edgar,0,1,8,0,5,0,0,3,16,0.6878897226111899,0.5,0.0,0.3125,0.0,0.0,0.1875,0.9052258805423263,g
144,tell,0,1,1,0,0,0,20,3,24,1.2128192910643643,0.041666666666666664,0.0,0.0,0.0,0.8333333333333334,0.125,0.007140626612554595,b
145,united,0,1,3,0,2,0,0,2,7,0.09734395810136857,0.42857142857142855,0.0,0.2857142857142857,0.0,0.0,0.2857142857142857,0.8705364028723426,g
150,millions of americans,0,3,1,0,0,0,1,1,3,-0.16512082612521867,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.27138300474461247,b
154,almost,0,1,1,0,1,0,4,0,6,0.03172776204472176,0.16666666666666666,0.0,0.16666666666666666,0.0,0.6666666666666666,0.0,0.033374009866917104,b
158,miley,0,1,6,0,14,0,1,1,22,1.0815868989510706,0.2727272727272727,0.0,0.6363636363636364,0.0,0.045454545454545456,0.045454545454545456,0.7586220861084575,g
166,deplorable,0,1,1,0,0,0,4,0,5,-0.033888434011925046,0.2,0.0,0.0,0.0,0.8,0.0,0.01683453607084734,b
169,voice,0,1,1,0,1,0,4,0,6,0.03172776204472176,0.16666666666666666,0.0,0.16666666666666666,0.0,0.6666666666666666,0.0,0.033374009866917104,b
170,falling,0,1,1,0,0,0,2,0,3,-0.16512082612521867,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,0.0,0.061188566395907265,b
173,russia,0,1,42,0,2,0,2,1,47,2.7219918003672405,0.8936170212765957,0.0,0.0425531914893617,0.0,0.0425531914893617,0.02127659574468085,0.9710603186232959,g
185,syria,0,1,6,0,0,0,0,2,8,0.16296015415801537,0.75,0.0,0.0,0.0,0.0,0.25,0.9576498400220211,g
188,carter,0,1,3,0,1,0,0,2,6,0.03172776204472176,0.5,0.0,0.16666666666666666,0.0,0.0,0.3333333333333333,0.8951533044762746,g
193,two,0,1,0,0,1,1,16,1,19,0.8847383107811303,0.0,0.0,0.05263157894736842,0.05263157894736842,0.8421052631578947,0.05263157894736842,0.006805542440620555,b
197,meet,0,1,1,0,2,0,2,0,5,-0.033888434011925046,0.2,0.0,0.4,0.0,0.4,0.0,0.184959348735913,b
200,hold,0,1,3,0,2,0,2,2,9,0.2285763502146622,0.3333333333333333,0.0,0.2222222222222222,0.0,0.2222222222222222,0.2222222222222222,0.5231945615585891,a
203,since,0,1,1,0,3,0,8,1,13,0.4910411344412494,0.07692307692307693,0.0,0.23076923076923078,0.0,0.6153846153846154,0.07692307692307693,0.031321506062076857,b
208,legal fisa,0,2,0,2,0,1,0,0,3,-0.16512082612521867,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.5963267751336319,a
209,jeff sessions,0,2,3,0,0,0,0,0,3,-0.16512082612521867,1.0,0.0,0.0,0.0,0.0,0.0,0.975382451843493,g
211,probable,0,1,1,0,0,0,14,0,15,0.622273526554543,0.06666666666666667,0.0,0.0,0.0,0.9333333333333333,0.0,0.004819373479447863,b
212,care,0,1,1,0,1,0,21,7,30,1.606516467404245,0.03333333333333333,0.0,0.03333333333333333,0.0,0.7,0.23333333333333334,0.014429100603981672,b
220,joe silva,0,2,2,0,0,1,0,0,3,-0.16512082612521867,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,0.0,0.9594835530321256,g
223,fbi got fisa warrant,0,4,1,3,0,0,0,1,5,-0.033888434011925046,0.2,0.6,0.0,0.0,0.0,0.2,0.41466492432076424,a
225,jorge,0,1,7,0,2,0,0,0,9,0.2285763502146622,0.7777777777777778,0.0,0.2222222222222222,0.0,0.0,0.0,0.9679651993809157,g
230,european,0,1,1,0,0,0,1,1,3,-0.16512082612521867,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3278002277706861,b
232,link,0,1,3,0,0,0,4,0,7,0.09734395810136857,0.42857142857142855,0.0,0.0,0.0,0.5714285714285714,0.0,0.1512265602004836,b
233,lower,0,1,1,0,0,0,2,0,3,-0.16512082612521867,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,0.0,0.061188566395907265,b
237,susan rice,0,2,5,0,0,0,0,0,5,-0.033888434011925046,1.0,0.0,0.0,0.0,0.0,0.0,0.975382451843493,g
238,congress,0,1,10,0,1,0,1,1,13,0.4910411344412494,0.7692307692307693,0.0,0.07692307692307693,0.0,0.07692307692307693,0.07692307692307693,0.9449094297508394,g
240,germany,0,1,2,0,2,0,0,0,4,-0.09950463006857185,0.5,0.0,0.5,0.0,0.0,0.0,0.9140932260569334,g
242,free,0,1,1,0,0,0,9,1,11,0.3598087423279558,0.09090909090909091,0.0,0.0,0.0,0.8181818181818182,0.09090909090909091,0.009478871077866026,b
249,mike dean liberty university stoke,0,5,2,0,0,0,0,3,5,-0.033888434011925046,0.4,0.0,0.0,0.0,0.0,0.6,0.5146773679031629,a
261,snapchat,0,1,9,0,0,0,3,0,12,0.4254249383846026,0.75,0.0,0.0,0.0,0.25,0.0,0.8449588489004364,g
266,instagram story,0,2,3,11,0,0,0,0,14,0.5566573304978962,0.21428571428571427,0.7857142857142857,0.0,0.0,0.0,0.0,0.6130096043240469,a
267,lynch,0,1,4,0,0,0,0,1,5,-0.033888434011925046,0.8,0.0,0.0,0.0,0.0,0.2,0.9654609510099128,g
269,zedd,0,1,3,0,0,0,1,2,6,0.03172776204472176,0.5,0.0,0.0,0.0,0.16666666666666666,0.3333333333333333,0.7398247185960016,a
276,moldova,0,1,3,0,1,0,0,1,5,-0.033888434011925046,0.6,0.0,0.2,0.0,0.0,0.2,0.9327609360265354,g
277,folks,0,1,0,0,0,1,6,0,7,0.09734395810136857,0.0,0.0,0.0,0.14285714285714285,0.8571428571428571,0.0,0.008006292487372032,b
291,camila cabello,0,2,1,0,0,0,0,2,3,-0.16512082612521867,0.3333333333333333,0.0,0.0,0.0,0.0,0.6666666666666666,0.7101857832767885,a
293,zayn,0,1,3,0,0,0,0,0,3,-0.16512082612521867,1.0,0.0,0.0,0.0,0.0,0.0,0.9837785997554575,g
299,vote,0,1,2,0,3,1,49,4,59,3.5093861530470023,0.03389830508474576,0.0,0.05084745762711865,0.01694915254237288,0.8305084745762712,0.06779661016949153,0.007510727885990795,b
