,candidate,batch,length,cap,substring-cap,s-o-sCap,all-cap,non-cap,non-discriminative,cumulative,Z_ScoreUnweighted,normalized_cap,normalized_capnormalized_substring-cap,normalized_s-o-sCap,normalized_all-cap,normalized_non-cap,normalized_non-discriminative,probability,status
2,lorraine hansberry,0,2,425,0,0,0,0,3,428,0.3104484674083348,0.9929906542056075,0.0,0.0,0.0,0.0,0.007009345794392523,0.9858363831644613,g
5,dem,0,1,1,0,0,0,3,1,5,-0.08936580157345454,0.2,0.0,0.0,0.0,0.6,0.2,0.034380988712399814,b
7,honor,0,1,1,0,0,0,345,20,366,0.2518468487868905,0.00273224043715847,0.0,0.0,0.0,0.9426229508196722,0.0546448087431694,0.001788654618495229,b
9,nigeria in 1964,0,3,0,54,0,0,0,0,54,-0.04305161911457114,0.0,1.0,0.0,0.0,0.0,0.0,0.2168189219440287,b
12,american,0,1,50,0,3,0,6,39,98,-0.0014633736412880795,0.5102040816326531,0.0,0.030612244897959183,0.0,0.061224489795918366,0.3979591836734694,0.862600067577371,g
14,pbs,0,1,0,0,0,6,0,0,6,-0.08842061417633447,0.0,0.0,0.0,1.0,0.0,0.0,0.9413243610638287,g
15,paradise,0,1,1,0,0,0,4,1,6,-0.08842061417633447,0.16666666666666666,0.0,0.0,0.0,0.6666666666666666,0.16666666666666666,0.019094737216022388,b
18,nov 1963,0,2,0,7,0,0,0,0,7,-0.0874754267792144,0.0,1.0,0.0,0.0,0.0,0.0,0.224277421176993,b
19,history,0,1,9,0,623,2,1492,0,2126,1.9153766677182127,0.0042333019755409216,0.0,0.29303857008466605,0.0009407337723424271,0.7017873941674506,0.0,0.008732915671477865,b
21,black history,0,2,9,1,0,0,4,1,15,-0.07991392760225384,0.6,0.06666666666666667,0.0,0.0,0.26666666666666666,0.06666666666666667,0.6610781260641709,a
22,shabazz,0,1,638,0,0,1,0,22,661,0.5306771309373111,0.9652042360060514,0.0,0.0,0.0015128593040847202,0.0,0.03328290468986384,0.9886224797103524,g
26,muhammad ali,0,2,84,0,0,0,1,38,123,0.022166311286713657,0.6829268292682927,0.0,0.0,0.0,0.008130081300813009,0.3089430894308943,0.9366690707901617,g
27,becomes,0,1,1,0,0,0,160,0,161,0.0580834323772763,0.006211180124223602,0.0,0.0,0.0,0.9937888198757764,0.0,0.0014159674384274456,b
36,become malcolm x,0,3,3,11,0,0,0,0,14,-0.08085911499937391,0.21428571428571427,0.7857142857142857,0.0,0.0,0.0,0.0,0.41282518027219517,a
40,happy born day malcolm x,0,5,1,3,0,0,0,12,16,-0.07896874020513378,0.0625,0.1875,0.0,0.0,0.0,0.75,0.5,a
45,means necessary,0,2,5,1,0,0,83,11,100,0.00042700115295205926,0.05,0.01,0.0,0.0,0.83,0.11,0.003496633061651034,b
48,human beings,0,2,1,0,0,0,56,0,57,-0.040216056923210924,0.017543859649122806,0.0,0.0,0.0,0.9824561403508771,0.0,0.0014162015210589223,b
50,ryan fitzpatrick,0,2,4,0,0,0,0,1,5,-0.08936580157345454,0.8,0.0,0.0,0.0,0.0,0.2,0.9657757596490545,g
55,day malcolm x,0,3,1,9,0,0,0,1,11,-0.08369467719073412,0.09090909090909091,0.8181818181818182,0.0,0.0,0.0,0.09090909090909091,0.2958758771828993,b
56,garvey,0,1,12,0,1,0,0,2,15,-0.07991392760225384,0.8,0.0,0.06666666666666667,0.0,0.0,0.13333333333333333,0.9772962398736333,g
60,ilovemywife0007,0,1,19,0,0,0,0,0,19,-0.07613317801377356,1.0,0.0,0.0,0.0,0.0,0.0,0.9901382492195749,g
63,courage,0,1,1,0,0,0,56,6,63,-0.03454493254049051,0.015873015873015872,0.0,0.0,0.0,0.8888888888888888,0.09523809523809523,0.0025117000442723704,b
65,spike lee,0,2,12,0,0,0,0,5,17,-0.07802355280801371,0.7058823529411765,0.0,0.0,0.0,0.0,0.29411764705882354,0.9458309675535721,g
70,period,0,1,0,0,0,1,7,1,9,-0.08558505198497426,0.0,0.0,0.0,0.1111111111111111,0.7777777777777778,0.1111111111111111,0.006051880447329238,b
71,malik el shabazz,0,3,3,0,0,0,1,10,14,-0.08085911499937391,0.21428571428571427,0.0,0.0,0.0,0.07142857142857142,0.7142857142857143,0.4423676181563162,a
74,malcolm x speaks,0,3,5,0,0,0,0,41,46,-0.05061311829153169,0.10869565217391304,0.0,0.0,0.0,0.0,0.8913043478260869,0.42141539477165196,a
81,see,0,1,1,0,1,1,570,5,578,0.4522265769763452,0.0017301038062283738,0.0,0.0017301038062283738,0.0017301038062283738,0.986159169550173,0.00865051903114187,0.0014468902886582396,b
82,human rights activist,0,3,3,3,0,0,3429,0,3435,3.152626970548384,0.0008733624454148472,0.0008733624454148472,0.0,0.0,0.9982532751091703,0.0,0.0052468786662883985,b
88,go,0,1,5,0,3,0,41,4,53,-0.0439968065116912,0.09433962264150944,0.0,0.05660377358490566,0.0,0.7735849056603774,0.07547169811320754,0.007229161733414847,b
90,happy bornday,0,2,3,1,0,1,0,7,12,-0.08274948979361404,0.25,0.08333333333333333,0.0,0.08333333333333333,0.0,0.5833333333333334,0.6521491091020913,a
92,king malcolm x,0,3,3,5,0,0,0,1,9,-0.08558505198497426,0.3333333333333333,0.5555555555555556,0.0,0.0,0.0,0.1111111111111111,0.5701914145400916,a
97,malcolm x day,0,3,82,81,0,4,0,157,324,0.2121489781078476,0.25308641975308643,0.25,0.0,0.012345679012345678,0.0,0.4845679012345679,0.5353214423884755,a
99,justice,0,1,4,0,19,0,310,3,336,0.22349122687328843,0.011904761904761904,0.0,0.05654761904761905,0.0,0.9226190476190477,0.008928571428571428,0.0021474483270155034,b
102,clr james,0,2,7,0,0,0,0,0,7,-0.0874754267792144,1.0,0.0,0.0,0.0,0.0,0.0,0.9862517367998616,g
107,happy earth day,0,3,1,3,0,0,0,3,7,-0.0874754267792144,0.14285714285714285,0.42857142857142855,0.0,0.0,0.0,0.42857142857142855,0.39163551324044094,b
108,eternal,0,1,0,0,1,1,3,0,5,-0.08936580157345454,0.0,0.0,0.2,0.2,0.6,0.0,0.027523571303495416,b
111,activist,0,1,4,0,0,0,204,6,214,0.10817836442463998,0.018691588785046728,0.0,0.0,0.0,0.9532710280373832,0.028037383177570093,0.0018275282803416947,b
112,god,0,1,18,0,21,4,33,12,88,-0.010915247612488774,0.20454545454545456,0.0,0.23863636363636365,0.045454545454545456,0.375,0.13636363636363635,0.17591681156720568,b
117,dc,0,1,0,0,0,3,0,2,5,-0.08936580157345454,0.0,0.0,0.0,0.6,0.0,0.4,0.8143208831409819,g
118,truth,0,1,8,0,1188,9,279,5,1489,1.3132922957527284,0.005372733378106112,0.0,0.7978509066487576,0.006044325050369375,0.18737407656145064,0.0033579583613163196,0.28202623715172753,b
119,minister malcolm x,0,3,2,13,0,0,0,54,69,-0.028873808157770093,0.028985507246376812,0.18840579710144928,0.0,0.0,0.0,0.782608695652174,0.32341079695748925,b
122,mandela,0,1,5,0,26,0,0,5,36,-0.06006499226273238,0.1388888888888889,0.0,0.7222222222222222,0.0,0.0,0.1388888888888889,0.6951118802097899,a
123,drjillstein,0,1,1,0,3,0,0,1,5,-0.08936580157345454,0.2,0.0,0.6,0.0,0.0,0.2,0.7409028092228757,a
126,die,0,1,0,0,0,1,58,0,59,-0.038325682128970785,0.0,0.0,0.0,0.01694915254237288,0.9830508474576272,0.0,0.001523219328157248,b
130,ballot or the bullet,0,4,5,1,0,0,1,2,9,-0.08558505198497426,0.5555555555555556,0.1111111111111111,0.0,0.0,0.1111111111111111,0.2222222222222222,0.677824924845781,a
131,took,0,1,0,0,1,1,63,2,67,-0.030764182952010232,0.0,0.0,0.014925373134328358,0.014925373134328358,0.9402985074626866,0.029850746268656716,0.0018849226039114062,b
