,2nd Iteration Candidates,TweetSentence,annotation,calai_candidates,entry_batch,hashtags,index,phase1Candidates,ritter_candidates,sentID,stanford_candidates,start_time,tweetID,user
0,,Has Maia been in the UFC since that Linkin Park song was a hit?,"['maia', 'ufc', 'linkin park']",[],0.0,UFC211,,Maia::*1*||UFC::*5*||Linkin Park::*8*9*||,"['ufc', 'linkin park']",0,"['maia', 'ufc', 'linkin park']",2018-02-20 22:54:51.192157,2949,Tithmar
1,,Feeling old.,[],[],0.0,UFC211,,,"['ufc', 'linkin park']",1,"['maia', 'ufc', 'linkin park']",2018-02-20 22:54:51.192157,2949,Tithmar
2,,Thanks to  the stereotype that  can't DANCE didn't exist 4 me.,[],[],0.0,"TheFreshPrinceOfBelAir, WhitePeople, CarltonBanks",,DANCE::*6*||,[],0,[],2018-02-20 22:54:51.201836,2214,SummerRoseDream
3,,I ❤ you &amp; it's not unusual 😉,[],[],0.0,"TheFreshPrinceOfBelAir, WhitePeople, CarltonBanks",,,[],1,[],2018-02-20 22:54:51.201836,2214,SummerRoseDream
4,,@seanhannity and @marklevinshow &amp; others have lied about possible treason by Carter Page &amp; others.,['carter page'],['carter page'],0.0,nan,,Carter Page::*11*12*||,['carter page'],0,['carter'],2018-02-20 22:54:51.202798,300,ColoradoHeathen
5,,They're traitors for the obfuscation.,[],['carter page'],0.0,nan,,,['carter page'],1,['carter'],2018-02-20 22:54:51.202798,300,ColoradoHeathen
6,,Camila on 's red carpet.,['camila'],[],0.0,"WangoTango, PREMIOSMTVMIAW, MTVINSTAGLCABELLO",,,['camila'],0,['camila'],2018-02-20 22:54:51.203738,1770,garciacabello2
7,,Something to consider before calling all white people racist.,[],[],0.0,WhitePeople,,,[],0,[],2018-02-20 22:54:51.204180,2262,LoveOurPeoples
8,,This hatred must stop somewhere.,[],[],0.0,WhitePeople,,,[],1,[],2018-02-20 22:54:51.204180,2262,LoveOurPeoples
9,,Everyon…,[],[],0.0,WhitePeople,,nan,[],2,[],2018-02-20 22:54:51.204180,2262,LoveOurPeoples
10,,Just in case you needed reminding what a war @stipemiocicufc vs. @junior_cigano was before the rematch at  t…,[],[],0.0,UFC211,,,[],0,[],2018-02-20 22:54:51.204857,2930,_LeoLeoLeoLeo_
11,,And Portugal have won  for the first time!,['portugal'],"['salvador sobral', 'portugal']",0.0,"Eurovision, ESC2017",,Portugal::*1*||,"['portugal', 'salvador sobral']",0,['portugal'],2018-02-20 22:54:51.205510,1457,Eurobloccat
12,,Congratulations Salvador Sobral!,['salvador sobral'],"['salvador sobral', 'portugal']",0.0,"Eurovision, ESC2017",,nan,"['portugal', 'salvador sobral']",1,['portugal'],2018-02-20 22:54:51.205510,1457,Eurobloccat
13,,"Oh, games twitter.",[],[],0.0,Eurovision,,,['twitter'],0,[],2018-02-20 22:54:51.206168,1244,letsplayprogram
14,,How I adore you.,[],[],0.0,Eurovision,,,['twitter'],1,[],2018-02-20 22:54:51.206168,1244,letsplayprogram
15,,I've never seen so many  fans in real life before!!,[],[],0.0,Eurovision,,,['twitter'],2,[],2018-02-20 22:54:51.206168,1244,letsplayprogram
16,,"My people, I have found you at last ❤️",[],[],0.0,Eurovision,,,['twitter'],3,[],2018-02-20 22:54:51.206168,1244,letsplayprogram
17,,So proud of Salvador and Luisa !,"['salvador', 'luisa']","['luisa', 'salvador']",0.0,"Eurovision, salvadorable, teamsalvadorable",,Salvador::*3*||Luisa::*5*||,"['salvador', 'luisa']",0,"['salvador', 'luisa']",2018-02-20 22:54:51.207167,1201,MiaTerraLatina
18,,legend only,[],[],0.0,WangoTango,,nan,[],0,[],2018-02-20 22:54:51.207762,1861,ilysmccabello
19,,our women are beautiful and strong.,[],[],0.0,WhitePeople,,,[],0,[],2018-02-20 22:54:51.207944,2181,livncuckooland
20,,It's up to you to continue reproducing with your own in order to s…,[],[],0.0,WhitePeople,,,[],1,[],2018-02-20 22:54:51.207944,2181,livncuckooland
21,,BBC News -  2017: 's ballad wins contest,['bbc news'],['bbc'],0.0,"Eurovision, Portugal",,BBC News::*0*1*||,['bbc news'],0,['bbc news'],2018-02-20 22:54:51.208663,1441,leonjwilliams
