,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,1260,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,793,1106,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,502,527,962,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,288,367,458,374,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,352,324,433,60,832,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5,312,233,250,119,394,956,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,207,356,184,1,113,425,574,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7,220,273,172,0,106,259,371,3974,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8,198,440,169,0,59,236,69,699,483,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9,162,184,182,3,35,266,101,608,203,215,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10,166,463,156,33,22,230,33,254,109,80,529,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,157,179,135,2,25,214,32,196,119,49,74,397,-1,-1,-1,-1,-1,-1,-1,-1
12,157,229,261,4,23,188,36,179,175,30,100,208,409,-1,-1,-1,-1,-1,-1,-1
13,143,157,156,6,515,248,33,198,97,26,52,157,129,364,-1,-1,-1,-1,-1,-1
14,136,270,226,13,78,201,50,266,300,11,31,223,83,67,268,-1,-1,-1,-1,-1
15,124,166,260,5,72,197,85,143,203,28,17,254,57,64,73,217,-1,-1,-1,-1
16,10,22,26,7,26,25,6,18,11,4,5,16,49,9,4,2,1698,-1,-1,-1
17,0,6,1,5,0,1,0,0,0,0,0,2,0,0,5,0,136,3008,-1,-1
18,4,11,6,7,0,0,0,0,1,1,0,0,3,0,5,1,90,1080,391,-1
19,2,26,15,0,2,0,0,55,0,0,0,2,1,4,7,1,77,1083,107,377
