   C, R, AA, IA, EV, TA, AllIf
0 ---------------------------
1 [8, 6, 23, 10, 12, 40, 1346]
2 [2, 7, 27, 5, 11, 46, 1313]
3 [3, 6, 21, 2, 8, 43, 1294]
4 [2, 4, 14, 1, 7, 46, 1274]
5 [1, 2, 13, 4, 3, 49, 1257]
6 [1, 5, 16, 1, 5, 54, 1247]
7 [3, 3, 15, 3, 4, 54, 1236]
8 [2, 5, 16, 0, 4, 49, 1231]
9 [3, 3, 9, 0, 0, 47, 1229]
10 [0, 3, 10, 1, 1, 50, 1220]
1 ---------------------------
2 [2, 1, 1, 2, 1, 3, 412]
3 [1, 2, 2, 2, 1, 4, 397]
4 [1, 1, 2, 2, 0, 7, 385]
5 [2, 3, 4, 0, 3, 6, 380]
6 [0, 1, 3, 1, 1, 8, 372]
7 [0, 2, 4, 0, 2, 10, 366]
8 [0, 1, 4, 0, 1, 8, 360]
9 [0, 1, 3, 1, 3, 9, 354]
10 [1, 0, 0, 0, 0, 6, 347]
11 [0, 0, 0, 1, 0, 7, 344]
2 ---------------------------
3 [1, 0, 2, 1, 3, 3, 347]
4 [0, 0, 1, 0, 0, 5, 337]
5 [1, 0, 2, 3, 0, 8, 328]
6 [0, 0, 6, 1, 4, 9, 319]
7 [1, 1, 2, 0, 0, 8, 315]
8 [0, 0, 3, 1, 1, 9, 311]
9 [0, 0, 3, 0, 1, 9, 303]
10 [0, 0, 2, 0, 0, 10, 300]
11 [0, 0, 3, 1, 1, 12, 294]
12 [0, 1, 4, 1, 1, 14, 289]
3 ---------------------------
4 [1, 1, 3, 5, 2, 8, 334]
5 [1, 3, 5, 1, 4, 7, 319]
6 [0, 1, 3, 3, 1, 10, 309]
7 [0, 1, 5, 0, 2, 11, 304]
8 [1, 1, 3, 1, 1, 10, 296]
9 [0, 1, 3, 2, 1, 12, 289]
10 [1, 2, 3, 0, 1, 10, 287]
11 [0, 1, 2, 1, 0, 12, 285]
12 [0, 1, 3, 0, 1, 13, 284]
13 [0, 1, 3, 0, 0, 11, 280]
4 ---------------------------
5 [0, 0, 2, 0, 2, 2, 380]
6 [0, 0, 0, 1, 0, 3, 371]
7 [0, 0, 1, 0, 1, 4, 366]
8 [0, 1, 1, 1, 1, 5, 360]
9 [0, 0, 1, 1, 1, 6, 355]
10 [0, 0, 1, 0, 1, 6, 347]
11 [0, 0, 1, 2, 1, 8, 340]
12 [0, 0, 2, 0, 2, 8, 335]
13 [0, 0, 0, 0, 0, 10, 335]
14 [1, 0, 1, 0, 2, 9, 333]
5 ---------------------------
6 [0, 0, 2, 1, 1, 3, 266]
7 [1, 0, 1, 0, 1, 2, 262]
8 [0, 0, 0, 0, 0, 3, 260]
9 [0, 0, 1, 0, 1, 3, 256]
10 [0, 0, 0, 0, 0, 3, 251]
11 [0, 0, 0, 0, 0, 3, 246]
12 [0, 0, 0, 0, 0, 3, 244]
13 [0, 0, 0, 0, 0, 3, 242]
14 [0, 0, 0, 1, 0, 4, 237]
15 [1, 1, 0, 0, 0, 3, 236]
6 ---------------------------
7 [0, 2, 6, 3, 5, 9, 265]
8 [0, 0, 4, 0, 3, 8, 259]
9 [0, 0, 1, 0, 0, 8, 256]
10 [1, 0, 0, 0, 0, 7, 251]
11 [0, 0, 0, 0, 0, 8, 249]
12 [0, 0, 1, 1, 1, 8, 246]
13 [0, 0, 1, 0, 1, 8, 243]
14 [0, 0, 0, 1, 0, 9, 238]
15 [0, 0, 1, 0, 0, 9, 235]
16 [0, 0, 1, 0, 0, 9, 232]
7 ---------------------------
8 [0, 2, 8, 1, 5, 9, 315]
9 [0, 1, 4, 1, 2, 10, 308]
10 [0, 2, 3, 1, 1, 12, 301]
11 [2, 2, 2, 0, 1, 10, 300]
12 [0, 1, 1, 2, 0, 12, 297]
13 [1, 1, 2, 1, 1, 11, 294]
14 [0, 1, 3, 0, 2, 11, 293]
15 [0, 1, 1, 0, 0, 11, 289]
16 [0, 1, 1, 0, 0, 11, 287]
17 [0, 0, 1, 0, 0, 10, 286]
8 ---------------------------
9 [0, 0, 3, 1, 3, 4, 241]
10 [1, 0, 0, 0, 0, 2, 238]
11 [0, 0, 0, 0, 0, 2, 235]
12 [0, 0, 0, 1, 0, 3, 234]
13 [0, 0, 1, 0, 1, 3, 232]
14 [0, 0, 0, 0, 0, 3, 227]
15 [0, 0, 0, 0, 0, 3, 227]
16 [0, 0, 0, 0, 0, 3, 226]
17 [0, 0, 0, 1, 0, 4, 225]
18 [0, 1, 1, 0, 1, 4, 224]
9 ---------------------------
10 [1, 1, 7, 0, 8, 7, 254]
11 [0, 0, 0, 1, 0, 8, 248]
12 [0, 0, 1, 1, 1, 11, 246]
13 [1, 1, 2, 0, 2, 9, 244]
14 [0, 0, 0, 0, 0, 10, 242]
15 [0, 0, 1, 0, 1, 10, 241]
16 [0, 0, 0, 1, 0, 11, 238]
17 [0, 0, 1, 0, 0, 10, 237]
18 [0, 0, 1, 0, 0, 11, 237]
19 [0, 0, 2, 0, 1, 11, 235]
