,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,23,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,22,18,17,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,19,15,13,12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,20,13,11,7,18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5,19,12,12,7,15,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,19,12,13,6,15,14,15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7,18,12,12,6,14,13,12,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8,18,11,10,5,14,11,10,17,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9,18,11,10,5,15,11,10,17,10,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10,18,12,10,5,14,11,10,16,9,9,10,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,18,12,10,5,14,12,11,16,9,9,9,14,-1,-1,-1,-1,-1,-1,-1,-1
12,18,12,10,5,14,12,11,16,10,10,7,12,13,-1,-1,-1,-1,-1,-1,-1
13,18,12,10,5,15,9,11,16,10,10,6,11,13,8,-1,-1,-1,-1,-1,-1
14,18,13,10,5,13,9,11,16,10,10,6,12,12,6,15,-1,-1,-1,-1,-1
15,18,13,9,5,13,9,11,16,10,9,6,11,11,5,13,9,-1,-1,-1,-1
16,17,12,8,5,13,9,12,16,10,9,6,10,12,5,12,9,14,-1,-1,-1
17,17,12,7,5,12,9,12,16,10,9,6,9,12,4,12,9,9,13,-1,-1
18,17,12,7,5,12,9,13,16,10,9,6,9,12,4,12,9,6,11,15,-1
19,17,12,7,5,12,9,13,16,10,9,6,9,12,4,12,9,7,10,13,10
