,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,1141,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,763,1105,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,502,528,1253,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,288,362,578,438,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,396,323,553,60,361,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5,312,242,593,178,323,3093,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,207,359,283,7,374,566,608,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7,220,281,212,3,332,390,374,901,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8,198,252,212,0,257,314,73,418,534,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9,162,184,222,3,242,389,101,283,220,239,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10,166,460,217,16,205,715,48,254,109,137,443,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,157,209,136,2,213,586,32,196,119,105,46,1355,-1,-1,-1,-1,-1,-1,-1,-1
12,157,229,263,4,190,21,36,179,175,83,29,360,394,-1,-1,-1,-1,-1,-1,-1
13,143,157,157,6,701,61,33,198,97,100,17,247,129,245,-1,-1,-1,-1,-1,-1
14,136,272,235,13,243,32,50,266,301,40,26,247,95,58,436,-1,-1,-1,-1,-1
15,124,167,263,5,255,13,85,143,204,49,15,295,147,59,78,218,-1,-1,-1,-1
16,10,22,26,7,47,4,98,18,12,6,5,16,49,6,7,3,1642,-1,-1,-1
17,0,6,1,5,0,1,4,0,0,0,0,2,0,0,5,0,133,3059,-1,-1
18,5,11,6,7,0,0,54,0,1,1,0,0,3,0,5,1,89,1100,682,-1
19,2,26,17,8,0,0,2,0,0,0,0,2,1,0,11,1,80,1094,641,185
