,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,1078,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,1756,1105,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,2013,1505,1222,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,2194,1772,1763,427,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,2590,2019,2218,362,371,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5,2580,2217,2826,104,663,2930,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,2787,2576,2356,149,1025,3314,629,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7,2994,2857,2519,87,1056,3682,925,888,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8,3192,2126,2638,87,1310,3909,673,1192,532,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9,3354,2249,2859,90,1567,4270,731,1410,680,227,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10,3520,2709,2229,106,1773,4928,749,1664,789,337,277,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,3677,2918,2365,108,1986,546,853,1860,908,406,281,1507,-1,-1,-1,-1,-1,-1,-1,-1
12,3834,3147,2628,112,2176,586,894,2039,1083,503,247,1858,368,-1,-1,-1,-1,-1,-1,-1
13,3977,3304,2783,118,2879,598,928,2237,1180,603,259,1835,496,243,-1,-1,-1,-1,-1,-1
14,4113,3576,3018,131,3063,625,983,2503,1481,610,282,2080,525,212,426,-1,-1,-1,-1,-1
15,4237,3743,3245,136,3318,636,1070,2646,1685,659,293,2377,605,258,386,193,-1,-1,-1,-1
16,4222,3372,3240,143,3365,640,1168,2664,1697,665,296,1342,654,264,381,196,1627,-1,-1,-1
17,4222,3378,2000,148,2801,641,1172,2664,1635,665,296,1344,654,250,386,196,376,500,-1,-1
18,4227,3389,2006,155,2801,641,1226,2664,1636,666,296,1344,657,250,391,197,371,500,4313,-1
19,4229,3415,2023,163,2801,641,1228,2664,1636,666,296,1346,658,250,402,198,449,512,6016,185
