,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,3068,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,2508,2239,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,2355,1989,2250,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,2252,1862,2110,1808,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,2089,1648,1732,1468,1698,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5,2065,1627,1708,1404,1613,2250,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,2043,1469,1550,1234,1416,1669,1869,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7,2024,1461,1533,1211,1396,1615,1800,1981,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8,2001,1445,1526,1191,1367,1590,1709,1799,1869,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9,1991,1434,1517,1173,1348,1487,1628,1675,1589,1862,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10,1961,1356,1455,1105,1249,1413,1524,1564,1519,1641,1574,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,1940,1352,1447,1091,1238,1395,1504,1540,1498,1620,1528,1455,-1,-1,-1,-1,-1,-1,-1,-1
12,1922,1339,1435,1085,1224,1385,1491,1531,1482,1591,1487,1390,1642,-1,-1,-1,-1,-1,-1,-1
13,1913,1333,1415,1068,1179,1346,1476,1512,1463,1578,1457,1357,1602,1503,-1,-1,-1,-1,-1,-1
14,1905,1323,1404,1056,1164,1330,1460,1494,1452,1567,1440,1332,1533,1417,1534,-1,-1,-1,-1,-1
15,1898,1317,1401,1051,1158,1322,1447,1490,1444,1554,1416,1302,1478,1368,1496,1528,-1,-1,-1,-1
16,1838,1309,1393,1049,1153,1308,1433,1472,1376,1512,1368,1256,1435,1331,1448,1476,2256,-1,-1,-1
17,1822,1297,1346,1020,1108,1270,1407,1445,1344,1497,1347,1248,1336,1215,1381,1429,1911,2070,-1,-1
18,1813,1291,1345,1020,1108,1266,1405,1436,1341,1494,1342,1247,1334,1212,1378,1428,1850,1982,1911,-1
19,1789,1285,1343,1020,1106,1264,1401,1432,1339,1491,1341,1244,1331,1210,1377,1393,1819,1956,1768,1903
