,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,26,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,23,18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,22,15,17,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,19,13,14,12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,20,11,12,7,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5,19,10,13,6,14,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,19,11,13,6,14,14,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7,18,11,12,5,13,13,13,19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8,18,10,10,5,13,11,11,17,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9,18,9,10,5,14,11,11,16,10,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10,18,10,9,5,14,10,11,16,10,9,10,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,18,11,9,5,14,9,12,16,10,7,9,14,-1,-1,-1,-1,-1,-1,-1,-1
12,18,11,9,5,14,10,12,16,11,8,6,13,13,-1,-1,-1,-1,-1,-1,-1
13,18,11,9,5,15,8,12,16,11,9,6,12,13,8,-1,-1,-1,-1,-1,-1
14,18,12,9,5,13,8,12,16,11,8,6,12,12,6,15,-1,-1,-1,-1,-1
15,18,12,8,5,13,8,12,16,11,8,6,12,11,5,11,9,-1,-1,-1,-1
16,17,11,7,5,13,8,13,16,11,8,6,10,12,5,10,9,14,-1,-1,-1
17,17,11,6,5,12,8,13,16,10,8,6,10,12,4,10,9,9,12,-1,-1
18,17,11,6,5,12,8,14,16,10,8,6,10,12,4,10,9,6,9,14,-1
19,17,11,6,5,12,8,14,16,10,8,6,10,12,4,10,9,7,8,13,9
