,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,2934,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,2609,2154,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,2448,1944,2356,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,2366,1792,2097,1821,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,2304,1726,2036,1679,1965,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5,2178,1596,1968,1565,1769,2146,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,2154,1465,1803,1412,1596,1796,1941,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7,2125,1408,1730,1328,1436,1548,1652,1827,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8,2099,1393,1725,1313,1417,1514,1568,1637,1993,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9,2089,1380,1713,1295,1396,1482,1538,1587,1898,1943,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10,2069,1355,1705,1288,1361,1466,1514,1521,1863,1841,1800,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,2047,1351,1697,1274,1350,1453,1499,1496,1834,1817,1736,1952,-1,-1,-1,-1,-1,-1,-1,-1
12,2034,1338,1689,1269,1337,1443,1487,1487,1823,1793,1701,1917,2039,-1,-1,-1,-1,-1,-1,-1
13,2027,1332,1669,1253,1294,1405,1472,1469,1805,1778,1658,1867,1988,1885,-1,-1,-1,-1,-1,-1
14,2015,1313,1648,1240,1266,1379,1452,1439,1778,1752,1627,1837,1952,1821,2200,-1,-1,-1,-1,-1
15,2007,1307,1645,1234,1262,1369,1436,1431,1767,1739,1608,1811,1883,1783,2126,1997,-1,-1,-1,-1
16,1966,1259,1606,1200,1232,1349,1407,1403,1698,1698,1569,1772,1846,1746,2097,1956,1103,-1,-1,-1
17,1956,1250,1604,1199,1226,1348,1405,1402,1697,1693,1567,1603,1761,1610,2028,1878,920,1009,-1,-1
18,1920,1243,1511,1121,1143,1254,1344,1316,1600,1641,1521,1563,1628,1569,1984,1857,827,784,1129,-1
19,1907,1237,1509,1121,1141,1252,1340,1312,1487,1558,1443,1494,1562,1511,1915,1769,790,767,988,1393
