candidate,batch,length,cap,substring-cap,s-o-sCap,all-cap,non-cap,non-discriminative,cumulative,class,,cap-norm,Substring-cap-norm,S-o-sCap-norm,all-cap-norm,non-cap-norm,Non-discriminative-norm
ted allen mosby,0,3,110,0,0,0,0,35,145,1,,0.7586206897,0,0,0,0,0.2413793103
colin farrel,0,2,110,0,0,0,0,30,140,1,,0.7857142857,0,0,0,0,0.2142857143
hitler,0,1,2080,0,189,16,62,81,2428,1,,0.8566721582,0,0.0778418451,0.0065897858,0.0255354201,0.0333607908
spicer,0,1,707,0,294,12,37,83,1133,1,,0.6240070609,0,0.2594880847,0.0105913504,0.0326566637,0.0732568402
ivanka,0,1,725,0,111,5,20,47,908,1,,0.7984581498,0,0.122246696,0.0055066079,0.0220264317,0.0517621145
syria,0,1,663,0,25,2,10,30,730,1,,0.9082191781,0,0.0342465753,0.002739726,0.0136986301,0.0410958904
assad,0,1,656,0,40,1,6,17,720,1,,0.9111111111,0,0.0555555556,0.0013888889,0.0083333333,0.0236111111
russia,0,1,555,0,42,6,11,28,642,1,,0.8644859813,0,0.0654205607,0.0093457944,0.0171339564,0.0436137072
potus,0,1,9,0,4,540,65,8,626,1,,0.0143769968,0,0.0063897764,0.8626198083,0.1038338658,0.0127795527
holocaust,0,1,395,0,7,2,120,29,553,1,,0.7142857143,0,0.0126582278,0.0036166365,0.2169981917,0.0524412297
united,0,1,254,0,102,15,127,51,549,1,,0.4626593807,0,0.1857923497,0.0273224044,0.2313296903,0.0928961749
pepsi,0,1,229,0,145,13,37,36,460,1,,0.497826087,0,0.3152173913,0.0282608696,0.0804347826,0.0782608696
sean,0,1,244,0,120,6,8,50,428,1,,0.5700934579,0,0.2803738318,0.0140186916,0.0186915888,0.1168224299
eric,0,1,263,0,96,8,12,46,425,1,,0.6188235294,0,0.2258823529,0.0188235294,0.0282352941,0.1082352941
fbi,0,1,11,0,0,352,8,13,384,1,,0.0286458333,0,0,0.9166666667,0.0208333333,0.0338541667
putin,0,1,274,0,46,5,19,18,362,1,,0.7569060773,0,0.1270718232,0.0138121547,0.0524861878,0.0497237569
america,0,1,255,0,50,6,2,35,348,1,,0.7327586207,0,0.1436781609,0.0172413793,0.0057471264,0.1005747126
wh,0,1,2,0,1,322,4,7,336,1,,0.005952381,0,0.0029761905,0.9583333333,0.0119047619,0.0208333333
passover,0,1,238,0,3,12,21,41,315,1,,0.7555555556,0,0.0095238095,0.0380952381,0.0666666667,0.1301587302
erictrump,0,1,161,0,127,0,12,1,301,1,,0.5348837209,0,0.4219269103,0,0.0398671096,0.0033222591
cnn,0,1,3,0,2,254,25,6,290,1,,0.0103448276,0,0.0068965517,0.875862069,0.0862068966,0.0206896552
twitter,0,1,142,0,25,0,58,23,248,1,,0.5725806452,0,0.1008064516,0,0.2338709677,0.0927419355
moscow,0,1,213,0,6,0,2,11,232,1,,0.9181034483,0,0.025862069,0,0.0086206897,0.0474137931
russian,0,1,197,0,9,2,5,11,224,1,,0.8794642857,0,0.0401785714,0.0089285714,0.0223214286,0.0491071429
gop,0,1,3,0,0,205,8,7,223,1,,0.0134529148,0,0,0.9192825112,0.0358744395,0.0313901345
obama,0,1,169,0,18,4,6,21,218,1,,0.7752293578,0,0.0825688073,0.0183486239,0.0275229358,0.0963302752
syrian,0,1,169,0,8,1,3,9,190,1,,0.8894736842,0,0.0421052632,0.0052631579,0.0157894737,0.0473684211
ivankatrump,0,1,163,1,97,0,7,1,269,1,,0.6059479554,0.0037174721,0.3605947955,0,0.0260223048,0.0037174721
white house,0,2,407,2,0,6,32,28,475,1,,0.8568421053,0.0042105263,0,0.0126315789,0.0673684211,0.0589473684
alex jones,0,2,159,2,0,4,1,12,178,1,,0.893258427,0.0112359551,0,0.0224719101,0.0056179775,0.0674157303
donald trump,0,2,186,5,0,2,1,32,226,1,,0.8230088496,0.0221238938,0,0.0088495575,0.0044247788,0.1415929204
carter page,0,2,803,14,0,2,21,93,933,1,,0.860664523,0.0150053591,0,0.0021436227,0.0225080386,0.0996784566
united airlines,0,2,263,16,0,0,7,15,301,1,,0.8737541528,0.0531561462,0,0,0.023255814,0.049833887
trump,0,1,1569,19,410,22,184,130,2334,1,,0.6722365039,0.0081405313,0.175664096,0.0094258783,0.0788346187,0.0556983719
eric trump,0,2,1077,37,0,2,15,177,1308,1,,0.8233944954,0.0282874618,0,0.001529052,0.0114678899,0.1353211009
hillary clinton,3,2,150,50,0,0,0,0,200,1,,0.75,0.25,0,0,0,0
ted john cruz,0,3,3,1,0,0,0,0,4,1,,0.75,0.25,0,0,0,0
hillary rodham clinton,3,3,140,60,0,0,0,0,200,1,,0.7,0.3,0,0,0,0
holocaust centers,0,2,208,113,0,7,66,62,456,1,,0.4561403509,0.2478070175,0,0.0153508772,0.1447368421,0.1359649123
sean spicer,0,2,8005,190,0,48,106,846,9195,1,,0.870581838,0.020663404,0,0.0052202284,0.0115280044,0.0920065253
doj,3,1,0,0,1,14,2,3,21,1,,0,0,0.05,0.7,0.1,0.15
wolsey,3,1,59,0,3,1,26,8,97,1,,0.6082474227,0,0.0309278351,0.0103092784,0.2680412371,0.0824742268
john,3,1,16,0,2,0,7,2,27,1,,0.5925925926,0,0.0740740741,0,0.2592592593,0.0740740741
cag,3,1,3,0,2,48,22,10,85,1,,0.0352941176,0,0.0235294118,0.5647058824,0.2588235294,0.1176470588
james,3,1,40,0,5,7,12,15,79,1,,0.5063291139,0,0.0632911392,0.0886075949,0.1518987342,0.1898734177
wwe,3,1,2,2,0,42,11,2,59,1,,0.0338983051,0.0338983051,0,0.7118644068,0.186440678,0.0338983051
people,0,1,52,0,56,15,1274,63,1460,0,,0.0356164384,0,0.0383561644,0.0102739726,0.8726027397,0.0431506849
get,0,1,30,0,72,11,895,41,1049,0,,0.0285986654,0,0.0686367969,0.0104861773,0.8531935176,0.0390848427
one,0,1,22,0,45,20,887,37,1011,0,,0.021760633,0,0.0445103858,0.0197823937,0.8773491592,0.0365974283
think,0,1,8,0,30,5,868,23,934,0,,0.0085653105,0,0.0321199143,0.0053533191,0.9293361884,0.0246252677
us,0,1,5,0,1,345,514,22,887,0,,0.0056369786,0,0.0011273957,0.388951522,0.579481398,0.0248027057
said,0,1,29,0,5,5,762,27,828,0,,0.0350241546,0,0.0060386473,0.0060386473,0.9202898551,0.0326086957
time,0,1,26,0,69,24,617,33,769,0,,0.033810143,0,0.0897269181,0.0312093628,0.8023407022,0.0429128739
go,0,1,16,0,45,15,612,63,751,0,,0.0213049268,0,0.0599201065,0.0199733688,0.8149134487,0.0838881491
really,0,1,14,0,23,26,585,90,738,0,,0.0189701897,0,0.0311653117,0.0352303523,0.7926829268,0.1219512195
job,0,1,43,0,3,10,637,39,732,0,,0.0587431694,0,0.0040983607,0.0136612022,0.8702185792,0.0532786885
stupid,0,1,20,0,18,19,605,55,717,0,,0.0278940028,0,0.0251046025,0.0264993026,0.8437935844,0.0767085077
say,1,1,11,0,21,4,623,34,693,0,,0.0158730159,0,0.0303030303,0.0057720058,0.898989899,0.0490620491
right,0,1,16,0,26,11,581,45,679,0,,0.0235640648,0,0.0382916053,0.0162002946,0.8556701031,0.0662739323
good,0,1,25,0,116,5,475,50,671,0,,0.0372578241,0,0.172876304,0.0074515648,0.7078986587,0.0745156483
day,0,1,29,0,1,3,538,31,602,0,,0.0481727575,0,0.0016611296,0.0049833887,0.8936877076,0.0514950166
needs,0,1,4,0,4,3,555,18,584,0,,0.0068493151,0,0.0068493151,0.0051369863,0.9503424658,0.0308219178
idiot,0,1,7,0,10,16,488,47,568,0,,0.0123239437,0,0.0176056338,0.0281690141,0.8591549296,0.0827464789
bad,0,1,14,0,15,8,496,27,560,0,,0.025,0,0.0267857143,0.0142857143,0.8857142857,0.0482142857
going,0,1,5,0,17,3,492,27,544,0,,0.0091911765,0,0.03125,0.0055147059,0.9044117647,0.0496323529
administration,0,1,51,0,3,4,464,22,544,0,,0.09375,0,0.0055147059,0.0073529412,0.8529411765,0.0404411765
history,0,1,31,0,12,2,482,16,543,0,,0.0570902394,0,0.0220994475,0.0036832413,0.8876611418,0.02946593
fired,0,1,19,0,2,17,458,24,520,0,,0.0365384615,0,0.0038461538,0.0326923077,0.8807692308,0.0461538462
new,0,1,59,0,80,6,314,41,500,0,,0.118,0,0.16,0.012,0.628,0.082
way,0,1,14,0,18,2,446,19,499,0,,0.0280561122,0,0.0360721443,0.004008016,0.8937875752,0.0380761523
man,1,1,24,0,17,3,359,24,427,0,,0.056206089,0,0.0398126464,0.0070257611,0.8407494145,0.056206089
gas,0,1,27,0,5,7,369,18,426,0,,0.0633802817,0,0.0117370892,0.0164319249,0.8661971831,0.0422535211
got,0,1,12,0,12,1,364,14,403,0,,0.0297766749,0,0.0297766749,0.0024813896,0.9032258065,0.0347394541
back,0,1,16,0,8,1,332,35,392,0,,0.0408163265,0,0.0204081633,0.0025510204,0.8469387755,0.0892857143
thing,0,1,3,0,2,3,367,17,392,0,,0.0076530612,0,0.0051020408,0.0076530612,0.9362244898,0.0433673469
take,1,1,7,0,24,4,339,15,389,0,,0.0179948586,0,0.0616966581,0.0102827763,0.8714652956,0.0385604113
fucking,1,1,10,0,22,11,283,62,388,0,,0.0257731959,0,0.0567010309,0.0283505155,0.7293814433,0.1597938144
real,0,1,11,0,17,21,306,31,386,0,,0.0284974093,0,0.0440414508,0.0544041451,0.792746114,0.0803108808
see,2,1,11,0,20,6,320,23,380,0,,0.0289473684,0,0.0526315789,0.0157894737,0.8421052632,0.0605263158
shit,1,1,8,0,4,4,333,26,375,0,,0.0213333333,0,0.0106666667,0.0106666667,0.888,0.0693333333
fire,0,1,28,0,52,14,230,43,367,0,,0.0762942779,0,0.1416893733,0.038147139,0.6267029973,0.1171662125
jews,0,1,298,0,16,3,29,20,366,0,,0.8142076503,0,0.043715847,0.0081967213,0.0792349727,0.0546448087
look,0,1,9,0,48,3,292,12,364,0,,0.0247252747,0,0.1318681319,0.0082417582,0.8021978022,0.032967033
news,0,1,28,0,8,7,278,30,351,0,,0.0797720798,0,0.0227920228,0.0199430199,0.792022792,0.0854700855
believe,0,1,1,0,4,3,324,17,349,0,,0.0028653295,0,0.0114613181,0.0085959885,0.9283667622,0.0487106017
used,0,1,11,0,2,4,316,14,347,0,,0.0317002882,0,0.0057636888,0.0115273775,0.9106628242,0.0403458213
dumb,0,1,7,0,23,3,282,30,345,0,,0.0202898551,0,0.0666666667,0.0086956522,0.8173913043,0.0869565217
stop,0,1,19,0,52,9,236,28,344,0,,0.0552325581,0,0.1511627907,0.0261627907,0.6860465116,0.0813953488
trying,0,1,7,0,7,6,302,10,332,0,,0.0210843373,0,0.0210843373,0.0180722892,0.9096385542,0.0301204819
daddy,0,1,70,0,60,1,170,24,325,0,,0.2153846154,0,0.1846153846,0.0030769231,0.5230769231,0.0738461538
sink,1,1,30,0,0,1,293,1,325,0,,0.0923076923,0,0,0.0030769231,0.9015384615,0.0030769231
actually,0,1,15,0,26,2,263,17,323,0,,0.0464396285,0,0.080495356,0.0061919505,0.8142414861,0.0526315789
guy,2,1,1,0,1,2,307,12,323,0,,0.0030959752,0,0.0030959752,0.0061919505,0.9504643963,0.0371517028
wrong,0,1,7,0,4,14,271,24,320,0,,0.021875,0,0.0125,0.04375,0.846875,0.075
keep,0,1,19,0,74,1,207,16,317,0,,0.0599369085,0,0.2334384858,0.0031545741,0.6529968454,0.0504731861
makes,0,1,6,0,18,1,265,13,303,0,,0.0198019802,0,0.0594059406,0.00330033,0.8745874587,0.0429042904
country,0,1,14,0,0,7,270,11,302,0,,0.0463576159,0,0,0.0231788079,0.8940397351,0.0364238411
beer,1,1,10,0,1,4,273,11,299,0,,0.0334448161,0,0.0033444816,0.0133779264,0.9130434783,0.0367892977
ignorant,1,1,6,0,7,6,269,9,297,0,,0.0202020202,0,0.0235690236,0.0202020202,0.9057239057,0.0303030303
first,0,1,13,0,28,1,239,12,293,0,,0.0443686007,0,0.0955631399,0.0034129693,0.8156996587,0.0409556314
