candidate,batch,length,cap,substring-cap,s-o-sCap,all-cap,non-cap,non-discriminative,cumulative,class
check former trump advisor carter page,4,6,2,98,0,0,0,1,101,0
indian foreign policy advisor,0,4,55,13,0,0,0,10,78,1
spectator handy regulation guide,0,4,38,10,0,0,0,7,55,1
eric trump says,5,3,20,125,0,0,1,16,162,0
hillary rodham clinton,3,3,140,60,0,0,0,0,200,1
used chemical weapons,1,3,31,3,0,0,161,20,215,0
using chemical weapons,1,3,19,4,0,0,149,8,180,0
use chemical weapons,1,3,31,14,0,2,442,14,503,0
shashi tharoor,2,2,0,0,0,25,2,8,35,1
ted allen mosby,0,3,110,0,0,0,0,35,145,1
ted john cruz,0,3,3,1,0,0,0,0,4,1
sean spicer admits,0,3,18,65,0,5,2,18,108,0
hillary clinton,3,2,150,50,0,0,0,0,200,1
ibm center,3,2,220,140,0,7,92,85,544,1
france declares,1,2,22,70,0,0,0,8,100,0
holocaust center,1,2,64,40,0,1,25,20,150,1
chemical weapons,1,2,24,5,0,1,153,11,194,0
marie claire,1,2,456,270,0,14,151,162,1053,1
airforce attack,0,2,25,66,0,0,0,9,100,0
russia tariff,0,2,16,43,0,0,0,6,65,0
colin farrel,0,2,110,0,0,0,0,30,140,1
call pelosi,0,2,8,58,0,5,18,11,100,0
get germany,0,2,4,38,0,8,5,5,60,0
white house,0,2,407,2,0,6,32,28,475,1
alex jones,0,2,159,2,0,4,1,12,178,1
donald trump,0,2,186,5,0,2,1,32,226,1
press secretary,0,2,84,7,0,2,128,12,233,0
foreign policy,0,2,10,13,0,0,164,10,197,0
carter page,0,2,803,14,0,2,21,93,933,1
united airlines,0,2,263,16,0,0,7,15,301,1
gas chambers,0,2,9,27,0,7,190,5,238,0
eric trump,0,2,1077,37,0,2,15,177,1308,1
holocaust centers,0,2,208,123,0,5,66,62,461,1
presidential election,0,2,130,77,0,4,53,36,300,1
voting booth,0,2,195,116,0,6,64,69,450,1
trump cabinet,0,2,238,141,0,8,78,85,550,1
congress party,0,2,864,500,0,27,284,325,2000,1
siachen glacier,0,2,1298,771,0,40,427,464,3000,1
kashmir valley,0,2,102,67,0,3,45,33,250,1
abortion clinic,0,2,42,26,0,2,18,12,100,1
former trump,0,2,12,165,0,0,0,4,181,0
sean spicer,0,2,8005,190,0,48,106,846,9195,1
influenced,6,1,30,0,1,0,194,15,240,0
father,6,1,14,0,1,1,212,5,233,0
family,5,1,12,0,9,3,248,19,291,0
war,5,1,11,0,2,2,130,22,167,0
heartbroken,5,1,3,0,13,1,138,8,163,0
ssc,4,1,4,0,0,40,10,3,33,1
facebook,4,1,48,0,2,0,20,2,72,1
instagram,4,1,102,0,18,0,52,22,194,1
messi,4,1,95,0,20,0,49,25,189,1
lionel,4,1,118,0,18,0,59,35,230,1
need,3,1,6,0,6,6,265,10,293,0
want,3,1,2,0,5,3,255,17,282,0
made,3,1,3,0,1,3,225,11,243,0
seanspicer,3,1,10,0,12,0,185,6,213,0
mouth,3,1,4,0,1,1,148,10,164,0
doj,3,1,0,0,1,14,2,3,21,1
wolsey,3,1,59,0,3,1,26,8,97,1
john,3,1,16,0,2,0,5,2,25,1
cag,3,1,3,0,2,48,22,10,28,1
james,3,1,40,0,5,7,12,15,29,1
wwe,3,1,2,2,0,42,11,2,30,1
judy,3,1,18,3,3,5,7,7,31,1
doreen,3,1,56,0,0,0,27,0,32,1
see,2,1,11,0,20,6,320,23,380,0
guy,2,1,1,0,1,2,307,12,323,0
worse,2,1,8,0,7,3,257,13,288,0
saying,2,1,7,0,2,0,216,5,230,0
words,2,1,2,0,16,2,199,6,225,0
best,2,1,8,0,17,2,173,14,214,0
making,2,1,2,0,6,0,168,15,191,0
belgium,2,1,283,0,60,0,149,58,550,1
say,1,1,11,0,21,4,623,34,693,0
man,1,1,24,0,17,3,359,24,427,0
take,1,1,7,0,24,4,339,15,389,0
fucking,1,1,10,0,22,11,283,62,388,0
shit,1,1,8,0,4,4,333,26,375,0
sink,1,1,30,0,0,1,293,1,325,0
beer,1,1,10,0,1,4,273,11,299,0
ignorant,1,1,6,0,7,6,269,9,297,0
week,1,1,7,0,2,2,263,5,279,0
sure,1,1,15,0,7,4,225,13,264,0
next,1,1,15,0,24,1,189,6,235,0
thought,1,1,4,0,5,4,215,5,233,0
tell,1,1,5,0,19,0,194,10,228,0
wait,1,1,7,0,52,4,127,26,216,0
give,1,1,4,0,27,1,166,12,210,0
enough,1,1,3,0,12,4,169,12,200,0
call,1,1,6,0,12,3,173,4,198,0
work,1,1,5,0,2,1,177,10,195,0
life,1,1,5,0,7,5,161,13,191,0
fact,1,1,1,0,3,5,166,12,187,0
resign,1,1,6,0,8,10,140,13,177,0
chemical,1,1,10,0,3,1,153,7,174,0
