ID,HashTags,TweetText,mentions_other,output_mentions
0,RussiaGate,"REPORT: FBI Obtained FISA Warrant For Trump Aide, Believed He Was 'Agent Of The Russian Government'","FBI, FISA, Trump, Russian Government","[['fbi', 'fisa', 'trump', 'russian']]"
1,,BUSTED....,,[[]]
2,,"Carter Page is trending but 3 weeks ago there were no FISA warrants on team Trump.

I love how liberals have a 36 hour memory","Carter Page, FISA, Trump; liberals","[['carter page', 'fisa', 'trump'], []]"
3,,Looks like it might be time for some more tomahawks…,tomahawks,[[]]
4,,Sean Spicer on Carter Page:,"Sean Spicer, Carter Page","[['sean spicer', 'carter page']]"
5,FISA,"""Carter Page""  @FBI @AdamSchiffCA @MarkWarner @NancyPelosi @HillaryClinton @MSNBC @maddow @washingtonpost",Carter Page,[['carter page']]
6,,"I get stuck on things. Tonight's special, Session brought in Carter Page, a foreign agent:",";Session, Carter Page","[[], ['carter page']]"
7,,I guess this explains the interview he gave after Flynn resigned where he blathered incoherently when asked about his contact with Russians,"Flynn,Russians","[['flynn', 'russians']]"
8,,May the media never lose focus,,[[]]
9,,"@CassandraRules Looks like someone else is having a bad day and looks like @LouiseMensch was right!
",,[[]]
10,,Well well well. Guess that Susan Rice nonsense can go away now. Still about the leak problem?,;Susan Rice;,"[[], ['susan rice'], []]"
11,,"@FoxNews @krauthammer ,,Trump's team of foreign policy advisers  Carter Page 
","Trump, Carter Page","[['trump', 'carter page']]"
12,,No wonder Carter Page is the Trump advisor that other Trump staffers deny ever seeing at Trump Tower.  He's one of the most complicit.,"Carter Page,Trump,Trump,Trump Tower;","[['carter page', 'trump', 'trump', 'trump'], []]"
13,,@BrianPaulStuart @realDonaldTrump And now Steele the Savior is going to be proven to be a hack!,Steele,[[]]
14,,"@chrislhayes Please ask Trump, why he chose Carter Page.  Who told him to hire him?","Trump,Carter Page;","[['trump', 'carter page'], []]"
15,,Report: FBI granted FISA warrant to surveil ex-Trump aide Carter Page | TheHill,"FBI,FISA, Carter Page;","[['fbi', 'fisa', 'trump', 'carter page']]"
16,deray,The FBI obtained a FISA warrant last year to monitor Trump adviser Carter Page in a...  by  via @c0nvey,"FBI,FISA,Trump,Carter Page","[['fbi', 'fisa', 'trump', 'carter page']]"
17,,Very well explained take on Carter/ Russia/ FISA/ Trump sitch.,"Carter,Russia,FISA,Trump","[['carter', 'russia', 'fisa', 'trump']]"
18,,Maxine Waters. Mam. Esq. Keep On.,Maxine Waters;;;;,"[[], [], [], []]"
19,trumprussia,"A warrant was issued to FBI last summer to monitor Carter Page who was acting as an agent of Russia
","FBI,Carter Page,Russia","[['fbi', 'carter page', 'russia']]"
20,,FBI obtained FISA warrant to monitor former Trump adviser Carter Page - The Washington Post so there was surveillance,"FBI,FISA,Trump,Carter Page, Washington Post","[['fbi', 'fisa', 'trump', 'carter page', 'washington post']]"
21,,"""Sean, say something really fucked up today maybe say Hocaust Centers or something so they don't talk about Carter Page""","Sean,Hocaust Centers,Carter Page",[['carter page']]
22,,Great,,[[]]
23,,"Just reported by Chris Hayes, Carter page was surveilled by FBI via FISA warrant. Buh bye, Carter.","Chris Hayes,Carter Page,FBI,FISA;Carter","[['chris hayes', 'carter page', 'fbi', 'fisa'], ['carter']]"
24,,FBI obtained FISA warrant to monitor former Trump adviser Carter Page.,"FBI,FISA,Trump,Carter Page","[['fbi', 'fisa', 'trump', 'carter page']]"
25,,This is huge. Bar for a FISA warrant targetting US person is knowingly acting as foreign agent in a way that violates,";FISA,US","[[], ['fisa']]"
26,,Umm. Should we tell him he's delusional?,;,"[[], []]"
27,hardball,"Sean Spicer mis-spoke, Libs loved it, yet forget the DOJ still worked all day on indictments
 Carter Page","sean spicer,DOJ; Carter Page","[['carter page'], ['sean spicer']]"
28,,@mcspocky Looks like Carter Page will be one of the first dominoes to fall. The Syria strike was a distraction away from . Stay focused,Carter Page;Syria strike;,"[['carter page'], ['syria'], []]"
