ID,HashTags,TweetText,annotation_limited types,ritter_candidates,calai_candidates,stanford_candidates,User
0,RussiaGate,New Orleans Mother 's Day Parade shooting . One of the people hurt was a 10-year-old girl . WHAT THE HELL IS WRONG WITH PEOPLE ?,New Orleans Mother 's Day Parade,"fbi,trump aide,the russian government","['trump aide', 'fbi', 'russian government']","fbi,trump",JanKimbrough
1,,RT @hxranspizza : Going into school tomorrow like #KCA #Vote1DUK,,,[],,zi_cam
2,,May e just a smile in your heart EILY CountdownBegins #PushAwardsLizQuens,EILY,"carter page,trump","['fisa', 'carter page']",carter page,sicsemp4ever
3,,I could so do Thursday Club right now,,,[],,raponikoff
4,,@therealdaftbear Albert Nobbs ( Glenn Close)is a woman living as a man in order to find work in the harsh environment of 19th-century Ireland,"Albert Nobbs,Glenn","sean spicer,carter page",['sean spicer'],"sean spicer,carter page:",MsEntropy
5,FISA,"RT @1DAsiaCrew : Louis ' interview with The Sun about his own record label "" 78 Productions Limited "" #ProudOfLouis","Louis,The Sun,78 Productions Limited",carter page,['fbi'],,Class_of_78
6,,9 injured in Minneapolis nightclub shooting ; Vikings player among victims :,Minneapolis,carter page,['carter page'],,cjpfeiff
7,,So happy moving into my new place on Tuesday !,,"flynn,russians",['flynn'],flynn,pignponyrfriend
8,,RT @aldenrichards02 : Happy 10th weeksary sa ating lahat !!! #ALDUBOurMissionisLove,,,[],,itsShonny
9,,#IkawYung tangi kung hiling sa 18th bday ko,,,[],,GilesBgiles1974
10,,I drive by that motel almost every night . #MesaShooting,,susan rice,['susan rice'],susan rice,em_div
11,,"Apple MacBook Pro A1278 13.3 "" Laptop - MD101LL/A ( June , 2012 ) - Full read by eBay","Apple MacBook Pro A1278 13.3 "" Laptop - MD101LL/A,eBay","trump,carter page",['carter page'],carter page,Bennythesnitch
12,,Tuff Culture - Destiny EP ( PAR 042 FORTHCOMING 27th JULY VIA JUNO ) Tracklist : Destiny Questions Theres No ...,"Tuff Culture,Destiny,JUNO,Destiny,Questions,Theres No","carter page,trump,trump,trump tower","['the trump advisor', 'trump tower', 'carter page']","carter page,trump,trump,trump",mallsta
13,,"December 23 , 2015 at 03:44 PM #if24 #s8",,steele,['savior'],steele the savior,EricJGilbert
14,,RT @YahooDrSaturday : This is how Arkansas crazily converted 4th and 25 in OT . What a lateral ! https://t.co/ylALEACWe8,Arkansas,"trump,carter page",['carter page'],carter,berserkbd
15,,Riots on 17th and page for what ?,"17th,page","fbi,carter page","['aide', 'carter page', 'fbi']","fbi,fisa",ngunn7
16,deray,"Shame on SnapChat , Skype for breach","SnapChat,Skype","fbi,trump,carter page","['adviser', 'fbi', 'carter page']","fbi,fisa,trump,carter page",GaryKGreen
17,,"Linode Resets User Passwords Following Database Breach : Linode , a virtual private server provider , has reset a ...","Linode,Linode",carter russia fisa trump,['russia'],,jannypie
18,,Waco PD was on scene before the shooting started because officers knew the gangs were going to meet . Police say this prevented more deaths,Waco PD,maxine waters,['maxine waters'],,thecircledancer
